"District","FIPS","Year","Incident Type","Measure Type","Variable","Value","R#","Region"
"East Hampton School District",900722490,"2012-2013","Bullying","Number","Total Incidents",23,3,"Eastern"
"East Hampton School District",900722490,"2013-2014","Bullying","Number","Students with at least 1 incident",12,3,"Eastern"
"East Hampton School District",900722490,"2013-2014","Bullying","Number","Total Incidents",13,3,"Eastern"
"East Hampton School District",900722490,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"East Hampton School District",900722490,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"East Hampton School District",900722490,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"East Hampton School District",900722490,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"East Hampton School District",900722490,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"East Hampton School District",900722490,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"East Hartford School District",900322630,"2012-2013","Bullying","Number","Students with at least 1 incident",43,4,"North Central"
"East Hartford School District",900322630,"2012-2013","Bullying","Number","Total Incidents",46,4,"North Central"
"East Hartford School District",900322630,"2013-2014","Bullying","Number","Students with at least 1 incident",33,4,"North Central"
"East Hartford School District",900322630,"2013-2014","Bullying","Number","Total Incidents",37,4,"North Central"
"East Hartford School District",900322630,"2014-2015","Bullying","Number","Students with at least 1 incident",24,4,"North Central"
"East Hartford School District",900322630,"2014-2015","Bullying","Number","Total Incidents",26,4,"North Central"
"East Hartford School District",900322630,"2015-2016","Bullying","Number","Students with at least 1 incident",7,4,"North Central"
"East Hartford School District",900322630,"2015-2016","Bullying","Number","Total Incidents",8,4,"North Central"
"East Hartford School District",900322630,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"East Hartford School District",900322630,"2016-2017","Bullying","Number","Total Incidents",8,4,"North Central"
"East Haven School District",900922910,"2012-2013","Bullying","Number","Students with at least 1 incident",7,2,"South Central"
"East Haven School District",900922910,"2012-2013","Bullying","Number","Total Incidents",7,2,"South Central"
"East Haven School District",900922910,"2013-2014","Bullying","Number","Students with at least 1 incident",8,2,"South Central"
"East Haven School District",900922910,"2013-2014","Bullying","Number","Total Incidents",8,2,"South Central"
"East Haven School District",900922910,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"East Haven School District",900922910,"2014-2015","Bullying","Number","Total Incidents",-9999,2,"South Central"
"East Haven School District",900922910,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"East Haven School District",900922910,"2015-2016","Bullying","Number","Total Incidents",-9999,2,"South Central"
"East Haven School District",900922910,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"East Haven School District",900922910,"2016-2017","Bullying","Number","Total Incidents",-9999,2,"South Central"
"East Lyme School District",901123400,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"East Lyme School District",901123400,"2012-2013","Bullying","Number","Total Incidents",6,3,"Eastern"
"East Lyme School District",901123400,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"East Lyme School District",901123400,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"East Lyme School District",901123400,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"East Lyme School District",901123400,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"East Lyme School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"East Lyme School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"East Lyme School District",901123400,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"East Lyme School District",901123400,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Easton School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Easton School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Easton School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Easton School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Easton School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Easton School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Easton School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Easton School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Easton School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Easton School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"East Windsor School District",900324800,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"East Windsor School District",900324800,"2012-2013","Bullying","Number","Total Incidents",-9999,4,"North Central"
"East Windsor School District",900324800,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"East Windsor School District",900324800,"2013-2014","Bullying","Number","Total Incidents",-9999,4,"North Central"
"East Windsor School District",900324800,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"East Windsor School District",900324800,"2014-2015","Bullying","Number","Total Incidents",-9999,4,"North Central"
"East Windsor School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"East Windsor School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,4,"North Central"
"East Windsor School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"East Windsor School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Ellington School District",901325360,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Ellington School District",901325360,"2012-2013","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Ellington School District",901325360,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Ellington School District",901325360,"2013-2014","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Ellington School District",901325360,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Ellington School District",901325360,"2014-2015","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Ellington School District",901325360,"2015-2016","Bullying","Number","Students with at least 1 incident",10,4,"North Central"
"Ellington School District",901325360,"2015-2016","Bullying","Number","Total Incidents",11,4,"North Central"
"Ellington School District",901325360,"2016-2017","Bullying","Number","Students with at least 1 incident",7,4,"North Central"
"Ellington School District",901325360,"2016-2017","Bullying","Number","Total Incidents",8,4,"North Central"
"Elm City College Preparatory School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",6,2,"South Central"
"Elm City College Preparatory School District",NA,"2012-2013","Bullying","Number","Total Incidents",6,2,"South Central"
"Elm City College Preparatory School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Elm City College Preparatory School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Elm City College Preparatory School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Elm City College Preparatory School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Elm City College Preparatory School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Elm City College Preparatory School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Elm City College Preparatory School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Elm City College Preparatory School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Elm City Montessori School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Elm City Montessori School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Enfield School District",900325990,"2012-2013","Bullying","Number","Students with at least 1 incident",11,4,"North Central"
"Enfield School District",900325990,"2012-2013","Bullying","Number","Total Incidents",12,4,"North Central"
"Enfield School District",900325990,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Enfield School District",900325990,"2013-2014","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Enfield School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Enfield School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Enfield School District",900325990,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Enfield School District",900325990,"2015-2016","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Enfield School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Enfield School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Essex School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Essex School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Essex School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Essex School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Essex School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Essex School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Essex School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Essex School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Essex School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Essex School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Explorations District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Explorations District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,5,"Western"
"Explorations District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Explorations District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,5,"Western"
"Explorations District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Explorations District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,5,"Western"
"Explorations District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Explorations District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,5,"Western"
"Explorations District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Explorations District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,5,"Western"
"Fairfield School District",900126620,"2012-2013","Bullying","Number","Students with at least 1 incident",10,1,"Southwest"
"Fairfield School District",900126620,"2012-2013","Bullying","Number","Total Incidents",12,1,"Southwest"
"Fairfield School District",900126620,"2013-2014","Bullying","Number","Students with at least 1 incident",10,1,"Southwest"
"Fairfield School District",900126620,"2013-2014","Bullying","Number","Total Incidents",11,1,"Southwest"
"Fairfield School District",900126620,"2014-2015","Bullying","Number","Students with at least 1 incident",7,1,"Southwest"
"Fairfield School District",900126620,"2014-2015","Bullying","Number","Total Incidents",7,1,"Southwest"
"Fairfield School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Fairfield School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Fairfield School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Fairfield School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Farmington School District",900327600,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Farmington School District",900327600,"2012-2013","Bullying","Number","Total Incidents",-9999,6,"Central"
"Farmington School District",900327600,"2013-2014","Bullying","Number","Students with at least 1 incident",9,6,"Central"
"Farmington School District",900327600,"2013-2014","Bullying","Number","Total Incidents",10,6,"Central"
"Farmington School District",900327600,"2014-2015","Bullying","Number","Students with at least 1 incident",7,6,"Central"
"Farmington School District",900327600,"2014-2015","Bullying","Number","Total Incidents",8,6,"Central"
"Farmington School District",900327600,"2015-2016","Bullying","Number","Students with at least 1 incident",12,6,"Central"
"Farmington School District",900327600,"2015-2016","Bullying","Number","Total Incidents",15,6,"Central"
"Farmington School District",900327600,"2016-2017","Bullying","Number","Students with at least 1 incident",8,6,"Central"
"Farmington School District",900327600,"2016-2017","Bullying","Number","Total Incidents",9,6,"Central"
"Franklin School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Franklin School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Franklin School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Franklin School District",NA,"2013-2014","Bullying","Number","Total Incidents",6,3,"Eastern"
"Franklin School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Franklin School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Franklin School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Franklin School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Franklin School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Franklin School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Glastonbury School District",900331240,"2012-2013","Bullying","Number","Students with at least 1 incident",8,4,"North Central"
"Glastonbury School District",900331240,"2012-2013","Bullying","Number","Total Incidents",9,4,"North Central"
"Glastonbury School District",900331240,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Glastonbury School District",900331240,"2013-2014","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Glastonbury School District",900331240,"2014-2015","Bullying","Number","Students with at least 1 incident",15,4,"North Central"
"Glastonbury School District",900331240,"2014-2015","Bullying","Number","Total Incidents",18,4,"North Central"
"Glastonbury School District",900331240,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Glastonbury School District",900331240,"2015-2016","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Glastonbury School District",900331240,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Glastonbury School District",900331240,"2016-2017","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Granby School District",900332640,"2012-2013","Bullying","Number","Students with at least 1 incident",6,4,"North Central"
"Granby School District",900332640,"2012-2013","Bullying","Number","Total Incidents",6,4,"North Central"
"Granby School District",900332640,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Granby School District",900332640,"2013-2014","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Granby School District",900332640,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Granby School District",900332640,"2014-2015","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Granby School District",900332640,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Granby School District",900332640,"2015-2016","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Granby School District",900332640,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Granby School District",900332640,"2016-2017","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Great Oaks Charter School Bridgeport",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Great Oaks Charter School Bridgeport",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Great Oaks Charter School Bridgeport",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Great Oaks Charter School Bridgeport",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Great Oaks Charter School Bridgeport",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Great Oaks Charter School Bridgeport",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,1,"Southwest"
"Great Oaks Charter School Bridgeport",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Great Oaks Charter School Bridgeport",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Great Oaks Charter School Bridgeport",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,1,"Southwest"
"Great Oaks Charter School Bridgeport",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,1,"Southwest"
"Greenwich School District",900133620,"2012-2013","Bullying","Number","Students with at least 1 incident",10,1,"Southwest"
"Greenwich School District",900133620,"2012-2013","Bullying","Number","Total Incidents",10,1,"Southwest"
"Greenwich School District",900133620,"2013-2014","Bullying","Number","Students with at least 1 incident",9,1,"Southwest"
"Greenwich School District",900133620,"2013-2014","Bullying","Number","Total Incidents",11,1,"Southwest"
"Greenwich School District",900133620,"2014-2015","Bullying","Number","Students with at least 1 incident",7,1,"Southwest"
"Greenwich School District",900133620,"2014-2015","Bullying","Number","Total Incidents",7,1,"Southwest"
"Greenwich School District",900133620,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,1,"Southwest"
"Greenwich School District",900133620,"2015-2016","Bullying","Number","Total Incidents",7,1,"Southwest"
"Greenwich School District",900133620,"2016-2017","Bullying","Number","Students with at least 1 incident",10,1,"Southwest"
"Greenwich School District",900133620,"2016-2017","Bullying","Number","Total Incidents",12,1,"Southwest"
"Griswold School District",901133900,"2012-2013","Bullying","Number","Students with at least 1 incident",6,3,"Eastern"
"Griswold School District",901133900,"2012-2013","Bullying","Number","Total Incidents",6,3,"Eastern"
"Griswold School District",901133900,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Griswold School District",901133900,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Griswold School District",901133900,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Griswold School District",901133900,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Griswold School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Griswold School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Griswold School District",901133900,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Griswold School District",901133900,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Groton School District",901134250,"2012-2013","Bullying","Number","Students with at least 1 incident",9,3,"Eastern"
"Groton School District",901134250,"2012-2013","Bullying","Number","Total Incidents",10,3,"Eastern"
"Groton School District",901134250,"2013-2014","Bullying","Number","Students with at least 1 incident",9,3,"Eastern"
"Groton School District",901134250,"2013-2014","Bullying","Number","Total Incidents",9,3,"Eastern"
"Groton School District",901134250,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Groton School District",901134250,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Groton School District",901134250,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Groton School District",901134250,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Groton School District",901134250,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Groton School District",901134250,"2016-2017","Bullying","Number","Total Incidents",6,3,"Eastern"
"Guilford School District",900934950,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Guilford School District",900934950,"2012-2013","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Guilford School District",900934950,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Guilford School District",900934950,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Guilford School District",900934950,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Guilford School District",900934950,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Guilford School District",900934950,"2015-2016","Bullying","Number","Students with at least 1 incident",16,3,"Eastern"
"Guilford School District",900934950,"2015-2016","Bullying","Number","Total Incidents",17,3,"Eastern"
"Guilford School District",900934950,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Guilford School District",900934950,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Hamden School District",900935650,"2012-2013","Bullying","Number","Students with at least 1 incident",8,2,"South Central"
"Hamden School District",900935650,"2012-2013","Bullying","Number","Total Incidents",10,2,"South Central"
"Hamden School District",900935650,"2013-2014","Bullying","Number","Students with at least 1 incident",16,2,"South Central"
"Hamden School District",900935650,"2013-2014","Bullying","Number","Total Incidents",19,2,"South Central"
"Hamden School District",900935650,"2014-2015","Bullying","Number","Students with at least 1 incident",18,2,"South Central"
"Hamden School District",900935650,"2014-2015","Bullying","Number","Total Incidents",20,2,"South Central"
"Hamden School District",900935650,"2015-2016","Bullying","Number","Students with at least 1 incident",7,2,"South Central"
"Hamden School District",900935650,"2015-2016","Bullying","Number","Total Incidents",10,2,"South Central"
"Hamden School District",900935650,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Hamden School District",900935650,"2016-2017","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Hampton School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Hampton School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Hampton School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Hampton School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Hampton School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Hampton School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Hampton School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Hampton School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Hampton School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Hampton School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Hartford School District",900337070,"2012-2013","Bullying","Number","Students with at least 1 incident",64,4,"North Central"
"Hartford School District",900337070,"2012-2013","Bullying","Number","Total Incidents",70,4,"North Central"
"Hartford School District",900337070,"2013-2014","Bullying","Number","Students with at least 1 incident",77,4,"North Central"
"Hartford School District",900337070,"2013-2014","Bullying","Number","Total Incidents",84,4,"North Central"
"Hartford School District",900337070,"2014-2015","Bullying","Number","Students with at least 1 incident",44,4,"North Central"
"Hartford School District",900337070,"2014-2015","Bullying","Number","Total Incidents",47,4,"North Central"
"Hartford School District",900337070,"2015-2016","Bullying","Number","Students with at least 1 incident",50,4,"North Central"
"Hartford School District",900337070,"2015-2016","Bullying","Number","Total Incidents",56,4,"North Central"
"Hartford School District",900337070,"2016-2017","Bullying","Number","Students with at least 1 incident",60,4,"North Central"
"Hartford School District",900337070,"2016-2017","Bullying","Number","Total Incidents",74,4,"North Central"
"Hartland School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Hartland School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,5,"Western"
"Hartland School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Hartland School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,5,"Western"
"Hartland School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Hartland School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,5,"Western"
"Hartland School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Hartland School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,5,"Western"
"Hartland School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Hartland School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,5,"Western"
"Hebron School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Hebron School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Hebron School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Hebron School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Hebron School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Hebron School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Hebron School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Hebron School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Hebron School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Hebron School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Highville Charter School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Highville Charter School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Highville Charter School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Highville Charter School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Highville Charter School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Highville Charter School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Highville Charter School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Highville Charter School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Highville Charter School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Highville Charter School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Integrated Day Charter School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Integrated Day Charter School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Integrated Day Charter School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Integrated Day Charter School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Integrated Day Charter School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Integrated Day Charter School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Integrated Day Charter School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Integrated Day Charter School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Integrated Day Charter School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
