"District","FIPS","Year","Incident Type","Measure Type","Variable","Value","R#","Region"
"Ashford School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Ashford School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Ashford School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Ashford School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Ashford School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Ashford School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Ashford School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Ashford School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Avon School District",900302060,"2014-2015","Bullying","Number","Total Incidents",-9999,6,"Central"
"Avon School District",900302060,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Avon School District",900302060,"2015-2016","Bullying","Number","Total Incidents",-9999,6,"Central"
"Avon School District",900302060,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Avon School District",900302060,"2012-2013","Bullying","Number","Total Incidents",-9999,6,"Central"
"Avon School District",900302060,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Avon School District",900302060,"2013-2014","Bullying","Number","Total Incidents",-9999,6,"Central"
"Avon School District",900302060,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Avon School District",900302060,"2016-2017","Bullying","Number","Students with at least 1 incident",7,6,"Central"
"Avon School District",900302060,"2016-2017","Bullying","Number","Total Incidents",10,6,"Central"
"Barkhamsted School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Barkhamsted School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,5,"Western"
"Barkhamsted School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Barkhamsted School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,5,"Western"
"Barkhamsted School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Barkhamsted School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,5,"Western"
"Barkhamsted School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Barkhamsted School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,5,"Western"
"Barkhamsted School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Barkhamsted School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,5,"Western"
"Berlin School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Berlin School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,6,"Central"
"Berlin School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,6,"Central"
"Berlin School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Berlin School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,6,"Central"
"Berlin School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Berlin School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,6,"Central"
"Berlin School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Berlin School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,6,"Central"
"Berlin School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,6,"Central"
"Bethany School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Bethany School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Bethany School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Bethany School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Bethany School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Bethany School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
