"Age Range","Label","White","Black","Hispanic","Other","Total"
" ","Pop","28,518","1,782","5,689","4,369","40,358"
" ","Tx","2,852","178","569","437","4,036"
" ","Life","5,704","356","1,138","874","8,072"
" ","Pop","23,015","1,231","3,677","2,743","30,666"
" ","Tx","2,302","123","368","274","3,067"
" ","Life","4,603","246","735","549","6,133"
" ","Pop","38,805","2,084","5,242","3,967","50,098"
" ","Tx","3,880","208","524","397","5,010"
" ","Life","7,761","417","1,048","793","10,020"
" ","Pop","31,433","1,967","3,921","2,966","40,287"
" ","Tx","3,143","197","392","297","4,029"
" ","Life","6,287","393","784","593","8,057"
" ","Pop","17,827","1,381","2,222","1,845","23,275"
" ","Tx","1,783","138","222","184","2,328"
" ","Life","3,565","276","444","369","4,655"
" ","Pop","139,598","8,445","20,751","15,890","184,684"
" ","Tx","13,960","844","2,075","1,589","18,468"
" ","Life","27,920","1,689","4,150","3,178","36,937"
