"District","R#","Region"
"Voluntown School District",3,"Eastern"
"Wallingford School District",6,"Central"
"Waterbury School District",5,"Western"
"Waterford School District",3,"Eastern"
"Watertown School District",5,"Western"
"West Hartford School District",4,"North Central"
"West Haven School District",2,"South Central"
"Westbrook School District",3,"Eastern"
"Weston School District",1,"Southwest"
"Westport School District",1,"Southwest"
"Wethersfield School District",6,"Central"
"Willington School District",3,"Eastern"
"Wilton School District",1,"Southwest"
"Winchester School District",5,"Western"
"Windham School District",3,"Eastern"
"Windsor Locks School District",4,"North Central"
"Windsor School District",4,"North Central"
"Wolcott School District",5,"Western"
"Woodbridge School District",2,"South Central"
"Woodstock Academy District",3,"Eastern"
"Woodstock School District",3,"Eastern"
