"District","FIPS","Year","Incident Type","Measure Type","Variable","Value"
"Andover School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Andover School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Andover School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Andover School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Andover School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Andover School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Andover School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Andover School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Andover School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Andover School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Ansonia School District",900901220,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Ansonia School District",900901220,"2012-2013","Bullying","Number","Total Incidents",-9999
"Ansonia School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Ansonia School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Ansonia School District",900901220,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Ansonia School District",900901220,"2014-2015","Bullying","Number","Total Incidents",-9999
"Ansonia School District",900901220,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Ansonia School District",900901220,"2015-2016","Bullying","Number","Total Incidents",-9999
"Ansonia School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Ansonia School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Area Cooperative Educational Services",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",6
"Area Cooperative Educational Services",NA,"2012-2013","Bullying","Number","Total Incidents",6
"Area Cooperative Educational Services",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",27
"Area Cooperative Educational Services",NA,"2013-2014","Bullying","Number","Total Incidents",31
"Area Cooperative Educational Services",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",6
"Area Cooperative Educational Services",NA,"2014-2015","Bullying","Number","Total Incidents",7
"Area Cooperative Educational Services",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Area Cooperative Educational Services",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Area Cooperative Educational Services",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",7
"Area Cooperative Educational Services",NA,"2016-2017","Bullying","Number","Total Incidents",8
"Ashford School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Ashford School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Ashford School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Ashford School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Ashford School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Ashford School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Ashford School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Ashford School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Ashford School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Ashford School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Avon School District",900302060,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Avon School District",900302060,"2012-2013","Bullying","Number","Total Incidents",-9999
"Avon School District",900302060,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Avon School District",900302060,"2013-2014","Bullying","Number","Total Incidents",-9999
"Avon School District",900302060,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Avon School District",900302060,"2014-2015","Bullying","Number","Total Incidents",-9999
"Avon School District",900302060,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Avon School District",900302060,"2015-2016","Bullying","Number","Total Incidents",-9999
"Avon School District",900302060,"2016-2017","Bullying","Number","Students with at least 1 incident",7
"Avon School District",900302060,"2016-2017","Bullying","Number","Total Incidents",10
"Barkhamsted School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Barkhamsted School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Barkhamsted School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Barkhamsted School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Barkhamsted School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Barkhamsted School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Barkhamsted School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Barkhamsted School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Barkhamsted School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Barkhamsted School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Berlin School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Berlin School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Berlin School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Berlin School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Berlin School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Berlin School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Berlin School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Berlin School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Berlin School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Berlin School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Bethany School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Bethany School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Bethany School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Bethany School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Bethany School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Bethany School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Bethany School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Bethany School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Bethany School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Bethany School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Bethel School District",900104720,"2012-2013","Bullying","Number","Students with at least 1 incident",7
"Bethel School District",900104720,"2012-2013","Bullying","Number","Total Incidents",11
"Bethel School District",900104720,"2013-2014","Bullying","Number","Students with at least 1 incident",9
"Bethel School District",900104720,"2013-2014","Bullying","Number","Total Incidents",11
"Bethel School District",900104720,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Bethel School District",900104720,"2014-2015","Bullying","Number","Total Incidents",-9999
"Bethel School District",900104720,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Bethel School District",900104720,"2015-2016","Bullying","Number","Total Incidents",8
"Bethel School District",900104720,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Bethel School District",900104720,"2016-2017","Bullying","Number","Total Incidents",6
"Bloomfield School District",900305910,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Bloomfield School District",900305910,"2012-2013","Bullying","Number","Total Incidents",-9999
"Bloomfield School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Bloomfield School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Bloomfield School District",900305910,"2014-2015","Bullying","Number","Students with at least 1 incident",6
"Bloomfield School District",900305910,"2014-2015","Bullying","Number","Total Incidents",6
"Bloomfield School District",900305910,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Bloomfield School District",900305910,"2015-2016","Bullying","Number","Total Incidents",-9999
"Bloomfield School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Bloomfield School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Bolton School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Bolton School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Bolton School District",901306260,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Bolton School District",901306260,"2013-2014","Bullying","Number","Total Incidents",7
"Bolton School District",901306260,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Bolton School District",901306260,"2014-2015","Bullying","Number","Total Incidents",6
"Bolton School District",901306260,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Bolton School District",901306260,"2015-2016","Bullying","Number","Total Incidents",-9999
"Bolton School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Bolton School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Booker T Washington Academy District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Booker T Washington Academy District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Booker T Washington Academy District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Booker T Washington Academy District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Booker T Washington Academy District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Booker T Washington Academy District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Booker T Washington Academy District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Booker T Washington Academy District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Booker T Washington Academy District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Booker T Washington Academy District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Bozrah School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Bozrah School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Bozrah School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Bozrah School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Bozrah School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Bozrah School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Bozrah School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Bozrah School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Bozrah School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Bozrah School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Branford School District",900907310,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Branford School District",900907310,"2012-2013","Bullying","Number","Total Incidents",-9999
"Branford School District",900907310,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Branford School District",900907310,"2013-2014","Bullying","Number","Total Incidents",8
"Branford School District",900907310,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Branford School District",900907310,"2014-2015","Bullying","Number","Total Incidents",-9999
"Branford School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Branford School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Branford School District",900907310,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Branford School District",900907310,"2016-2017","Bullying","Number","Total Incidents",-9999
"Brass City Charter School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Brass City Charter School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Brass City Charter School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Brass City Charter School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Brass City Charter School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Brass City Charter School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Brass City Charter School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Brass City Charter School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Brass City Charter School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Brass City Charter School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Bridgeport School District",900108070,"2012-2013","Bullying","Number","Students with at least 1 incident",57
"Bridgeport School District",900108070,"2012-2013","Bullying","Number","Total Incidents",63
"Bridgeport School District",900108070,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Bridgeport School District",900108070,"2013-2014","Bullying","Number","Total Incidents",-9999
"Bridgeport School District",900108070,"2014-2015","Bullying","Number","Students with at least 1 incident",46
"Bridgeport School District",900108070,"2014-2015","Bullying","Number","Total Incidents",50
"Bridgeport School District",900108070,"2015-2016","Bullying","Number","Students with at least 1 incident",28
"Bridgeport School District",900108070,"2015-2016","Bullying","Number","Total Incidents",40
"Bridgeport School District",900108070,"2016-2017","Bullying","Number","Students with at least 1 incident",22
"Bridgeport School District",900108070,"2016-2017","Bullying","Number","Total Incidents",28
"Bristol School District",900308490,"2012-2013","Bullying","Number","Students with at least 1 incident",11
"Bristol School District",900308490,"2012-2013","Bullying","Number","Total Incidents",11
"Bristol School District",900308490,"2013-2014","Bullying","Number","Students with at least 1 incident",9
"Bristol School District",900308490,"2013-2014","Bullying","Number","Total Incidents",9
"Bristol School District",900308490,"2014-2015","Bullying","Number","Students with at least 1 incident",14
"Bristol School District",900308490,"2014-2015","Bullying","Number","Total Incidents",17
"Bristol School District",900308490,"2015-2016","Bullying","Number","Students with at least 1 incident",16
"Bristol School District",900308490,"2015-2016","Bullying","Number","Total Incidents",19
"Bristol School District",900308490,"2016-2017","Bullying","Number","Students with at least 1 incident",8
"Bristol School District",900308490,"2016-2017","Bullying","Number","Total Incidents",9
"Brookfield School District",900108980,"2012-2013","Bullying","Number","Students with at least 1 incident",10
"Brookfield School District",900108980,"2012-2013","Bullying","Number","Total Incidents",10
"Brookfield School District",900108980,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Brookfield School District",900108980,"2013-2014","Bullying","Number","Total Incidents",-9999
"Brookfield School District",900108980,"2014-2015","Bullying","Number","Students with at least 1 incident",6
"Brookfield School District",900108980,"2014-2015","Bullying","Number","Total Incidents",6
"Brookfield School District",900108980,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Brookfield School District",900108980,"2015-2016","Bullying","Number","Total Incidents",-9999
"Brookfield School District",900108980,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Brookfield School District",900108980,"2016-2017","Bullying","Number","Total Incidents",-9999
"Brooklyn School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",6
"Brooklyn School District",NA,"2012-2013","Bullying","Number","Total Incidents",8
"Brooklyn School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Brooklyn School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Brooklyn School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",6
"Brooklyn School District",NA,"2014-2015","Bullying","Number","Total Incidents",7
"Brooklyn School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",9
"Brooklyn School District",NA,"2015-2016","Bullying","Number","Total Incidents",13
"Brooklyn School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Brooklyn School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Canaan School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Canaan School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Canaan School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Canaan School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Canaan School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Canaan School District",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Canaan School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Canaan School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Canaan School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Canaan School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Canterbury School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Canterbury School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Canterbury School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Canterbury School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Canterbury School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Canterbury School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Canterbury School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Canterbury School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Canterbury School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Canterbury School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Canton School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Canton School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Canton School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Canton School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Canton School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Canton School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Canton School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Canton School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Canton School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Canton School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Capital Preparatory Harbor School Inc. District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Capital Preparatory Harbor School Inc. District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Capitol Region Education Council",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",20
"Capitol Region Education Council",NA,"2012-2013","Bullying","Number","Total Incidents",26
"Capitol Region Education Council",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",9
"Capitol Region Education Council",NA,"2013-2014","Bullying","Number","Total Incidents",11
"Capitol Region Education Council",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",15
"Capitol Region Education Council",NA,"2014-2015","Bullying","Number","Total Incidents",22
"Capitol Region Education Council",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",8
"Capitol Region Education Council",NA,"2015-2016","Bullying","Number","Total Incidents",9
"Capitol Region Education Council",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",15
"Capitol Region Education Council",NA,"2016-2017","Bullying","Number","Total Incidents",16
"Chaplin School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Chaplin School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Chaplin School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Chaplin School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Chaplin School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Chaplin School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Chaplin School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Chaplin School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Chaplin School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Chaplin School District",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Charter School for Young Children on Asylum Hill",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Charter School for Young Children on Asylum Hill",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Charter School for Young Children on Asylum Hill",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Charter School for Young Children on Asylum Hill",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Charter School for Young Children on Asylum Hill",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Charter School for Young Children on Asylum Hill",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Charter School for Young Children on Asylum Hill",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Charter School for Young Children on Asylum Hill",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Charter School for Young Children on Asylum Hill",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Charter School for Young Children on Asylum Hill",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Cheshire School District",900914160,"2012-2013","Bullying","Number","Students with at least 1 incident",12
"Cheshire School District",900914160,"2012-2013","Bullying","Number","Total Incidents",12
"Cheshire School District",900914160,"2013-2014","Bullying","Number","Students with at least 1 incident",24
"Cheshire School District",900914160,"2013-2014","Bullying","Number","Total Incidents",30
"Cheshire School District",900914160,"2014-2015","Bullying","Number","Students with at least 1 incident",20
"Cheshire School District",900914160,"2014-2015","Bullying","Number","Total Incidents",21
"Cheshire School District",900914160,"2015-2016","Bullying","Number","Students with at least 1 incident",15
"Cheshire School District",900914160,"2015-2016","Bullying","Number","Total Incidents",19
"Cheshire School District",900914160,"2016-2017","Bullying","Number","Students with at least 1 incident",14
"Cheshire School District",900914160,"2016-2017","Bullying","Number","Total Incidents",16
"Chester School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Chester School District",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Chester School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Chester School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Chester School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Chester School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Chester School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Chester School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Chester School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Chester School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Clinton School District",900715350,"2012-2013","Bullying","Number","Students with at least 1 incident",6
"Clinton School District",900715350,"2012-2013","Bullying","Number","Total Incidents",12
"Clinton School District",900715350,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Clinton School District",900715350,"2013-2014","Bullying","Number","Total Incidents",6
"Clinton School District",900715350,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Clinton School District",900715350,"2014-2015","Bullying","Number","Total Incidents",-9999
"Clinton School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Clinton School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Clinton School District",900715350,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Clinton School District",900715350,"2016-2017","Bullying","Number","Total Incidents",8
"Colchester School District",901115910,"2012-2013","Bullying","Number","Students with at least 1 incident",8
"Colchester School District",901115910,"2012-2013","Bullying","Number","Total Incidents",8
"Colchester School District",901115910,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Colchester School District",901115910,"2013-2014","Bullying","Number","Total Incidents",-9999
"Colchester School District",901115910,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Colchester School District",901115910,"2014-2015","Bullying","Number","Total Incidents",-9999
"Colchester School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Colchester School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Colchester School District",901115910,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Colchester School District",901115910,"2016-2017","Bullying","Number","Total Incidents",-9999
"Colebrook School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Colebrook School District",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Colebrook School District",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Colebrook School District",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Colebrook School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Colebrook School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Colebrook School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Colebrook School District",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Colebrook School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Colebrook School District",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Columbia School District",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
