"Age Range","Label","White","Black","Hispanic","Other","Total"
" ","Pop","19,867","1,648","8,352","3,206","33,073"
" ","Tx","1,987","165","835","321","3,307"
" ","Life","3,973","330","1,670","641","6,615"
" ","Pop","16,014","1,122","5,287","2,035","24,458"
" ","Tx","1,601","112","529","204","2,446"
" ","Life","3,203","224","1,057","407","4,892"
" ","Pop","27,080","2,045","8,058","2,660","39,843"
" ","Tx","2,708","204","806","266","3,984"
" ","Life","5,416","409","1,612","532","7,969"
" ","Pop","17,824","1,416","4,998","1,325","25,563"
" ","Tx","1,782","142","500","132","2,556"
" ","Life","3,565","283","1,000","265","5,113"
" ","Pop","7,291","685","2,220","463","10,659"
" ","Tx","729","68","222","46","1,066"
" ","Life","1,458","137","444","93","2,132"
" ","Pop","88,076","6,916","28,915","9,689","133,596"
" ","Tx","8,808","692","2,892","969","13,360"
" ","Life","17,615","1,383","5,783","1,938","26,719"
