"Town","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value"
"Ellington",901325360,"2012-2016","All","Number","Median Household Income",79917
"Enfield",900325990,"2012-2016","All","Number","Margins of Error",3369
"Enfield",900325990,"2012-2016","All","Number","Median Household Income",71526
"Essex",900726270,"2012-2016","All","Number","Margins of Error",14911
"Essex",900726270,"2012-2016","All","Number","Median Household Income",89950
"Fairfield",900126620,"2012-2016","All","Number","Margins of Error",5065
"Fairfield",900126620,"2012-2016","All","Number","Median Household Income",122135
"Farmington",900327600,"2012-2016","All","Number","Margins of Error",5094
"Farmington",900327600,"2012-2016","All","Number","Median Household Income",95158
"Franklin",901129910,"2012-2016","All","Number","Margins of Error",15896
"Franklin",901129910,"2012-2016","All","Number","Median Household Income",93438
"Glastonbury",900331240,"2012-2016","All","Number","Margins of Error",6358
"Glastonbury",900331240,"2012-2016","All","Number","Median Household Income",108600
"Goshen",900532290,"2012-2016","All","Number","Margins of Error",7231
"Goshen",900532290,"2012-2016","All","Number","Median Household Income",95219
"Granby",900332640,"2012-2016","All","Number","Margins of Error",18438
"Granby",900332640,"2012-2016","All","Number","Median Household Income",109901
"Greenwich",900133620,"2012-2016","All","Number","Margins of Error",6934
"Greenwich",900133620,"2012-2016","All","Number","Median Household Income",134223
"Griswold",901133900,"2012-2016","All","Number","Margins of Error",6470
"Griswold",901133900,"2012-2016","All","Number","Median Household Income",57312
"Groton",901134250,"2012-2016","All","Number","Margins of Error",2733
"Groton",901134250,"2012-2016","All","Number","Median Household Income",64074
"Guilford",900934950,"2012-2016","All","Number","Margins of Error",6611
"Guilford",900934950,"2012-2016","All","Number","Median Household Income",102199
"Haddam",900735230,"2012-2016","All","Number","Margins of Error",9408
"Haddam",900735230,"2012-2016","All","Number","Median Household Income",99258
"Hamden",900935650,"2012-2016","All","Number","Margins of Error",2226
"Hamden",900935650,"2012-2016","All","Number","Median Household Income",71665
"Hampton",901536000,"2012-2016","All","Number","Margins of Error",3147
"Hampton",901536000,"2012-2016","All","Number","Median Household Income",73684
"Hartford",900337070,"2012-2016","All","Number","Margins of Error",1096
"Hartford",900337070,"2012-2016","All","Number","Median Household Income",32095
"Hartland",900337140,"2012-2016","All","Number","Margins of Error",4302
"Hartland",900337140,"2012-2016","All","Number","Median Household Income",89438
"Harwinton",900537280,"2012-2016","All","Number","Margins of Error",6696
"Harwinton",900537280,"2012-2016","All","Number","Median Household Income",93770
"Hebron",901337910,"2012-2016","All","Number","Margins of Error",14474
"Hebron",901337910,"2012-2016","All","Number","Median Household Income",110739
"Kent",900540290,"2012-2016","All","Number","Margins of Error",9741
"Kent",900540290,"2012-2016","All","Number","Median Household Income",61875
"Killingly",901540500,"2012-2016","All","Number","Margins of Error",7752
"Killingly",901540500,"2012-2016","All","Number","Median Household Income",60548
"Killingworth",900740710,"2012-2016","All","Number","Margins of Error",12191
"Killingworth",900740710,"2012-2016","All","Number","Median Household Income",103295
"Lebanon",901142390,"2012-2016","All","Number","Margins of Error",10335
"Lebanon",901142390,"2012-2016","All","Number","Median Household Income",88125
"Ledyard",901142600,"2012-2016","All","Number","Margins of Error",8177
"Ledyard",901142600,"2012-2016","All","Number","Median Household Income",84821
"Lisbon",901143230,"2012-2016","All","Number","Margins of Error",8061
"Lisbon",901143230,"2012-2016","All","Number","Median Household Income",86833
"Litchfield",900543370,"2012-2016","All","Number","Margins of Error",4758
"Litchfield",900543370,"2012-2016","All","Number","Median Household Income",80951
"Lyme",901144210,"2012-2016","All","Number","Margins of Error",14998
"Lyme",901144210,"2012-2016","All","Number","Median Household Income",89643
"Madison",900944560,"2012-2016","All","Number","Margins of Error",6821
"Madison",900944560,"2012-2016","All","Number","Median Household Income",105673
"Manchester",900344700,"2012-2016","All","Number","Margins of Error",2310
"Manchester",900344700,"2012-2016","All","Number","Median Household Income",65592
"Mansfield",901344910,"2012-2016","All","Number","Margins of Error",6684
"Mansfield",901344910,"2012-2016","All","Number","Median Household Income",63391
"Marlborough",900345820,"2012-2016","All","Number","Margins of Error",14208
"Marlborough",900345820,"2012-2016","All","Number","Median Household Income",103276
"Meriden",900946520,"2012-2016","All","Number","Margins of Error",2393
"Meriden",900946520,"2012-2016","All","Number","Median Household Income",55547
"Middlebury",900946940,"2012-2016","All","Number","Margins of Error",7943
"Middlebury",900946940,"2012-2016","All","Number","Median Household Income",103235
"Middlefield",900747080,"2012-2016","All","Number","Margins of Error",6890
"Middlefield",900747080,"2012-2016","All","Number","Median Household Income",103262
"Middletown",900747360,"2012-2016","All","Number","Margins of Error",3862
"Middletown",900747360,"2012-2016","All","Number","Median Household Income",63828
"Milford",900947535,"2012-2016","All","Number","Margins of Error",3132
"Milford",900947535,"2012-2016","All","Number","Median Household Income",81844
"Monroe",900148620,"2012-2016","All","Number","Margins of Error",9981
"Monroe",900148620,"2012-2016","All","Number","Median Household Income",113333
"Montville",901148900,"2012-2016","All","Number","Margins of Error",6698
"Montville",901148900,"2012-2016","All","Number","Median Household Income",73160
"Morris",900549460,"2012-2016","All","Number","Margins of Error",13695
"Morris",900549460,"2012-2016","All","Number","Median Household Income",82031
"Naugatuck",900949950,"2012-2016","All","Number","Margins of Error",3359
"Naugatuck",900949950,"2012-2016","All","Number","Median Household Income",59522
"New Britain",900350440,"2012-2016","All","Number","Margins of Error",1853
"New Britain",900350440,"2012-2016","All","Number","Median Household Income",41844
"New Canaan",900150580,"2012-2016","All","Number","Margins of Error",13441
"New Canaan",900150580,"2012-2016","All","Number","Median Household Income",176601
"New Fairfield",900150860,"2012-2016","All","Number","Margins of Error",2917
