"FixedDistrict","Year","Domain","Level 1","Level 2","Level 3","R#","Region"
"Enfield School District","2016-17","Creative",9.8,51.5,38.7,4,"North Central"
"Enfield School District","2016-17","Physical",11.9,47.3,40.8,4,"North Central"
"Enfield School District","2016-17","Literacy",27.7,43.8,28.4,4,"North Central"
"Essex School District","2016-17","Numeracy",27.3,40.9,31.8,3,"Eastern"
"Essex School District","2016-17","Language",22.7,50,27.3,3,"Eastern"
"Essex School District","2016-17","Creative",18.2,40.9,40.9,3,"Eastern"
"Essex School District","2016-17","Literacy",25,40.9,34.1,3,"Eastern"
"Essex School District","2016-17","Personal",22.7,45.5,31.8,3,"Eastern"
"Essex School District","2016-17","Physical",18.2,38.6,43.2,3,"Eastern"
"Explorations District","2016-17","Numeracy",NA,NA,NA,5,"Western"
"Explorations District","2016-17","Creative",NA,NA,NA,5,"Western"
"Explorations District","2016-17","Personal",NA,NA,NA,5,"Western"
"Explorations District","2016-17","Literacy",NA,NA,NA,5,"Western"
"Explorations District","2016-17","Physical",NA,NA,NA,5,"Western"
"Explorations District","2016-17","Language",NA,NA,NA,5,"Western"
"Fairfield School District","2016-17","Creative",4.8,32.5,62.7,1,"Southwest"
"Fairfield School District","2016-17","Literacy",15.2,36.4,48.5,1,"Southwest"
"Fairfield School District","2016-17","Physical",7.4,30,62.5,1,"Southwest"
"Fairfield School District","2016-17","Personal",12.8,38.1,49.1,1,"Southwest"
"Fairfield School District","2016-17","Language",14.6,33.7,51.7,1,"Southwest"
"Fairfield School District","2016-17","Numeracy",10.2,33.6,56.2,1,"Southwest"
"Farmington School District","2016-17","Physical",3,20.6,76.4,6,"Central"
"Farmington School District","2016-17","Language",13.1,32.6,54.3,6,"Central"
"Farmington School District","2016-17","Numeracy",8.2,25.8,65.9,6,"Central"
"Farmington School District","2016-17","Personal",11.2,31.5,57.3,6,"Central"
"Farmington School District","2016-17","Creative",7.1,17.6,75.3,6,"Central"
"Farmington School District","2016-17","Literacy",13.1,27.7,59.2,6,"Central"
"Franklin School District","2016-17","Language",NA,NA,NA,3,"Eastern"
"Franklin School District","2016-17","Numeracy",NA,NA,NA,3,"Eastern"
"Franklin School District","2016-17","Creative",NA,NA,NA,3,"Eastern"
"Franklin School District","2016-17","Physical",NA,NA,NA,3,"Eastern"
"Franklin School District","2016-17","Literacy",NA,NA,NA,3,"Eastern"
"Franklin School District","2016-17","Personal",NA,NA,NA,3,"Eastern"
"Glastonbury School District","2016-17","Numeracy",21.1,38.6,40.3,4,"North Central"
"Glastonbury School District","2016-17","Creative",14.9,39.4,45.6,4,"North Central"
"Glastonbury School District","2016-17","Literacy",23.4,37.5,39.2,4,"North Central"
"Glastonbury School District","2016-17","Personal",20.3,36.6,43.1,4,"North Central"
"Glastonbury School District","2016-17","Physical",15.8,37.7,46.5,4,"North Central"
"Glastonbury School District","2016-17","Language",28.2,35.8,36.1,4,"North Central"
"Granby School District","2016-17","Numeracy",1.1,15.1,83.9,4,"North Central"
"Granby School District","2016-17","Personal",4.3,12.9,82.8,4,"North Central"
"Granby School District","2016-17","Creative",2.2,6.5,91.4,4,"North Central"
"Granby School District","2016-17","Language",2.2,14,83.9,4,"North Central"
"Granby School District","2016-17","Literacy",4.3,18.3,77.4,4,"North Central"
"Granby School District","2016-17","Physical",NA,7.5,92.5,4,"North Central"
"Great Oaks Charter School Bridgeport","2016-17","Personal",NA,NA,NA,1,"Southwest"
"Great Oaks Charter School Bridgeport","2016-17","Physical",NA,NA,NA,1,"Southwest"
"Great Oaks Charter School Bridgeport","2016-17","Language",NA,NA,NA,1,"Southwest"
"Great Oaks Charter School Bridgeport","2016-17","Literacy",NA,NA,NA,1,"Southwest"
"Great Oaks Charter School Bridgeport","2016-17","Numeracy",NA,NA,NA,1,"Southwest"
"Great Oaks Charter School Bridgeport","2016-17","Creative",NA,NA,NA,1,"Southwest"
"Greenwich School District","2016-17","Creative",4.7,24.9,70.4,1,"Southwest"
"Greenwich School District","2016-17","Language",11.9,28.8,59.3,1,"Southwest"
"Greenwich School District","2016-17","Personal",7.7,32.6,59.8,1,"Southwest"
"Greenwich School District","2016-17","Numeracy",11.4,31.5,57.1,1,"Southwest"
"Greenwich School District","2016-17","Physical",4.5,29.3,66.2,1,"Southwest"
"Greenwich School District","2016-17","Literacy",15.5,31.5,53,1,"Southwest"
"Griswold School District","2016-17","Numeracy",18.6,44.1,37.3,3,"Eastern"
"Griswold School District","2016-17","Creative",10.2,44.1,45.8,3,"Eastern"
"Griswold School District","2016-17","Language",21.2,50.8,28,3,"Eastern"
"Griswold School District","2016-17","Physical",12.7,48.3,39,3,"Eastern"
"Griswold School District","2016-17","Literacy",22.9,46.6,30.5,3,"Eastern"
"Griswold School District","2016-17","Personal",23.7,55.1,21.2,3,"Eastern"
"Groton School District","2016-17","Numeracy",25.1,45.2,29.7,3,"Eastern"
"Groton School District","2016-17","Creative",16,53.5,30.5,3,"Eastern"
"Groton School District","2016-17","Physical",19.4,49.1,31.5,3,"Eastern"
"Groton School District","2016-17","Personal",21.4,49.1,29.5,3,"Eastern"
"Groton School District","2016-17","Literacy",30.7,44.2,25.1,3,"Eastern"
"Groton School District","2016-17","Language",25.8,47.5,26.6,3,"Eastern"
"Guilford School District","2016-17","Personal",3.6,19,77.4,3,"Eastern"
"Guilford School District","2016-17","Literacy",11.8,30.8,57.4,3,"Eastern"
"Guilford School District","2016-17","Numeracy",3.6,27.7,68.7,3,"Eastern"
"Guilford School District","2016-17","Language",10.3,24.6,65.1,3,"Eastern"
"Guilford School District","2016-17","Creative",3.1,16.9,80,3,"Eastern"
"Guilford School District","2016-17","Physical",1,16.4,82.6,3,"Eastern"
"Hamden School District","2016-17","Language",24.4,49.1,26.5,2,"South Central"
"Hamden School District","2016-17","Numeracy",17.5,51.2,31.3,2,"South Central"
"Hamden School District","2016-17","Physical",13.3,49.6,37.1,2,"South Central"
"Hamden School District","2016-17","Literacy",23.9,45.6,30.5,2,"South Central"
"Hamden School District","2016-17","Personal",24.7,39.3,36.1,2,"South Central"
"Hamden School District","2016-17","Creative",12.7,49.1,38.2,2,"South Central"
"Hampton School District","2016-17","Language",NA,NA,NA,3,"Eastern"
"Hampton School District","2016-17","Personal",NA,NA,NA,3,"Eastern"
"Hampton School District","2016-17","Physical",NA,NA,NA,3,"Eastern"
"Hampton School District","2016-17","Numeracy",NA,NA,NA,3,"Eastern"
"Hampton School District","2016-17","Creative",NA,NA,NA,3,"Eastern"
"Hampton School District","2016-17","Literacy",NA,NA,NA,3,"Eastern"
"Hartford School District","2016-17","Creative",19.7,43,37.3,4,"North Central"
"Hartford School District","2016-17","Physical",15.7,45.6,38.8,4,"North Central"
"Hartford School District","2016-17","Literacy",36.4,36.4,27.3,4,"North Central"
"Hartford School District","2016-17","Language",34.1,35.2,30.7,4,"North Central"
"Hartford School District","2016-17","Numeracy",34.3,38.9,26.7,4,"North Central"
"Hartford School District","2016-17","Personal",25.1,43.6,31.3,4,"North Central"
"Hartland School District","2016-17","Literacy",NA,NA,NA,5,"Western"
"Hartland School District","2016-17","Creative",NA,NA,NA,5,"Western"
"Hartland School District","2016-17","Numeracy",NA,NA,NA,5,"Western"
"Hartland School District","2016-17","Personal",NA,NA,NA,5,"Western"
"Hartland School District","2016-17","Language",NA,NA,NA,5,"Western"
"Hartland School District","2016-17","Physical",NA,NA,NA,5,"Western"
"Hebron School District","2016-17","Language",7.1,30,62.9,4,"North Central"
"Hebron School District","2016-17","Personal",4.3,24.3,71.4,4,"North Central"
"Hebron School District","2016-17","Creative",2.9,24.3,72.9,4,"North Central"
"Hebron School District","2016-17","Literacy",11.4,35.7,52.9,4,"North Central"
"Hebron School District","2016-17","Physical",2.9,27.1,70,4,"North Central"
"Hebron School District","2016-17","Numeracy",8.6,35.7,55.7,4,"North Central"
"Highville Charter School District","2016-17","Language",35,37.5,27.5,2,"South Central"
"Highville Charter School District","2016-17","Physical",27.5,40,32.5,2,"South Central"
"Highville Charter School District","2016-17","Literacy",35,27.5,37.5,2,"South Central"
"Highville Charter School District","2016-17","Personal",42.5,27.5,30,2,"South Central"
"Highville Charter School District","2016-17","Numeracy",27.5,42.5,30,2,"South Central"
"Highville Charter School District","2016-17","Creative",15,55,30,2,"South Central"
"Integrated Day Charter School District","2016-17","Literacy",16.1,41.9,41.9,3,"Eastern"
"Integrated Day Charter School District","2016-17","Creative",25.8,32.3,41.9,3,"Eastern"
"Integrated Day Charter School District","2016-17","Language",9.7,32.3,58.1,3,"Eastern"
"Integrated Day Charter School District","2016-17","Personal",25.8,41.9,32.3,3,"Eastern"
"Integrated Day Charter School District","2016-17","Physical",9.7,22.6,67.7,3,"Eastern"
"Integrated Day Charter School District","2016-17","Numeracy",9.7,51.6,38.7,3,"Eastern"
"Interdistrict School for Arts and Communication District","2016-17","Physical",NA,NA,NA,3,"Eastern"
"Interdistrict School for Arts and Communication District","2016-17","Personal",NA,NA,NA,3,"Eastern"
"Interdistrict School for Arts and Communication District","2016-17","Numeracy",NA,NA,NA,3,"Eastern"
"Interdistrict School for Arts and Communication District","2016-17","Creative",NA,NA,NA,3,"Eastern"
"Interdistrict School for Arts and Communication District","2016-17","Literacy",NA,NA,NA,3,"Eastern"
"Interdistrict School for Arts and Communication District","2016-17","Language",NA,NA,NA,3,"Eastern"
"Jumoke Academy District","2016-17","Personal",2.7,49.3,47.9,4,"North Central"
"Jumoke Academy District","2016-17","Creative",1.4,30.1,68.5,4,"North Central"
"Jumoke Academy District","2016-17","Language",8.2,50.7,41.1,4,"North Central"
"Jumoke Academy District","2016-17","Physical",2.7,23.3,74,4,"North Central"
"Jumoke Academy District","2016-17","Literacy",9.6,58.9,31.5,4,"North Central"
"Jumoke Academy District","2016-17","Numeracy",4.1,63,32.9,4,"North Central"
"Kent School District","2016-17","Language",NA,NA,NA,5,"Western"
"Kent School District","2016-17","Literacy",NA,NA,NA,5,"Western"
"Kent School District","2016-17","Numeracy",NA,NA,NA,5,"Western"
"Kent School District","2016-17","Personal",NA,NA,NA,5,"Western"
"Kent School District","2016-17","Creative",NA,NA,NA,5,"Western"
"Kent School District","2016-17","Physical",NA,NA,NA,5,"Western"
"Killingly School District","2016-17","Literacy",20,30.6,49.4,3,"Eastern"
"Killingly School District","2016-17","Personal",18.8,39.4,41.9,3,"Eastern"
"Killingly School District","2016-17","Numeracy",18.1,36.3,45.6,3,"Eastern"
"Killingly School District","2016-17","Physical",13.1,31.3,55.6,3,"Eastern"
"Killingly School District","2016-17","Creative",12.5,30,57.5,3,"Eastern"
"Killingly School District","2016-17","Language",21.9,34.4,43.8,3,"Eastern"
"LEARN","2016-17","Creative",10.1,27.2,62.7,NA,NA
"LEARN","2016-17","Numeracy",16.7,34.8,48.4,NA,NA
"LEARN","2016-17","Language",19.9,32.1,48.1,NA,NA
"LEARN","2016-17","Personal",21.6,32.4,46,NA,NA
"LEARN","2016-17","Literacy",21.3,35.5,43.2,NA,NA
"LEARN","2016-17","Physical",9.4,21.3,69.3,NA,NA
"Lebanon School District","2016-17","Creative",7.4,77.8,14.8,3,"Eastern"
"Lebanon School District","2016-17","Literacy",22.2,51.9,25.9,3,"Eastern"
"Lebanon School District","2016-17","Physical",3.7,61.1,35.2,3,"Eastern"
"Lebanon School District","2016-17","Numeracy",3.7,55.6,40.7,3,"Eastern"
"Lebanon School District","2016-17","Personal",9.3,61.1,29.6,3,"Eastern"
"Lebanon School District","2016-17","Language",24.1,51.9,24.1,3,"Eastern"
"Ledyard School District","2016-17","Language",28.5,41.1,30.4,3,"Eastern"
"Ledyard School District","2016-17","Physical",10.1,51.3,38.6,3,"Eastern"
"Ledyard School District","2016-17","Creative",15.2,43.7,41.1,3,"Eastern"
"Ledyard School District","2016-17","Personal",19.6,41.1,39.2,3,"Eastern"
"Ledyard School District","2016-17","Literacy",25.9,35.4,38.6,3,"Eastern"
"Ledyard School District","2016-17","Numeracy",23.4,37.3,39.2,3,"Eastern"
"Lisbon School District","2016-17","Physical",8.1,45.9,45.9,3,"Eastern"
"Lisbon School District","2016-17","Literacy",16.2,54.1,29.7,3,"Eastern"
"Lisbon School District","2016-17","Language",27,32.4,40.5,3,"Eastern"
"Lisbon School District","2016-17","Creative",8.1,43.2,48.6,3,"Eastern"
"Lisbon School District","2016-17","Numeracy",21.6,32.4,45.9,3,"Eastern"
"Lisbon School District","2016-17","Personal",21.6,32.4,45.9,3,"Eastern"
"Litchfield School District","2016-17","Literacy",30.4,50.7,18.8,5,"Western"
"Litchfield School District","2016-17","Language",31.9,46.4,21.7,5,"Western"
"Litchfield School District","2016-17","Personal",24.6,47.8,27.5,5,"Western"
"Litchfield School District","2016-17","Numeracy",29,65.2,5.8,5,"Western"
"Litchfield School District","2016-17","Physical",30.4,52.2,17.4,5,"Western"
"Litchfield School District","2016-17","Creative",27.5,52.2,20.3,5,"Western"
"Madison School District","2016-17","Creative",13.7,20.9,65.4,3,"Eastern"
"Madison School District","2016-17","Personal",8.5,32,59.5,3,"Eastern"
"Madison School District","2016-17","Numeracy",3.9,32,64.1,3,"Eastern"
"Madison School District","2016-17","Physical",3.3,34.6,62.1,3,"Eastern"
"Madison School District","2016-17","Language",6.5,37.9,55.6,3,"Eastern"
"Madison School District","2016-17","Literacy",5.2,54.2,40.5,3,"Eastern"
"Manchester School District","2016-17","Physical",29.6,53.3,17.1,4,"North Central"
"Manchester School District","2016-17","Language",44.3,41,14.7,4,"North Central"
"Manchester School District","2016-17","Creative",30.2,50.5,19.4,4,"North Central"
"Manchester School District","2016-17","Numeracy",43.8,43,13.2,4,"North Central"
"Manchester School District","2016-17","Literacy",45.6,41.5,12.8,4,"North Central"
"Manchester School District","2016-17","Personal",41.9,43,15.1,4,"North Central"
"Mansfield School District","2016-17","Creative",13.4,43.3,43.3,3,"Eastern"
"Mansfield School District","2016-17","Physical",12.4,50.5,37.1,3,"Eastern"
"Mansfield School District","2016-17","Literacy",20.6,51.5,27.8,3,"Eastern"
"Mansfield School District","2016-17","Personal",14.4,52.6,33,3,"Eastern"
"Mansfield School District","2016-17","Numeracy",16.5,55.7,27.8,3,"Eastern"
"Mansfield School District","2016-17","Language",18.6,53.6,27.8,3,"Eastern"
"Marlborough School District","2016-17","Physical",6.6,19.7,73.8,4,"North Central"
"Marlborough School District","2016-17","Numeracy",8.2,31.1,60.7,4,"North Central"
"Marlborough School District","2016-17","Personal",9.8,29.5,60.7,4,"North Central"
"Marlborough School District","2016-17","Creative",3.3,13.1,83.6,4,"North Central"
"Marlborough School District","2016-17","Literacy",8.2,29.5,62.3,4,"North Central"
"Marlborough School District","2016-17","Language",8.2,29.5,62.3,4,"North Central"
"Meriden School District","2016-17","Numeracy",30.2,45.8,24,6,"Central"
"Meriden School District","2016-17","Creative",18.4,48.5,33.1,6,"Central"
"Meriden School District","2016-17","Physical",17.8,46.1,36.1,6,"Central"
"Meriden School District","2016-17","Language",31,37.9,31.1,6,"Central"
"Meriden School District","2016-17","Personal",25.4,41.6,33,6,"Central"
"Meriden School District","2016-17","Literacy",40.2,38.2,21.5,6,"Central"
"Middletown School District","2016-17","Numeracy",32.6,39.6,27.8,3,"Eastern"
"Middletown School District","2016-17","Physical",19.9,48.8,31.3,3,"Eastern"
"Middletown School District","2016-17","Personal",29.9,41.8,28.3,3,"Eastern"
"Middletown School District","2016-17","Creative",22.6,42,35.3,3,"Eastern"
"Middletown School District","2016-17","Literacy",34,39.6,26.4,3,"Eastern"
"Middletown School District","2016-17","Language",34,39.9,26.1,3,"Eastern"
"Milford School District","2016-17","Personal",10.5,33.1,56.5,2,"South Central"
"Milford School District","2016-17","Language",11.3,46.5,42.2,2,"South Central"
"Milford School District","2016-17","Physical",5.9,25.5,68.5,2,"South Central"
"Milford School District","2016-17","Literacy",14.5,39.8,45.7,2,"South Central"
"Milford School District","2016-17","Numeracy",12.6,38.2,49.2,2,"South Central"
"Milford School District","2016-17","Creative",5.1,22.3,72.6,2,"South Central"
"Monroe School District","2016-17","Physical",3.9,52.7,43.3,1,"Southwest"
"Monroe School District","2016-17","Literacy",12.3,53.2,34.5,1,"Southwest"
"Monroe School District","2016-17","Numeracy",6.4,59.1,34.5,1,"Southwest"
"Monroe School District","2016-17","Creative",4.9,48.3,46.8,1,"Southwest"
"Monroe School District","2016-17","Personal",9.9,53.2,36.9,1,"Southwest"
"Monroe School District","2016-17","Language",13.3,52.2,34.5,1,"Southwest"
"Montville School District","2016-17","Personal",16.5,41.1,42.4,3,"Eastern"
"Montville School District","2016-17","Numeracy",17.7,43.7,38.6,3,"Eastern"
"Montville School District","2016-17","Physical",10.1,38,51.9,3,"Eastern"
"Montville School District","2016-17","Literacy",24.1,41.8,34.2,3,"Eastern"
"Montville School District","2016-17","Language",24.7,43.7,31.6,3,"Eastern"
"Montville School District","2016-17","Creative",8.2,37.3,54.4,3,"Eastern"
"Naugatuck School District","2016-17","Numeracy",20.8,38.2,41,5,"Western"
"Naugatuck School District","2016-17","Physical",8.8,37.5,53.6,5,"Western"
"Naugatuck School District","2016-17","Personal",15.5,38.2,46.4,5,"Western"
"Naugatuck School District","2016-17","Language",25.6,37.5,36.9,5,"Western"
"Naugatuck School District","2016-17","Creative",13.6,32.5,53.9,5,"Western"
"Naugatuck School District","2016-17","Literacy",24.6,36.6,38.8,5,"Western"
"New Beginnings Inc. Family Academy District","2016-17","Personal",15.8,50.9,33.3,1,"Southwest"
"New Beginnings Inc. Family Academy District","2016-17","Literacy",19.3,49.1,31.6,1,"Southwest"
"New Beginnings Inc. Family Academy District","2016-17","Language",3.5,40.4,56.1,1,"Southwest"
"New Beginnings Inc. Family Academy District","2016-17","Numeracy",8.8,40.4,50.9,1,"Southwest"
"New Beginnings Inc. Family Academy District","2016-17","Physical",5.3,10.5,84.2,1,"Southwest"
"New Beginnings Inc. Family Academy District","2016-17","Creative",NA,26.3,73.7,1,"Southwest"
"New Britain School District","2016-17","Literacy",39.8,38.9,21.3,6,"Central"
"New Britain School District","2016-17","Language",37,37.1,25.9,6,"Central"
"New Britain School District","2016-17","Personal",32.7,39.2,28.1,6,"Central"
"New Britain School District","2016-17","Physical",23.3,41.1,35.6,6,"Central"
"New Britain School District","2016-17","Creative",26,42.2,31.7,6,"Central"
"New Britain School District","2016-17","Numeracy",36.5,40.9,22.6,6,"Central"
"New Canaan School District","2016-17","Physical",4.4,24.5,71.2,1,"Southwest"
"New Canaan School District","2016-17","Literacy",8.4,51.1,40.5,1,"Southwest"
"New Canaan School District","2016-17","Numeracy",6.2,41.2,52.6,1,"Southwest"
"New Canaan School District","2016-17","Creative",5.1,24.5,70.4,1,"Southwest"
"New Canaan School District","2016-17","Personal",12,38.7,49.3,1,"Southwest"
"New Canaan School District","2016-17","Language",12.8,28.8,58.4,1,"Southwest"
"New Fairfield School District","2016-17","Creative",4.4,51.5,44.1,5,"Western"
"New Fairfield School District","2016-17","Personal",8.8,52.2,39,5,"Western"
"New Fairfield School District","2016-17","Numeracy",6.6,55.1,38.2,5,"Western"
"New Fairfield School District","2016-17","Literacy",6.6,51.5,41.9,5,"Western"
"New Fairfield School District","2016-17","Language",12.5,47.1,40.4,5,"Western"
"New Fairfield School District","2016-17","Physical",3.7,52.2,44.1,5,"Western"
"New Hartford School District","2016-17","Personal",19,81,NA,5,"Western"
"New Hartford School District","2016-17","Language",19,57.1,23.8,5,"Western"
"New Hartford School District","2016-17","Physical",9.5,81,9.5,5,"Western"
"New Hartford School District","2016-17","Literacy",28.6,50,21.4,5,"Western"
"New Hartford School District","2016-17","Numeracy",23.8,59.5,16.7,5,"Western"
"New Hartford School District","2016-17","Creative",9.5,78.6,11.9,5,"Western"
"New Haven School District","2016-17","Literacy",33,41.5,25.4,2,"South Central"
"New Haven School District","2016-17","Physical",13.3,46,40.8,2,"South Central"
"New Haven School District","2016-17","Creative",15.5,49,35.5,2,"South Central"
"New Haven School District","2016-17","Language",29.9,43.2,26.9,2,"South Central"
"New Haven School District","2016-17","Personal",22,47.9,30.1,2,"South Central"
"New Haven School District","2016-17","Numeracy",31.9,43.1,25,2,"South Central"
"Newington School District","2016-17","Physical",15.8,56,28.2,3,"Eastern"
"Newington School District","2016-17","Creative",17.3,55.3,27.4,3,"Eastern"
"Newington School District","2016-17","Literacy",30.5,44.7,24.8,3,"Eastern"
"Newington School District","2016-17","Personal",24.8,50.4,24.8,3,"Eastern"
"Newington School District","2016-17","Numeracy",25.6,48.1,26.3,3,"Eastern"
"Newington School District","2016-17","Language",32,47.4,20.7,3,"Eastern"
"New London School District","2016-17","Numeracy",24.4,58.7,17,5,"Western"
"New London School District","2016-17","Physical",13.1,63.6,23.3,5,"Western"
"New London School District","2016-17","Personal",17,60.4,22.6,5,"Western"
"New London School District","2016-17","Language",21.6,56.9,21.6,5,"Western"
"New London School District","2016-17","Creative",11.7,65.4,23,5,"Western"
"New London School District","2016-17","Literacy",32.9,49.8,17.3,5,"Western"
"New Milford School District","2016-17","Physical",25.5,46.9,27.6,6,"Central"
"New Milford School District","2016-17","Personal",25.8,52,22.2,6,"Central"
"New Milford School District","2016-17","Numeracy",30.2,48,21.8,6,"Central"
"New Milford School District","2016-17","Creative",22.5,51.6,25.8,6,"Central"
"New Milford School District","2016-17","Literacy",29.8,49.1,21.1,6,"Central"
"New Milford School District","2016-17","Language",27.3,53.5,19.3,6,"Central"
"Newtown School District","2016-17","Personal",7.6,42.7,49.8,5,"Western"
"Newtown School District","2016-17","Language",10.7,48,41.3,5,"Western"
"Newtown School District","2016-17","Physical",4.9,42.2,52.9,5,"Western"
"Newtown School District","2016-17","Literacy",15.6,41.8,42.7,5,"Western"
"Newtown School District","2016-17","Numeracy",7.6,52,40.4,5,"Western"
"Newtown School District","2016-17","Creative",4.4,36.4,59.1,5,"Western"
"Norfolk School District","2016-17","Physical",NA,NA,NA,5,"Western"
"Norfolk School District","2016-17","Literacy",NA,NA,NA,5,"Western"
"Norfolk School District","2016-17","Numeracy",NA,NA,NA,5,"Western"
"Norfolk School District","2016-17","Creative",NA,NA,NA,5,"Western"
"Norfolk School District","2016-17","Personal",NA,NA,NA,5,"Western"
"Norfolk School District","2016-17","Language",NA,NA,NA,5,"Western"
"North Branford School District","2016-17","Personal",22.7,55.5,21.8,2,"South Central"
"North Branford School District","2016-17","Numeracy",9.2,62.2,28.6,2,"South Central"
"North Branford School District","2016-17","Physical",7.6,64.7,27.7,2,"South Central"
"North Branford School District","2016-17","Language",27.7,47.9,24.4,2,"South Central"
"North Branford School District","2016-17","Creative",7.6,72.3,20.2,2,"South Central"
"North Branford School District","2016-17","Literacy",22.7,49.6,27.7,2,"South Central"
"North Canaan School District","2016-17","Numeracy",2.4,31,66.7,5,"Western"
"North Canaan School District","2016-17","Language",19,47.6,33.3,5,"Western"
"North Canaan School District","2016-17","Personal",NA,35.7,64.3,5,"Western"
"North Canaan School District","2016-17","Creative",7.1,19,73.8,5,"Western"
"North Canaan School District","2016-17","Physical",2.4,21.4,76.2,5,"Western"
"North Canaan School District","2016-17","Literacy",16.7,54.8,28.6,5,"Western"
"North Haven School District","2016-17","Personal",10.3,57.7,31.9,2,"South Central"
"North Haven School District","2016-17","Numeracy",19.2,52.1,28.6,2,"South Central"
"North Haven School District","2016-17","Physical",8.5,44.1,47.4,2,"South Central"
"North Haven School District","2016-17","Language",18.8,52.1,29.1,2,"South Central"
"North Haven School District","2016-17","Literacy",21.6,45.1,33.3,2,"South Central"
"North Haven School District","2016-17","Creative",5.6,46.5,47.9,2,"South Central"
"North Stonington School District","2016-17","Personal",4.1,4.1,91.8,3,"Eastern"
"North Stonington School District","2016-17","Literacy",10.2,22.4,67.3,3,"Eastern"
"North Stonington School District","2016-17","Language",6.1,14.3,79.6,3,"Eastern"
"North Stonington School District","2016-17","Numeracy",2,14.3,83.7,3,"Eastern"
"North Stonington School District","2016-17","Creative",NA,2,98,3,"Eastern"
"North Stonington School District","2016-17","Physical",NA,6.1,93.9,3,"Eastern"
"Norwalk School District","2016-17","Language",29.1,41,29.9,1,"Southwest"
"Norwalk School District","2016-17","Numeracy",23.6,44.6,31.9,1,"Southwest"
"Norwalk School District","2016-17","Literacy",26.1,43.5,30.4,1,"Southwest"
"Norwalk School District","2016-17","Physical",10.1,45.1,44.8,1,"Southwest"
"Norwalk School District","2016-17","Personal",18.6,45.8,35.7,1,"Southwest"
"Norwalk School District","2016-17","Creative",12.2,45.3,42.5,1,"Southwest"
"Norwich Free Academy District","2016-17","Numeracy",NA,NA,NA,3,"Eastern"
"Norwich Free Academy District","2016-17","Personal",NA,NA,NA,3,"Eastern"
"Norwich Free Academy District","2016-17","Creative",NA,NA,NA,3,"Eastern"
"Norwich Free Academy District","2016-17","Literacy",NA,NA,NA,3,"Eastern"
"Norwich Free Academy District","2016-17","Language",NA,NA,NA,3,"Eastern"
"Norwich Free Academy District","2016-17","Physical",NA,NA,NA,3,"Eastern"
"Norwich School District","2016-17","Physical",20.3,41.8,37.9,3,"Eastern"
"Norwich School District","2016-17","Creative",22.8,43.1,34.1,3,"Eastern"
"Norwich School District","2016-17","Literacy",32.8,42.8,24.4,3,"Eastern"
"Norwich School District","2016-17","Language",37.2,39.2,23.6,3,"Eastern"
"Norwich School District","2016-17","Personal",28.5,45.6,25.9,3,"Eastern"
"Norwich School District","2016-17","Numeracy",31.5,43.8,24.6,3,"Eastern"
"Odyssey Community School District","2016-17","Language",30.6,63.9,5.6,4,"North Central"
"Odyssey Community School District","2016-17","Literacy",25,72.2,2.8,4,"North Central"
"Odyssey Community School District","2016-17","Physical",11.1,88.9,NA,4,"North Central"
"Odyssey Community School District","2016-17","Personal",25,75,NA,4,"North Central"
"Odyssey Community School District","2016-17","Numeracy",25,69.4,5.6,4,"North Central"
"Odyssey Community School District","2016-17","Creative",13.9,86.1,NA,4,"North Central"
"Old Saybrook School District","2016-17","Literacy",25.7,55.7,18.6,3,"Eastern"
"Old Saybrook School District","2016-17","Numeracy",10,68.6,21.4,3,"Eastern"
"Old Saybrook School District","2016-17","Language",27.1,51.4,21.4,3,"Eastern"
"Old Saybrook School District","2016-17","Physical",11.4,38.6,50,3,"Eastern"
"Old Saybrook School District","2016-17","Creative",1.4,44.3,54.3,3,"Eastern"
"Old Saybrook School District","2016-17","Personal",11.4,60,28.6,3,"Eastern"
"Orange School District","2016-17","Personal",5.7,43.6,50.7,2,"South Central"
"Orange School District","2016-17","Language",12.9,46.4,40.7,2,"South Central"
"Orange School District","2016-17","Literacy",11.4,51.4,37.1,2,"South Central"
"Orange School District","2016-17","Creative",1.4,35,63.6,2,"South Central"
"Orange School District","2016-17","Numeracy",8.6,51.4,40,2,"South Central"
"Orange School District","2016-17","Physical",3.6,39.3,57.1,2,"South Central"
"Oxford School District","2016-17","Creative",5.9,31.1,63,5,"Western"
"Oxford School District","2016-17","Numeracy",11.8,23.5,64.7,5,"Western"
"Oxford School District","2016-17","Language",13.4,27.7,58.8,5,"Western"
"Oxford School District","2016-17","Personal",10.1,37,52.9,5,"Western"
"Oxford School District","2016-17","Literacy",16,37.8,46.2,5,"Western"
"Oxford School District","2016-17","Physical",9.2,32.8,58,5,"Western"
"Park City Prep Charter School District","2016-17","Personal",NA,NA,NA,1,"Southwest"
"Park City Prep Charter School District","2016-17","Physical",NA,NA,NA,1,"Southwest"
"Park City Prep Charter School District","2016-17","Creative",NA,NA,NA,1,"Southwest"
"Park City Prep Charter School District","2016-17","Literacy",NA,NA,NA,1,"Southwest"
"Park City Prep Charter School District","2016-17","Language",NA,NA,NA,1,"Southwest"
"Park City Prep Charter School District","2016-17","Numeracy",NA,NA,NA,1,"Southwest"
"Path Academy District","2016-17","Creative",NA,NA,NA,3,"Eastern"
"Path Academy District","2016-17","Physical",NA,NA,NA,3,"Eastern"
"Path Academy District","2016-17","Language",NA,NA,NA,3,"Eastern"
