"FixedDistrict","Year","Domain","Level 1","Level 2","Level 3","R#","Region"
"Bristol School District","2016-17","Literacy",19.2,37.7,43.1,6,"Central"
"Bristol School District","2016-17","Language",18.3,41.3,40.4,6,"Central"
"Brookfield School District","2016-17","Numeracy",13.4,24.8,61.8,5,"Western"
"Brookfield School District","2016-17","Physical",7,11.5,81.5,5,"Western"
"Brookfield School District","2016-17","Personal",8.3,22.9,68.8,5,"Western"
"Brookfield School District","2016-17","Literacy",14,26.8,59.2,5,"Western"
"Brookfield School District","2016-17","Creative",5.1,10.2,84.7,5,"Western"
"Brookfield School District","2016-17","Language",10.8,23.6,65.6,5,"Western"
"Brooklyn School District","2016-17","Numeracy",21.8,20.7,57.5,3,"Eastern"
"Brooklyn School District","2016-17","Creative",14.9,8,77,3,"Eastern"
"Brooklyn School District","2016-17","Physical",13.8,28.7,57.5,3,"Eastern"
"Brooklyn School District","2016-17","Literacy",21.8,19.5,58.6,3,"Eastern"
"Brooklyn School District","2016-17","Language",21.8,34.5,43.7,3,"Eastern"
"Brooklyn School District","2016-17","Personal",18.4,33.3,48.3,3,"Eastern"
"Canaan School District","2016-17","Creative",NA,NA,NA,5,"Western"
"Canaan School District","2016-17","Numeracy",NA,NA,NA,5,"Western"
"Canaan School District","2016-17","Personal",NA,NA,NA,5,"Western"
"Canaan School District","2016-17","Literacy",NA,NA,NA,5,"Western"
"Canaan School District","2016-17","Language",NA,NA,NA,5,"Western"
"Canaan School District","2016-17","Physical",NA,NA,NA,5,"Western"
"Canterbury School District","2016-17","Physical",6.5,89.1,4.3,3,"Eastern"
"Canterbury School District","2016-17","Numeracy",19.6,71.7,8.7,3,"Eastern"
"Canterbury School District","2016-17","Language",19.6,69.6,10.9,3,"Eastern"
"Canterbury School District","2016-17","Creative",8.7,87,4.3,3,"Eastern"
"Canterbury School District","2016-17","Personal",8.7,80.4,10.9,3,"Eastern"
"Canterbury School District","2016-17","Literacy",23.9,65.2,10.9,3,"Eastern"
"Canton School District","2016-17","Physical",3.1,19.6,77.3,6,"Central"
"Canton School District","2016-17","Numeracy",6.2,21.6,72.2,6,"Central"
"Canton School District","2016-17","Personal",8.2,27.8,63.9,6,"Central"
"Canton School District","2016-17","Creative",2.1,28.9,69.1,6,"Central"
"Canton School District","2016-17","Literacy",8.2,29.9,61.9,6,"Central"
"Canton School District","2016-17","Language",4.1,36.1,59.8,6,"Central"
"Capital Preparatory Harbor School Inc. District","2016-17","Physical",NA,NA,NA,1,"Southwest"
"Capital Preparatory Harbor School Inc. District","2016-17","Numeracy",NA,NA,NA,1,"Southwest"
"Capital Preparatory Harbor School Inc. District","2016-17","Creative",NA,NA,NA,1,"Southwest"
"Capital Preparatory Harbor School Inc. District","2016-17","Literacy",NA,NA,NA,1,"Southwest"
"Capital Preparatory Harbor School Inc. District","2016-17","Personal",NA,NA,NA,1,"Southwest"
"Capital Preparatory Harbor School Inc. District","2016-17","Language",NA,NA,NA,1,"Southwest"
