"District","FIPS","Year","Sanction Type","Variable","Measure Type","Value","R#","Region"
"Andover School District",NA,"2015-2016","In-School Suspension","Sanctions","Number",-9999,4,"North Central"
"Andover School District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2015-2016","Expulsion","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",-9999,4,"North Central"
"Andover School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2016-2017","Expulsion","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2014-2015","In-School Suspension","Sanctions","Number",-9999,4,"North Central"
"Andover School District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",-9999,4,"North Central"
"Andover School District",NA,"2014-2015","Expulsion","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2014-2015","Bus Suspension","Sanctions","Number",0,4,"North Central"
"Ansonia School District",900901220,"2010-2011","Expulsion","Sanctions","Number",7,2,"South Central"
"Ansonia School District",900901220,"2010-2011","Bus Suspension","Sanctions","Number",0,2,"South Central"
"Ansonia School District",900901220,"2011-2012","In-School Suspension","Sanctions","Number",471,2,"South Central"
"Ansonia School District",900901220,"2011-2012","Out-of-School Suspension","Sanctions","Number",184,2,"South Central"
"Ansonia School District",900901220,"2011-2012","Expulsion","Sanctions","Number",7,2,"South Central"
"Ansonia School District",900901220,"2011-2012","Bus Suspension","Sanctions","Number",-9999,2,"South Central"
"Ansonia School District",900901220,"2012-2013","In-School Suspension","Sanctions","Number",394,2,"South Central"
"Ansonia School District",900901220,"2012-2013","Out-of-School Suspension","Sanctions","Number",245,2,"South Central"
"Ansonia School District",900901220,"2009-2010","In-School Suspension","Sanctions","Number",748,2,"South Central"
"Ansonia School District",900901220,"2009-2010","Out-of-School Suspension","Sanctions","Number",174,2,"South Central"
"Ansonia School District",900901220,"2009-2010","Expulsion","Sanctions","Number",11,2,"South Central"
"Ansonia School District",900901220,"2009-2010","Bus Suspension","Sanctions","Number",0,2,"South Central"
"Ansonia School District",900901220,"2010-2011","In-School Suspension","Sanctions","Number",545,2,"South Central"
"Ansonia School District",900901220,"2010-2011","Out-of-School Suspension","Sanctions","Number",171,2,"South Central"
"Ansonia School District",900901220,"2013-2014","Bus Suspension","Sanctions","Number",0,2,"South Central"
"Ansonia School District",900901220,"2014-2015","In-School Suspension","Sanctions","Number",98,2,"South Central"
"Ansonia School District",900901220,"2014-2015","Out-of-School Suspension","Sanctions","Number",190,2,"South Central"
"Ansonia School District",900901220,"2014-2015","Expulsion","Sanctions","Number",14,2,"South Central"
"Ansonia School District",900901220,"2014-2015","Bus Suspension","Sanctions","Number",0,2,"South Central"
"Ansonia School District",900901220,"2015-2016","In-School Suspension","Sanctions","Number",107,2,"South Central"
"Ansonia School District",900901220,"2015-2016","Out-of-School Suspension","Sanctions","Number",253,2,"South Central"
"Ansonia School District",900901220,"2015-2016","Expulsion","Sanctions","Number",8,2,"South Central"
"Ansonia School District",900901220,"2012-2013","Expulsion","Sanctions","Number",9,2,"South Central"
"Ansonia School District",900901220,"2012-2013","Bus Suspension","Sanctions","Number",0,2,"South Central"
"Ansonia School District",900901220,"2013-2014","In-School Suspension","Sanctions","Number",277,2,"South Central"
"Ansonia School District",900901220,"2013-2014","Out-of-School Suspension","Sanctions","Number",240,2,"South Central"
"Ansonia School District",900901220,"2013-2014","Expulsion","Sanctions","Number",14,2,"South Central"
"Ansonia School District",900901220,"2015-2016","Bus Suspension","Sanctions","Number",0,2,"South Central"
"Ansonia School District",900901220,"2016-2017","In-School Suspension","Sanctions","Number",270,2,"South Central"
"Ansonia School District",900901220,"2016-2017","Out-of-School Suspension","Sanctions","Number",306,2,"South Central"
"Ansonia School District",900901220,"2016-2017","Expulsion","Sanctions","Number",18,2,"South Central"
"Ansonia School District",900901220,"2016-2017","Bus Suspension","Sanctions","Number",0,2,"South Central"
"Area Cooperative Educational Services",NA,"2012-2013","Bus Suspension","Sanctions","Number",14,2,"South Central"
"Area Cooperative Educational Services",NA,"2013-2014","In-School Suspension","Sanctions","Number",220,2,"South Central"
"Area Cooperative Educational Services",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",324,2,"South Central"
"Area Cooperative Educational Services",NA,"2012-2013","Expulsion","Sanctions","Number",0,2,"South Central"
"Area Cooperative Educational Services",NA,"2013-2014","Bus Suspension","Sanctions","Number",27,2,"South Central"
"Area Cooperative Educational Services",NA,"2014-2015","In-School Suspension","Sanctions","Number",286,2,"South Central"
"Area Cooperative Educational Services",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",281,2,"South Central"
"Area Cooperative Educational Services",NA,"2013-2014","Expulsion","Sanctions","Number",0,2,"South Central"
"Area Cooperative Educational Services",NA,"2009-2010","In-School Suspension","Sanctions","Number",483,2,"South Central"
"Area Cooperative Educational Services",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",538,2,"South Central"
"Area Cooperative Educational Services",NA,"2009-2010","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Area Cooperative Educational Services",NA,"2009-2010","Bus Suspension","Sanctions","Number",23,2,"South Central"
"Area Cooperative Educational Services",NA,"2010-2011","In-School Suspension","Sanctions","Number",319,2,"South Central"
"Area Cooperative Educational Services",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",341,2,"South Central"
"Area Cooperative Educational Services",NA,"2010-2011","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Area Cooperative Educational Services",NA,"2010-2011","Bus Suspension","Sanctions","Number",35,2,"South Central"
"Area Cooperative Educational Services",NA,"2011-2012","In-School Suspension","Sanctions","Number",255,2,"South Central"
"Area Cooperative Educational Services",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",358,2,"South Central"
"Area Cooperative Educational Services",NA,"2011-2012","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Area Cooperative Educational Services",NA,"2011-2012","Bus Suspension","Sanctions","Number",26,2,"South Central"
"Area Cooperative Educational Services",NA,"2012-2013","In-School Suspension","Sanctions","Number",300,2,"South Central"
"Area Cooperative Educational Services",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",269,2,"South Central"
"Area Cooperative Educational Services",NA,"2015-2016","Expulsion","Sanctions","Number",0,2,"South Central"
"Area Cooperative Educational Services",NA,"2015-2016","Bus Suspension","Sanctions","Number",18,2,"South Central"
"Area Cooperative Educational Services",NA,"2016-2017","In-School Suspension","Sanctions","Number",178,2,"South Central"
"Area Cooperative Educational Services",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",371,2,"South Central"
"Area Cooperative Educational Services",NA,"2016-2017","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Area Cooperative Educational Services",NA,"2016-2017","Bus Suspension","Sanctions","Number",15,2,"South Central"
"Area Cooperative Educational Services",NA,"2014-2015","Bus Suspension","Sanctions","Number",45,2,"South Central"
"Area Cooperative Educational Services",NA,"2015-2016","In-School Suspension","Sanctions","Number",170,2,"South Central"
"Area Cooperative Educational Services",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",330,2,"South Central"
"Area Cooperative Educational Services",NA,"2014-2015","Expulsion","Sanctions","Number",0,2,"South Central"
"Ashford School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Ashford School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Ashford School District",NA,"2016-2017","Expulsion","Sanctions","Number",0,3,"Eastern"
"Ashford School District",NA,"2014-2015","Expulsion","Sanctions","Number",0,3,"Eastern"
"Ashford School District",NA,"2014-2015","Bus Suspension","Sanctions","Number",6,3,"Eastern"
"Ashford School District",NA,"2015-2016","In-School Suspension","Sanctions","Number",12,3,"Eastern"
"Ashford School District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Ashford School District",NA,"2015-2016","Expulsion","Sanctions","Number",0,3,"Eastern"
"Ashford School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",-9999,3,"Eastern"
"Ashford School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",8,3,"Eastern"
"Ashford School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Ashford School District",NA,"2009-2010","Expulsion","Sanctions","Number",0,3,"Eastern"
"Ashford School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",7,3,"Eastern"
"Ashford School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",15,3,"Eastern"
"Ashford School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Ashford School District",NA,"2010-2011","Expulsion","Sanctions","Number",0,3,"Eastern"
"Ashford School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",21,3,"Eastern"
"Ashford School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",14,3,"Eastern"
"Ashford School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Ashford School District",NA,"2011-2012","Expulsion","Sanctions","Number",0,3,"Eastern"
"Ashford School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",13,3,"Eastern"
"Ashford School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",30,3,"Eastern"
"Ashford School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",6,3,"Eastern"
"Ashford School District",NA,"2012-2013","Expulsion","Sanctions","Number",0,3,"Eastern"
"Ashford School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",-9999,3,"Eastern"
"Ashford School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",13,3,"Eastern"
"Ashford School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Ashford School District",NA,"2013-2014","Expulsion","Sanctions","Number",0,3,"Eastern"
"Ashford School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",-9999,3,"Eastern"
"Ashford School District",NA,"2014-2015","In-School Suspension","Sanctions","Number",26,3,"Eastern"
"Ashford School District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",-9999,3,"Eastern"
"Ashford School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",0,3,"Eastern"
"Avon School District",900302060,"2010-2011","Out-of-School Suspension","Sanctions","Number",14,6,"Central"
"Avon School District",900302060,"2010-2011","Expulsion","Sanctions","Number",0,6,"Central"
"Avon School District",900302060,"2010-2011","Bus Suspension","Sanctions","Number",-9999,6,"Central"
"Avon School District",900302060,"2016-2017","Bus Suspension","Sanctions","Number",0,6,"Central"
"Avon School District",900302060,"2011-2012","Out-of-School Suspension","Sanctions","Number",26,6,"Central"
"Avon School District",900302060,"2011-2012","Expulsion","Sanctions","Number",-9999,6,"Central"
"Avon School District",900302060,"2011-2012","Bus Suspension","Sanctions","Number",-9999,6,"Central"
"Avon School District",900302060,"2011-2012","In-School Suspension","Sanctions","Number",65,6,"Central"
"Avon School District",900302060,"2009-2010","In-School Suspension","Sanctions","Number",80,6,"Central"
"Avon School District",900302060,"2009-2010","Out-of-School Suspension","Sanctions","Number",32,6,"Central"
"Avon School District",900302060,"2009-2010","Expulsion","Sanctions","Number",-9999,6,"Central"
"Avon School District",900302060,"2009-2010","Bus Suspension","Sanctions","Number",0,6,"Central"
"Avon School District",900302060,"2010-2011","In-School Suspension","Sanctions","Number",66,6,"Central"
"Avon School District",900302060,"2013-2014","Expulsion","Sanctions","Number",-9999,6,"Central"
"Avon School District",900302060,"2013-2014","Bus Suspension","Sanctions","Number",0,6,"Central"
"Avon School District",900302060,"2014-2015","In-School Suspension","Sanctions","Number",63,6,"Central"
"Avon School District",900302060,"2014-2015","Out-of-School Suspension","Sanctions","Number",23,6,"Central"
"Avon School District",900302060,"2014-2015","Expulsion","Sanctions","Number",-9999,6,"Central"
"Avon School District",900302060,"2014-2015","Bus Suspension","Sanctions","Number",-9999,6,"Central"
"Avon School District",900302060,"2015-2016","In-School Suspension","Sanctions","Number",68,6,"Central"
"Avon School District",900302060,"2012-2013","In-School Suspension","Sanctions","Number",91,6,"Central"
"Avon School District",900302060,"2012-2013","Out-of-School Suspension","Sanctions","Number",23,6,"Central"
"Avon School District",900302060,"2012-2013","Expulsion","Sanctions","Number",0,6,"Central"
"Avon School District",900302060,"2012-2013","Bus Suspension","Sanctions","Number",-9999,6,"Central"
"Avon School District",900302060,"2013-2014","In-School Suspension","Sanctions","Number",64,6,"Central"
"Avon School District",900302060,"2013-2014","Out-of-School Suspension","Sanctions","Number",34,6,"Central"
"Avon School District",900302060,"2015-2016","Expulsion","Sanctions","Number",-9999,6,"Central"
"Avon School District",900302060,"2015-2016","Bus Suspension","Sanctions","Number",-9999,6,"Central"
"Avon School District",900302060,"2016-2017","In-School Suspension","Sanctions","Number",56,6,"Central"
"Avon School District",900302060,"2015-2016","Out-of-School Suspension","Sanctions","Number",32,6,"Central"
"Avon School District",900302060,"2016-2017","Expulsion","Sanctions","Number",-9999,6,"Central"
"Avon School District",900302060,"2016-2017","Out-of-School Suspension","Sanctions","Number",30,6,"Central"
"Barkhamsted School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2009-2010","Expulsion","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2010-2011","Expulsion","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2012-2013","Expulsion","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",6,5,"Western"
"Barkhamsted School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2013-2014","Expulsion","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2011-2012","Expulsion","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",-6666,5,"Western"
"Barkhamsted School District",NA,"2015-2016","Expulsion","Sanctions","Number",-6666,5,"Western"
"Barkhamsted School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",-6666,5,"Western"
"Barkhamsted School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",-9999,5,"Western"
"Barkhamsted School District",NA,"2016-2017","Expulsion","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",0,5,"Western"
"Barkhamsted School District",NA,"2014-2015","Bus Suspension","Sanctions","Number",0,5,"Western"
