"District","FIPS","Year","Sanction Type","Variable","Measure Type","Value","R#","Region"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Expulsion","Sanctions","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","In-School Suspension","Sanctions","Number",1148,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",367,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Expulsion","Sanctions","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Bus Suspension","Sanctions","Number",0,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Bus Suspension","Sanctions","Number",0,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","In-School Suspension","Sanctions","Number",156,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",205,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2009-2010","In-School Suspension","Sanctions","Number",0,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",52,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2009-2010","Expulsion","Sanctions","Number",0,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2009-2010","Bus Suspension","Sanctions","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2010-2011","In-School Suspension","Sanctions","Number",310,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",146,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2010-2011","Expulsion","Sanctions","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2010-2011","Bus Suspension","Sanctions","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","In-School Suspension","Sanctions","Number",598,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",169,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Expulsion","Sanctions","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","In-School Suspension","Sanctions","Number",504,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",285,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Expulsion","Sanctions","Number",9,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2015-2016","Bus Suspension","Sanctions","Number",70,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","In-School Suspension","Sanctions","Number",408,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",295,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Expulsion","Sanctions","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2016-2017","Bus Suspension","Sanctions","Number",19,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Bus Suspension","Sanctions","Number",44,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","In-School Suspension","Sanctions","Number",1123,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",518,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Expulsion","Sanctions","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2014-2015","Bus Suspension","Sanctions","Number",47,1,"Southwest"
"Achievement First Hartford Academy District",NA,"2013-2014","Bus Suspension","Sanctions","Number",28,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","In-School Suspension","Sanctions","Number",287,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",759,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Expulsion","Sanctions","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Bus Suspension","Sanctions","Number",42,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","In-School Suspension","Sanctions","Number",1225,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",338,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Expulsion","Sanctions","Number",11,4,"North Central"
"Achievement First Hartford Academy District",NA,"2009-2010","In-School Suspension","Sanctions","Number",181,4,"North Central"
"Achievement First Hartford Academy District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",239,4,"North Central"
"Achievement First Hartford Academy District",NA,"2009-2010","Expulsion","Sanctions","Number",0,4,"North Central"
"Achievement First Hartford Academy District",NA,"2009-2010","Bus Suspension","Sanctions","Number",54,4,"North Central"
"Achievement First Hartford Academy District",NA,"2010-2011","In-School Suspension","Sanctions","Number",120,4,"North Central"
"Achievement First Hartford Academy District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",629,4,"North Central"
"Achievement First Hartford Academy District",NA,"2010-2011","Expulsion","Sanctions","Number",0,4,"North Central"
"Achievement First Hartford Academy District",NA,"2010-2011","Bus Suspension","Sanctions","Number",0,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","In-School Suspension","Sanctions","Number",701,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",1102,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Expulsion","Sanctions","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Bus Suspension","Sanctions","Number",0,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","In-School Suspension","Sanctions","Number",1280,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",1678,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Expulsion","Sanctions","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Bus Suspension","Sanctions","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","In-School Suspension","Sanctions","Number",301,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",825,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Expulsion","Sanctions","Number",0,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",256,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Expulsion","Sanctions","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Bus Suspension","Sanctions","Number",62,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Bus Suspension","Sanctions","Number",37,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","In-School Suspension","Sanctions","Number",1352,4,"North Central"
"Amistad Academy District",NA,"2009-2010","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2009-2010","Bus Suspension","Sanctions","Number",62,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Expulsion","Sanctions","Number",0,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Bus Suspension","Sanctions","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2010-2011","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2010-2011","Bus Suspension","Sanctions","Number",0,2,"South Central"
"Amistad Academy District",NA,"2010-2011","In-School Suspension","Sanctions","Number",153,2,"South Central"
"Amistad Academy District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",149,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Bus Suspension","Sanctions","Number",8,2,"South Central"
"Amistad Academy District",NA,"2016-2017","In-School Suspension","Sanctions","Number",491,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",392,2,"South Central"
"Amistad Academy District",NA,"2009-2010","In-School Suspension","Sanctions","Number",130,2,"South Central"
"Amistad Academy District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",126,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Bus Suspension","Sanctions","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2013-2014","In-School Suspension","Sanctions","Number",1287,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",549,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Bus Suspension","Sanctions","Number",41,2,"South Central"
"Amistad Academy District",NA,"2014-2015","In-School Suspension","Sanctions","Number",835,2,"South Central"
"Amistad Academy District",NA,"2011-2012","In-School Suspension","Sanctions","Number",385,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",99,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Expulsion","Sanctions","Number",9,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Bus Suspension","Sanctions","Number",0,2,"South Central"
"Amistad Academy District",NA,"2012-2013","In-School Suspension","Sanctions","Number",1507,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",205,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Bus Suspension","Sanctions","Number",26,2,"South Central"
"Amistad Academy District",NA,"2015-2016","In-School Suspension","Sanctions","Number",492,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",472,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Expulsion","Sanctions","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",366,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Expulsion","Sanctions","Number",8,2,"South Central"
"Andover School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",-6666,4,"North Central"
"Andover School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",-6666,4,"North Central"
"Andover School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",-9999,4,"North Central"
"Andover School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",-9999,4,"North Central"
"Andover School District",NA,"2009-2010","Expulsion","Sanctions","Number",-6666,4,"North Central"
"Andover School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",-6666,4,"North Central"
"Andover School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",-9999,4,"North Central"
"Andover School District",NA,"2012-2013","Expulsion","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",-9999,4,"North Central"
"Andover School District",NA,"2013-2014","Expulsion","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2010-2011","Expulsion","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",0,4,"North Central"
"Andover School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",-9999,4,"North Central"
"Andover School District",NA,"2011-2012","Expulsion","Sanctions","Number",0,4,"North Central"
