"Year","Domain","FixedDistrict","Level 1","Level 2","Level 3"
"2016-17","Creative","Farmington School District",7.1,17.6,75.3
"2016-17","Creative","Franklin School District",NA,NA,NA
"2016-17","Creative","Glastonbury School District",14.9,39.4,45.6
"2016-17","Creative","Granby School District",2.2,6.5,91.4
"2016-17","Creative","Great Oaks Charter School Bridgeport",NA,NA,NA
"2016-17","Creative","Greenwich School District",4.7,24.9,70.4
"2016-17","Creative","Griswold School District",10.2,44.1,45.8
"2016-17","Creative","Groton School District",16,53.5,30.5
"2016-17","Creative","Guilford School District",3.1,16.9,80
"2016-17","Creative","Hamden School District",12.7,49.1,38.2
"2016-17","Creative","Hampton School District",NA,NA,NA
"2016-17","Creative","Hartford School District",19.7,43,37.3
"2016-17","Creative","Hartland School District",NA,NA,NA
"2016-17","Creative","Hebron School District",2.9,24.3,72.9
"2016-17","Creative","Highville Charter School District",15,55,30
"2016-17","Creative","Integrated Day Charter School District",25.8,32.3,41.9
"2016-17","Creative","Interdistrict School for Arts and Communication District",NA,NA,NA
"2016-17","Creative","Jumoke Academy District",1.4,30.1,68.5
"2016-17","Creative","Kent School District",NA,NA,NA
"2016-17","Creative","Killingly School District",12.5,30,57.5
"2016-17","Creative","LEARN",10.1,27.2,62.7
"2016-17","Creative","Lebanon School District",7.4,77.8,14.8
"2016-17","Creative","Ledyard School District",15.2,43.7,41.1
"2016-17","Creative","Lisbon School District",8.1,43.2,48.6
"2016-17","Creative","Litchfield School District",27.5,52.2,20.3
"2016-17","Creative","Madison School District",13.7,20.9,65.4
"2016-17","Creative","Manchester School District",30.2,50.5,19.4
"2016-17","Creative","Mansfield School District",13.4,43.3,43.3
"2016-17","Creative","Marlborough School District",3.3,13.1,83.6
"2016-17","Creative","Meriden School District",18.4,48.5,33.1
"2016-17","Creative","Middletown School District",22.6,42,35.3
"2016-17","Creative","Milford School District",5.1,22.3,72.6
"2016-17","Creative","Monroe School District",4.9,48.3,46.8
"2016-17","Creative","Montville School District",8.2,37.3,54.4
"2016-17","Creative","Naugatuck School District",13.6,32.5,53.9
"2016-17","Creative","New Beginnings Inc. Family Academy District",NA,26.3,73.7
"2016-17","Creative","New Britain School District",26,42.2,31.7
"2016-17","Creative","New Canaan School District",5.1,24.5,70.4
"2016-17","Creative","New Fairfield School District",4.4,51.5,44.1
"2016-17","Creative","New Hartford School District",9.5,78.6,11.9
"2016-17","Creative","New Haven School District",15.5,49,35.5
"2016-17","Creative","Newington School District",17.3,55.3,27.4
"2016-17","Creative","New London School District",11.7,65.4,23
"2016-17","Creative","New Milford School District",22.5,51.6,25.8
"2016-17","Creative","Newtown School District",4.4,36.4,59.1
"2016-17","Creative","Norfolk School District",NA,NA,NA
"2016-17","Creative","North Branford School District",7.6,72.3,20.2
"2016-17","Creative","North Canaan School District",7.1,19,73.8
"2016-17","Creative","North Haven School District",5.6,46.5,47.9
"2016-17","Creative","North Stonington School District",NA,2,98
"2016-17","Creative","Norwalk School District",12.2,45.3,42.5
"2016-17","Creative","Norwich Free Academy District",NA,NA,NA
"2016-17","Creative","Norwich School District",22.8,43.1,34.1
"2016-17","Creative","Odyssey Community School District",13.9,86.1,NA
"2016-17","Creative","Old Saybrook School District",1.4,44.3,54.3
"2016-17","Creative","Orange School District",1.4,35,63.6
"2016-17","Creative","Oxford School District",5.9,31.1,63
"2016-17","Creative","Park City Prep Charter School District",NA,NA,NA
"2016-17","Creative","Path Academy District",NA,NA,NA
"2016-17","Creative","Plainfield School District",8.2,58.5,33.3
"2016-17","Creative","Plainville School District",9.1,29.5,61.4
"2016-17","Creative","Plymouth School District",20.5,42.2,37.3
"2016-17","Creative","Pomfret School District",12,64,24
"2016-17","Creative","Portland School District",11.2,58.2,30.6
"2016-17","Creative","Preston School District",22.6,54.8,22.6
"2016-17","Creative","Putnam School District",9.8,35.4,54.9
"2016-17","Creative","Redding School District",4.9,45.6,49.5
"2016-17","Creative","Regional School District 01",NA,NA,NA
"2016-17","Creative","Regional School District 04",NA,NA,NA
"2016-17","Creative","Regional School District 05",NA,NA,NA
"2016-17","Creative","Regional School District 06",NA,15,85
"2016-17","Creative","Regional School District 07",NA,NA,NA
"2016-17","Creative","Regional School District 08",NA,NA,NA
"2016-17","Creative","Regional School District 09",NA,NA,NA
"2016-17","Creative","Regional School District 10",2.2,23.7,74.1
"2016-17","Creative","Regional School District 11",NA,NA,NA
"2016-17","Creative","Regional School District 12",NA,16.7,83.3
"2016-17","Creative","Regional School District 13",7,63.5,29.6
"2016-17","Creative","Regional School District 14",5.2,72.9,21.9
"2016-17","Creative","Regional School District 15",6.1,32.9,61
"2016-17","Creative","Regional School District 16",10.8,53.1,36.2
"2016-17","Creative","Regional School District 17",0.7,8.5,90.8
"2016-17","Creative","Regional School District 18",NA,47.7,52.3
"2016-17","Creative","Regional School District 19",NA,NA,NA
"2016-17","Creative","Ridgefield School District",9.3,25.3,65.4
"2016-17","Creative","Rocky Hill School District",10.3,40.5,49.2
"2016-17","Creative","Salem School District",6.7,31.1,62.2
"2016-17","Creative","Salisbury School District",3.1,37.5,59.4
"2016-17","Creative","Scotland School District",NA,NA,NA
"2016-17","Creative","Seymour School District",15.9,39.1,45
"2016-17","Creative","Sharon School District",NA,NA,NA
"2016-17","Creative","Shelton School District",14.7,62.4,23
"2016-17","Creative","Sherman School District",NA,3.6,96.4
"2016-17","Creative","Side By Side Charter School District",NA,26.1,73.9
"2016-17","Creative","Simsbury School District",6.5,33.6,59.9
"2016-17","Creative","Somers School District",6.7,24,69.3
"2016-17","Creative","Southington School District",11.8,61.3,27
"2016-17","Creative","South Windsor School District",6,26.1,67.8
"2016-17","Creative","Sprague School District",NA,14.3,85.7
"2016-17","Creative","Stafford School District",2.8,27.8,69.4
"2016-17","Creative","Stamford Academy District",NA,NA,NA
"2016-17","Creative","Stamford Charter School for Excellence District",NA,NA,NA
"2016-17","Creative","Stamford School District",12.9,38.9,48.3
"2016-17","Creative","Sterling School District",10.8,37.8,51.4
"2016-17","Creative","Stonington School District",5.7,15.6,78.7
"2016-17","Creative","Stratford School District",19.6,31.8,48.6
"2016-17","Creative","Suffield School District",4.7,49.6,45.7
"2016-17","Creative","The Bridge Academy District",NA,NA,NA
"2016-17","Creative","The Gilbert School District",NA,NA,NA
"2016-17","Creative","Thomaston School District",25,41.1,33.9
"2016-17","Creative","Thompson School District",25.3,68,6.7
"2016-17","Creative","Tolland School District",9.5,66.4,24.1
"2016-17","Creative","Torrington School District",20.9,33.4,45.7
"2016-17","Creative","Trailblazers Academy District",NA,NA,NA
"2016-17","Creative","Trumbull School District",15.3,54.9,29.8
"2016-17","Creative","Unified School District #1",NA,NA,NA
"2016-17","Creative","Unified School District #2",NA,NA,NA
"2016-17","Creative","Union School District",NA,NA,NA
"2016-17","Creative","Vernon School District",14.3,42.4,43.3
"2016-17","Creative","Voluntown School District",NA,21.7,78.3
"2016-17","Creative","Wallingford School District",6.4,40,53.6
"2016-17","Creative","Waterbury School District",19.8,48.3,31.8
"2016-17","Creative","Waterford School District",10.2,65,24.8
"2016-17","Creative","Watertown School District",11.6,36.5,51.9
"2016-17","Creative","Westbrook School District",1.8,42.9,55.4
"2016-17","Creative","Western Connecticut Regional Educational Services",NA,NA,NA
"2016-17","Creative","West Hartford School District",8,39.3,52.7
"2016-17","Creative","West Haven School District",32,50.4,17.6
"2016-17","Creative","Weston School District",1.6,5.5,93
"2016-17","Creative","Westport School District",3.7,42.5,53.8
"2016-17","Creative","Wethersfield School District",18.8,46,35.1
"2016-17","Creative","Willington School District",7.3,39,53.7
"2016-17","Creative","Wilton School District",0.4,5.7,93.9
"2016-17","Creative","Winchester School District",16.7,71.2,12.1
"2016-17","Creative","Windham School District",19.9,55.6,24.5
"2016-17","Creative","Windsor Locks School District",5.7,54.7,39.6
"2016-17","Creative","Windsor School District",14.4,41.4,44.2
"2016-17","Creative","Wolcott School District",4.3,47.1,48.6
"2016-17","Creative","Woodbridge School District",15.8,64.2,20
"2016-17","Creative","Woodstock Academy District",NA,NA,NA
"2016-17","Creative","Woodstock School District",9,28.4,62.7
"2016-17","Language","Achievement First Bridgeport Academy District",24.5,45.7,29.8
"2016-17","Language","Achievement First Hartford Academy District",35.9,34.6,29.5
"2016-17","Language","Amistad Academy District",8.6,14,77.4
"2016-17","Language","Andover School District",NA,NA,NA
"2016-17","Language","Ansonia School District",26.7,37.8,35.6
"2016-17","Language","Area Cooperative Educational Services",43.2,29.7,27
"2016-17","Language","Ashford School District",2.9,34.3,62.9
"2016-17","Language","Avon School District",7.1,33.3,59.6
"2016-17","Language","Barkhamsted School District",NA,NA,NA
"2016-17","Language","Berlin School District",26.3,52,21.6
"2016-17","Language","Bethany School District",20.6,41.2,38.2
"2016-17","Language","Bethel School District",13.9,30.8,55.3
"2016-17","Language","Bloomfield School District",19.1,50.6,30.2
"2016-17","Language","Bolton School District",20,36,44
"2016-17","Language","Booker T Washington Academy District",20.2,59.5,20.2
"2016-17","Language","Bozrah School District",NA,NA,NA
"2016-17","Language","Branford School District",15.8,47.4,36.7
"2016-17","Language","Brass City Charter School District",8.8,35.3,55.9
"2016-17","Language","Bridgeport School District",30.3,41.2,28.5
"2016-17","Language","Bristol School District",18.3,41.3,40.4
"2016-17","Language","Brookfield School District",10.8,23.6,65.6
"2016-17","Language","Brooklyn School District",21.8,34.5,43.7
"2016-17","Language","Canaan School District",NA,NA,NA
"2016-17","Language","Canterbury School District",19.6,69.6,10.9
"2016-17","Language","Canton School District",4.1,36.1,59.8
"2016-17","Language","Capital Preparatory Harbor School Inc. District",NA,NA,NA
"2016-17","Language","Capitol Region Education Council",17.9,39.7,42.4
"2016-17","Language","Chaplin School District",NA,NA,NA
"2016-17","Language","Charter School for Young Children on Asylum Hill",NA,NA,NA
"2016-17","Language","Cheshire School District",15.4,37.9,46.7
"2016-17","Language","Chester School District",3.6,14.3,82.1
"2016-17","Language","Clinton School District",23.8,50.5,25.7
"2016-17","Language","Colchester School District",12.9,45.3,41.7
"2016-17","Language","Colebrook School District",NA,NA,NA
"2016-17","Language","Columbia School District",32.6,52.2,15.2
"2016-17","Language","Common Ground High School District",NA,NA,NA
"2016-17","Language","Connecticut",24.4,40.1,35.5
"2016-17","Language","Connecticut Technical High School System",NA,NA,NA
"2016-17","Language","Cooperative Educational Services",7.3,36.6,56.1
"2016-17","Language","Cornwall School District",NA,NA,NA
"2016-17","Language","Coventry School District",27.6,60.3,12.1
"2016-17","Language","Cromwell School District",14.3,53.6,32.1
"2016-17","Language","Danbury School District",34.1,37.4,28.5
"2016-17","Language","Darien School District",2.5,20.5,77
"2016-17","Language","Deep River School District",20,50,30
"2016-17","Language","Department of Mental Health and Addiction Services",NA,NA,NA
"2016-17","Language","Derby School District",20.6,39.2,40.2
"2016-17","Language","Eastern Connecticut Regional Educational Services",NA,NA,NA
"2016-17","Language","Eastford School District",NA,NA,NA
"2016-17","Language","East Granby School District",4.8,14.3,81
"2016-17","Language","East Haddam School District",5.6,63,31.5
"2016-17","Language","East Hampton School District",15.8,43.2,41
"2016-17","Language","East Hartford School District",46.7,36.6,16.7
"2016-17","Language","East Haven School District",27.8,50.3,21.9
"2016-17","Language","East Lyme School District",30.8,41.9,27.3
"2016-17","Language","Easton School District",14.1,34.6,51.3
"2016-17","Language","East Windsor School District",24.7,53.2,22.1
"2016-17","Language","Ellington School District",14.4,24.6,61.1
"2016-17","Language","Elm City College Preparatory School District",8.1,25.8,66.1
"2016-17","Language","Elm City Montessori School District",8.8,17.6,73.5
"2016-17","Language","Enfield School District",25.9,43.6,30.5
"2016-17","Language","Essex School District",22.7,50,27.3
"2016-17","Language","Explorations District",NA,NA,NA
"2016-17","Language","Fairfield School District",14.6,33.7,51.7
"2016-17","Language","Farmington School District",13.1,32.6,54.3
"2016-17","Language","Franklin School District",NA,NA,NA
"2016-17","Language","Glastonbury School District",28.2,35.8,36.1
"2016-17","Language","Granby School District",2.2,14,83.9
"2016-17","Language","Great Oaks Charter School Bridgeport",NA,NA,NA
"2016-17","Language","Greenwich School District",11.9,28.8,59.3
"2016-17","Language","Griswold School District",21.2,50.8,28
"2016-17","Language","Groton School District",25.8,47.5,26.6
"2016-17","Language","Guilford School District",10.3,24.6,65.1
"2016-17","Language","Hamden School District",24.4,49.1,26.5
"2016-17","Language","Hampton School District",NA,NA,NA
"2016-17","Language","Hartford School District",34.1,35.2,30.7
"2016-17","Language","Hartland School District",NA,NA,NA
"2016-17","Language","Hebron School District",7.1,30,62.9
"2016-17","Language","Highville Charter School District",35,37.5,27.5
"2016-17","Language","Integrated Day Charter School District",9.7,32.3,58.1
"2016-17","Language","Interdistrict School for Arts and Communication District",NA,NA,NA
"2016-17","Language","Jumoke Academy District",8.2,50.7,41.1
"2016-17","Language","Kent School District",NA,NA,NA
"2016-17","Language","Killingly School District",21.9,34.4,43.8
"2016-17","Language","LEARN",19.9,32.1,48.1
"2016-17","Language","Lebanon School District",24.1,51.9,24.1
"2016-17","Language","Ledyard School District",28.5,41.1,30.4
"2016-17","Language","Lisbon School District",27,32.4,40.5
"2016-17","Language","Litchfield School District",31.9,46.4,21.7
"2016-17","Language","Madison School District",6.5,37.9,55.6
"2016-17","Language","Manchester School District",44.3,41,14.7
"2016-17","Language","Mansfield School District",18.6,53.6,27.8
"2016-17","Language","Marlborough School District",8.2,29.5,62.3
"2016-17","Language","Meriden School District",31,37.9,31.1
"2016-17","Language","Middletown School District",34,39.9,26.1
"2016-17","Language","Milford School District",11.3,46.5,42.2
"2016-17","Language","Monroe School District",13.3,52.2,34.5
"2016-17","Language","Montville School District",24.7,43.7,31.6
"2016-17","Language","Naugatuck School District",25.6,37.5,36.9
"2016-17","Language","New Beginnings Inc. Family Academy District",3.5,40.4,56.1
"2016-17","Language","New Britain School District",37,37.1,25.9
"2016-17","Language","New Canaan School District",12.8,28.8,58.4
"2016-17","Language","New Fairfield School District",12.5,47.1,40.4
"2016-17","Language","New Hartford School District",19,57.1,23.8
"2016-17","Language","New Haven School District",29.9,43.2,26.9
"2016-17","Language","Newington School District",32,47.4,20.7
"2016-17","Language","New London School District",21.6,56.9,21.6
"2016-17","Language","New Milford School District",27.3,53.5,19.3
"2016-17","Language","Newtown School District",10.7,48,41.3
"2016-17","Language","Norfolk School District",NA,NA,NA
"2016-17","Language","North Branford School District",27.7,47.9,24.4
"2016-17","Language","North Canaan School District",19,47.6,33.3
"2016-17","Language","North Haven School District",18.8,52.1,29.1
"2016-17","Language","North Stonington School District",6.1,14.3,79.6
"2016-17","Language","Norwalk School District",29.1,41,29.9
"2016-17","Language","Norwich Free Academy District",NA,NA,NA
"2016-17","Language","Norwich School District",37.2,39.2,23.6
"2016-17","Language","Odyssey Community School District",30.6,63.9,5.6
"2016-17","Language","Old Saybrook School District",27.1,51.4,21.4
"2016-17","Language","Orange School District",12.9,46.4,40.7
"2016-17","Language","Oxford School District",13.4,27.7,58.8
"2016-17","Language","Park City Prep Charter School District",NA,NA,NA
"2016-17","Language","Path Academy District",NA,NA,NA
"2016-17","Language","Plainfield School District",25.2,42.2,32.7
"2016-17","Language","Plainville School District",17,38.6,44.3
"2016-17","Language","Plymouth School District",24.1,41,34.9
"2016-17","Language","Pomfret School District",24,32,44
"2016-17","Language","Portland School District",36.7,43.9,19.4
"2016-17","Language","Preston School District",29,41.9,29
"2016-17","Language","Putnam School District",15.9,35.4,48.8
"2016-17","Language","Redding School District",12.6,52.4,35
"2016-17","Language","Regional School District 01",NA,NA,NA
"2016-17","Language","Regional School District 04",NA,NA,NA
"2016-17","Language","Regional School District 05",NA,NA,NA
"2016-17","Language","Regional School District 06",7.5,32.5,60
"2016-17","Language","Regional School District 07",NA,NA,NA
"2016-17","Language","Regional School District 08",NA,NA,NA
"2016-17","Language","Regional School District 09",NA,NA,NA
"2016-17","Language","Regional School District 10",8.9,27.4,63.7
"2016-17","Language","Regional School District 11",NA,NA,NA
"2016-17","Language","Regional School District 12",3.3,26.7,70
"2016-17","Language","Regional School District 13",18.3,54.8,27
"2016-17","Language","Regional School District 14",24,52.1,24
"2016-17","Language","Regional School District 15",15,39.9,45.1
"2016-17","Language","Regional School District 16",20.8,52.3,26.9
"2016-17","Language","Regional School District 17",5.7,11.3,83
"2016-17","Language","Regional School District 18",7.7,69.2,23.1
"2016-17","Language","Regional School District 19",NA,NA,NA
"2016-17","Language","Ridgefield School District",19.4,29.4,51.2
"2016-17","Language","Rocky Hill School District",21.5,39.5,39
"2016-17","Language","Salem School District",13.3,22.2,64.4
"2016-17","Language","Salisbury School District",15.6,65.6,18.8
"2016-17","Language","Scotland School District",NA,NA,NA
"2016-17","Language","Seymour School District",27.2,32.5,40.4
"2016-17","Language","Sharon School District",NA,NA,NA
"2016-17","Language","Shelton School District",25,56.9,18.1
"2016-17","Language","Sherman School District",3.6,17.9,78.6
"2016-17","Language","Side By Side Charter School District",8.7,30.4,60.9
"2016-17","Language","Simsbury School District",13.4,31.7,55
"2016-17","Language","Somers School District",14.7,34.7,50.7
"2016-17","Language","Southington School District",24.5,57.8,17.8
"2016-17","Language","South Windsor School District",16.3,32.9,50.9
"2016-17","Language","Sprague School District",8.6,31.4,60
"2016-17","Language","Stafford School District",13.9,35.2,50.9
"2016-17","Language","Stamford Academy District",NA,NA,NA
"2016-17","Language","Stamford Charter School for Excellence District",NA,NA,NA
"2016-17","Language","Stamford School District",29.3,36.1,34.6
"2016-17","Language","Sterling School District",35.1,43.2,21.6
"2016-17","Language","Stonington School District",12.3,30.3,57.4
"2016-17","Language","Stratford School District",25.2,44.1,30.7
"2016-17","Language","Suffield School District",14,55.8,30.2
"2016-17","Language","The Bridge Academy District",NA,NA,NA
"2016-17","Language","The Gilbert School District",NA,NA,NA
"2016-17","Language","Thomaston School District",55.4,41.1,3.6
"2016-17","Language","Thompson School District",33.3,57.3,9.3
"2016-17","Language","Tolland School District",20.4,64.2,15.3
"2016-17","Language","Torrington School District",29.9,44.2,26
"2016-17","Language","Trailblazers Academy District",NA,NA,NA
"2016-17","Language","Trumbull School District",28.6,44.1,27.3
"2016-17","Language","Unified School District #1",NA,NA,NA
"2016-17","Language","Unified School District #2",NA,NA,NA
"2016-17","Language","Union School District",NA,NA,NA
"2016-17","Language","Vernon School District",26.1,34,39.9
"2016-17","Language","Voluntown School District",4.3,13,82.6
"2016-17","Language","Wallingford School District",23.7,43,33.3
"2016-17","Language","Waterbury School District",34.8,40,25.1
"2016-17","Language","Waterford School District",19.7,51.8,28.5
"2016-17","Language","Watertown School District",23.8,37,39.2
"2016-17","Language","Westbrook School District",23.2,41.1,35.7
"2016-17","Language","Western Connecticut Regional Educational Services",NA,NA,NA
"2016-17","Language","West Hartford School District",19.2,39.9,40.9
"2016-17","Language","West Haven School District",44.6,43.7,11.7
"2016-17","Language","Weston School District",3.9,25.8,70.3
"2016-17","Language","Westport School District",12.5,41,46.5
"2016-17","Language","Wethersfield School District",27.2,39.7,33.1
"2016-17","Language","Willington School District",12.2,31.7,56.1
"2016-17","Language","Wilton School District",1.3,16.2,82.5
"2016-17","Language","Winchester School District",34.8,56.1,9.1
"2016-17","Language","Windham School District",36.4,45.5,18.2
"2016-17","Language","Windsor Locks School District",19.8,42.5,37.7
"2016-17","Language","Windsor School District",23.2,36.5,40.3
"2016-17","Language","Wolcott School District",15,43.6,41.4
"2016-17","Language","Woodbridge School District",27.4,62.1,10.5
"2016-17","Language","Woodstock Academy District",NA,NA,NA
"2016-17","Language","Woodstock School District",17.9,32.8,49.3
"2016-17","Literacy","Achievement First Bridgeport Academy District",24.5,47.9,27.7
"2016-17","Literacy","Achievement First Hartford Academy District",24.4,32.1,43.6
"2016-17","Literacy","Amistad Academy District",8.6,24.7,66.7
"2016-17","Literacy","Andover School District",NA,NA,NA
"2016-17","Literacy","Ansonia School District",30.6,34.4,35
"2016-17","Literacy","Area Cooperative Educational Services",33.8,40.5,25.7
"2016-17","Literacy","Ashford School District",2.9,42.9,54.3
"2016-17","Literacy","Avon School District",6.1,26.3,67.7
"2016-17","Literacy","Barkhamsted School District",NA,NA,NA
"2016-17","Literacy","Berlin School District",36.8,49.7,13.5
"2016-17","Literacy","Bethany School District",23.5,41.2,35.3
"2016-17","Literacy","Bethel School District",13.9,36.5,49.5
"2016-17","Literacy","Bloomfield School District",26.5,53.7,19.8
"2016-17","Literacy","Bolton School District",22,34,44
"2016-17","Literacy","Booker T Washington Academy District",32.1,54.8,13.1
"2016-17","Literacy","Bozrah School District",NA,NA,NA
"2016-17","Literacy","Branford School District",12.2,56.6,31.1
"2016-17","Literacy","Brass City Charter School District",14.7,50,35.3
"2016-17","Literacy","Bridgeport School District",33.3,40.3,26.4
"2016-17","Literacy","Bristol School District",19.2,37.7,43.1
"2016-17","Literacy","Brookfield School District",14,26.8,59.2
"2016-17","Literacy","Brooklyn School District",21.8,19.5,58.6
"2016-17","Literacy","Canaan School District",NA,NA,NA
"2016-17","Literacy","Canterbury School District",23.9,65.2,10.9
"2016-17","Literacy","Canton School District",8.2,29.9,61.9
"2016-17","Literacy","Capital Preparatory Harbor School Inc. District",NA,NA,NA
"2016-17","Literacy","Capitol Region Education Council",21.6,39,39.4
"2016-17","Literacy","Chaplin School District",NA,NA,NA
"2016-17","Literacy","Charter School for Young Children on Asylum Hill",NA,NA,NA
"2016-17","Literacy","Cheshire School District",10.4,40.8,48.8
"2016-17","Literacy","Chester School District",14.3,17.9,67.9
"2016-17","Literacy","Clinton School District",23.8,48.5,27.7
"2016-17","Literacy","Colchester School District",15.1,50.4,34.5
"2016-17","Literacy","Colebrook School District",NA,NA,NA
"2016-17","Literacy","Columbia School District",26.1,50,23.9
"2016-17","Literacy","Common Ground High School District",NA,NA,NA
"2016-17","Literacy","Connecticut",25.4,40,34.6
"2016-17","Literacy","Connecticut Technical High School System",NA,NA,NA
"2016-17","Literacy","Cooperative Educational Services",9.8,12.2,78
"2016-17","Literacy","Cornwall School District",NA,NA,NA
"2016-17","Literacy","Coventry School District",37.9,47.4,14.7
"2016-17","Literacy","Cromwell School District",20,45.7,34.3
"2016-17","Literacy","Danbury School District",33.8,37.4,28.8
"2016-17","Literacy","Darien School District",2.2,14.8,83
"2016-17","Literacy","Deep River School District",26.7,46.7,26.7
"2016-17","Literacy","Department of Mental Health and Addiction Services",NA,NA,NA
"2016-17","Literacy","Derby School District",21.6,29.9,48.5
"2016-17","Literacy","Eastern Connecticut Regional Educational Services",NA,NA,NA
"2016-17","Literacy","Eastford School District",NA,NA,NA
"2016-17","Literacy","East Granby School District",6.3,6.3,87.3
"2016-17","Literacy","East Haddam School District",13,57.4,29.6
"2016-17","Literacy","East Hampton School District",24.5,30.9,44.6
"2016-17","Literacy","East Hartford School District",44.4,35.4,20.2
"2016-17","Literacy","East Haven School District",27.8,49.1,23.1
"2016-17","Literacy","East Lyme School District",30.2,40.1,29.7
"2016-17","Literacy","Easton School District",14.1,55.1,30.8
"2016-17","Literacy","East Windsor School District",31.2,37.7,31.2
"2016-17","Literacy","Ellington School District",9.6,28.7,61.7
"2016-17","Literacy","Elm City College Preparatory School District",4.8,17.7,77.4
"2016-17","Literacy","Elm City Montessori School District",14.7,50,35.3
"2016-17","Literacy","Enfield School District",27.7,43.8,28.4
"2016-17","Literacy","Essex School District",25,40.9,34.1
"2016-17","Literacy","Explorations District",NA,NA,NA
"2016-17","Literacy","Fairfield School District",15.2,36.4,48.5
"2016-17","Literacy","Farmington School District",13.1,27.7,59.2
"2016-17","Literacy","Franklin School District",NA,NA,NA
"2016-17","Literacy","Glastonbury School District",23.4,37.5,39.2
"2016-17","Literacy","Granby School District",4.3,18.3,77.4
"2016-17","Literacy","Great Oaks Charter School Bridgeport",NA,NA,NA
"2016-17","Literacy","Greenwich School District",15.5,31.5,53
"2016-17","Literacy","Griswold School District",22.9,46.6,30.5
"2016-17","Literacy","Groton School District",30.7,44.2,25.1
"2016-17","Literacy","Guilford School District",11.8,30.8,57.4
"2016-17","Literacy","Hamden School District",23.9,45.6,30.5
