"Year","Domain","FixedDistrict","Level 1","Level 2","Level 3"
"2016-17","Creative","Achievement First Bridgeport Academy District",12.8,67,20.2
"2016-17","Creative","Achievement First Hartford Academy District",61.5,21.8,16.7
"2016-17","Creative","Amistad Academy District",NA,7.5,92.5
"2016-17","Creative","Andover School District",NA,NA,NA
"2016-17","Creative","Ansonia School District",14.4,48.3,37.2
"2016-17","Creative","Area Cooperative Educational Services",23,40.5,36.5
"2016-17","Creative","Ashford School District",2.9,5.7,91.4
"2016-17","Creative","Avon School District",0.5,24.2,75.3
"2016-17","Creative","Barkhamsted School District",NA,NA,NA
"2016-17","Creative","Berlin School District",14.6,64.3,21.1
"2016-17","Creative","Bethany School District",14.7,52.9,32.4
"2016-17","Creative","Bethel School District",2.4,19.2,78.4
"2016-17","Creative","Bloomfield School District",10.5,51.9,37.7
"2016-17","Creative","Bolton School District",6,34,60
"2016-17","Creative","Booker T Washington Academy District",11.9,61.9,26.2
"2016-17","Creative","Bozrah School District",NA,NA,NA
"2016-17","Creative","Branford School District",6.6,49.5,43.9
"2016-17","Creative","Brass City Charter School District",5.9,23.5,70.6
"2016-17","Creative","Bridgeport School District",16.2,45.7,38.1
"2016-17","Creative","Bristol School District",10,45.4,44.7
"2016-17","Creative","Brookfield School District",5.1,10.2,84.7
"2016-17","Creative","Brooklyn School District",14.9,8,77
"2016-17","Creative","Canaan School District",NA,NA,NA
"2016-17","Creative","Canterbury School District",8.7,87,4.3
"2016-17","Creative","Canton School District",2.1,28.9,69.1
"2016-17","Creative","Capital Preparatory Harbor School Inc. District",NA,NA,NA
"2016-17","Creative","Capitol Region Education Council",7.9,47.6,44.5
"2016-17","Creative","Chaplin School District",NA,NA,NA
"2016-17","Creative","Charter School for Young Children on Asylum Hill",NA,NA,NA
"2016-17","Creative","Cheshire School District",6.7,40,53.3
"2016-17","Creative","Chester School District",7.1,NA,92.9
"2016-17","Creative","Clinton School District",5,50.5,44.6
"2016-17","Creative","Colchester School District",4.3,30.2,65.5
"2016-17","Creative","Colebrook School District",NA,NA,NA
"2016-17","Creative","Columbia School District",13,54.3,32.6
"2016-17","Creative","Common Ground High School District",NA,NA,NA
"2016-17","Creative","Connecticut",13.1,41.3,45.5
"2016-17","Creative","Connecticut Technical High School System",NA,NA,NA
"2016-17","Creative","Cooperative Educational Services",NA,9.8,90.2
"2016-17","Creative","Cornwall School District",NA,NA,NA
"2016-17","Creative","Coventry School District",10.3,46.6,43.1
"2016-17","Creative","Cromwell School District",5,42.1,52.9
"2016-17","Creative","Danbury School District",21.4,42.1,36.5
"2016-17","Creative","Darien School District",0.5,8.8,90.7
"2016-17","Creative","Deep River School District",10,53.3,36.7
"2016-17","Creative","Department of Mental Health and Addiction Services",NA,NA,NA
"2016-17","Creative","Derby School District",8.2,35.1,56.7
"2016-17","Creative","Eastern Connecticut Regional Educational Services",NA,NA,NA
"2016-17","Creative","Eastford School District",NA,NA,NA
"2016-17","Creative","East Granby School District",1.6,1.6,96.8
"2016-17","Creative","East Haddam School District",3.7,40.7,55.6
"2016-17","Creative","East Hampton School District",5.8,36,58.3
"2016-17","Creative","East Hartford School District",31,45.5,23.5
"2016-17","Creative","East Haven School District",16.6,60.4,23.1
"2016-17","Creative","East Lyme School District",18,51.2,30.8
"2016-17","Creative","Easton School District",9,29.5,61.5
"2016-17","Creative","East Windsor School District",16.9,51.9,31.2
"2016-17","Creative","Ellington School District",13.2,8.4,78.4
"2016-17","Creative","Elm City College Preparatory School District",NA,4.8,95.2
"2016-17","Creative","Elm City Montessori School District",2.9,11.8,85.3
"2016-17","Creative","Enfield School District",9.8,51.5,38.7
"2016-17","Creative","Essex School District",18.2,40.9,40.9
"2016-17","Creative","Explorations District",NA,NA,NA
"2016-17","Creative","Fairfield School District",4.8,32.5,62.7
