"Town","Year","Region","All - All - Single-Parent Families","All - All - Margins of Error","Single-Parent - All - Single-Parent Families","Single-Parent - All - Margins of Error","total_number_of_families","total_number_of_families_moe","total_number_of_single_families","total_number_of_single_families_moe","Town_pct_single_parent_families","Town_pct_single_parent_families_moe","Region_pct_single_parent_families","Region_pct_single_parent_families_moe","All - All - Single-Parent FamiliesC","All - All - Margins of ErrorC","Single-Parent - All - Single-Parent FamiliesC","Single-Parent - All - Margins of ErrorC","total_number_of_familiesC","total_number_of_families_moeC","total_number_of_single_familiesC","total_number_of_single_families_moeC"
"Burlington","2012-2016","Central Region",2752,90,347,99,128908,1076,32360,1098,12.61,0.04,25.1,0.01,"  2,752","   90","    347","   99","128,908","1,076"," 32,360","1,098"
"Canaan","2012-2016","Western Region",304,40,49,22,158306,1255,37603,1183,16.12,0.07,23.75,0.01,"    304","   40","     49","   22","158,306","1,255"," 37,603","1,183"
"Canterbury","2012-2016","Eastern Region",1443,100,408,104,162930,1327,38893,1241,28.27,0.07,23.87,0.01,"  1,443","  100","    408","  104","162,930","1,327"," 38,893","1,241"
"Canton","2012-2016","Central Region",2956,143,441,157,128908,1076,32360,1098,14.92,0.05,25.1,0.01,"  2,956","  143","    441","  157","128,908","1,076"," 32,360","1,098"
"Chaplin","2012-2016","Eastern Region",613,58,150,49,162930,1327,38893,1241,24.47,0.08,23.87,0.01,"    613","   58","    150","   49","162,930","1,327"," 38,893","1,241"
"Cheshire","2012-2016","Western Region",7553,239,1132,209,158306,1255,37603,1183,14.99,0.03,23.75,0.01,"  7,553","  239","  1,132","  209","158,306","1,255"," 37,603","1,183"
"Chester","2012-2016","Eastern Region",1116,86,157,69,162930,1327,38893,1241,14.07,0.06,23.87,0.01,"  1,116","   86","    157","   69","162,930","1,327"," 38,893","1,241"
"Clinton","2012-2016","Eastern Region",3735,157,749,159,162930,1327,38893,1241,20.05,0.04,23.87,0.01,"  3,735","  157","    749","  159","162,930","1,327"," 38,893","1,241"
"Colchester","2012-2016","Eastern Region",4302,183,797,172,162930,1327,38893,1241,18.53,0.04,23.87,0.01,"  4,302","  183","    797","  172","162,930","1,327"," 38,893","1,241"
"Colebrook","2012-2016","Western Region",415,48,46,20,158306,1255,37603,1183,11.08,0.05,23.75,0.01,"    415","   48","     46","   20","158,306","1,255"," 37,603","1,183"
"Columbia","2012-2016","Eastern Region",1561,119,174,89,162930,1327,38893,1241,11.15,0.06,23.87,0.01,"  1,561","  119","    174","   89","162,930","1,327"," 38,893","1,241"
"Connecticut","2012-2016","Statewide",894413,4487,233567,3485,894413,4487,233567,3485,26.11,0,26.11,0,"894,413","4,487","233,567","3,485","894,413","4,487","233,567","3,485"
"Cornwall","2012-2016","Western Region",411,48,79,32,158306,1255,37603,1183,19.22,0.07,23.75,0.01,"    411","   48","     79","   32","158,306","1,255"," 37,603","1,183"
"Coventry","2012-2016","Eastern Region",3572,206,773,172,162930,1327,38893,1241,21.64,0.05,23.87,0.01,"  3,572","  206","    773","  172","162,930","1,327"," 38,893","1,241"
"Cromwell","2012-2016","Eastern Region",3543,196,561,166,162930,1327,38893,1241,15.83,0.05,23.87,0.01,"  3,543","  196","    561","  166","162,930","1,327"," 38,893","1,241"
"Danbury","2012-2016","Western Region",19705,456,5708,468,158306,1255,37603,1183,28.97,0.02,23.75,0.01," 19,705","  456","  5,708","  468","158,306","1,255"," 37,603","1,183"
"Darien","2012-2016","Southwest Region",5560,136,492,133,172434,1307,43304,1225,8.85,0.02,25.11,0.01,"  5,560","  136","    492","  133","172,434","1,307"," 43,304","1,225"
"Deep River","2012-2016","Eastern Region",1195,90,228,69,162930,1327,38893,1241,19.08,0.06,23.87,0.01,"  1,195","   90","    228","   69","162,930","1,327"," 38,893","1,241"
"Derby","2012-2016","South Central Region",2798,200,904,198,119053,1194,34338,1143,32.31,0.07,28.84,0.01,"  2,798","  200","    904","  198","119,053","1,194"," 34,338","1,143"
"Durham","2012-2016","Eastern Region",2053,130,266,103,162930,1327,38893,1241,12.96,0.05,23.87,0.01,"  2,053","  130","    266","  103","162,930","1,327"," 38,893","1,241"
"Eastford","2012-2016","Eastern Region",453,50,56,24,162930,1327,38893,1241,12.36,0.05,23.87,0.01,"    453","   50","     56","   24","162,930","1,327"," 38,893","1,241"
"East Granby","2012-2016","North Central Region",1448,103,234,110,152782,1216,47069,1232,16.16,0.08,30.81,0.01,"  1,448","  103","    234","  110","152,782","1,216"," 47,069","1,232"
"East Haddam","2012-2016","Eastern Region",2496,163,297,112,162930,1327,38893,1241,11.9,0.04,23.87,0.01,"  2,496","  163","    297","  112","162,930","1,327"," 38,893","1,241"
"East Hampton","2012-2016","Eastern Region",3449,161,372,122,162930,1327,38893,1241,10.79,0.04,23.87,0.01,"  3,449","  161","    372","  122","162,930","1,327"," 38,893","1,241"
"East Hartford","2012-2016","North Central Region",12624,390,5391,500,152782,1216,47069,1232,42.7,0.04,30.81,0.01," 12,624","  390","  5,391","  500","152,782","1,216"," 47,069","1,232"
"East Haven","2012-2016","South Central Region",6656,269,1793,272,119053,1194,34338,1143,26.94,0.04,28.84,0.01,"  6,656","  269","  1,793","  272","119,053","1,194"," 34,338","1,143"
"East Lyme","2012-2016","Eastern Region",5018,210,977,167,162930,1327,38893,1241,19.47,0.03,23.87,0.01,"  5,018","  210","    977","  167","162,930","1,327"," 38,893","1,241"
"Easton","2012-2016","Southwest Region",2070,106,241,83,172434,1307,43304,1225,11.64,0.04,25.11,0.01,"  2,070","  106","    241","   83","172,434","1,307"," 43,304","1,225"
"East Windsor","2012-2016","North Central Region",2880,202,732,163,152782,1216,47069,1232,25.42,0.05,30.81,0.01,"  2,880","  202","    732","  163","152,782","1,216"," 47,069","1,232"
"Ellington","2012-2016","North Central Region",4188,280,808,248,152782,1216,47069,1232,19.29,0.06,30.81,0.01,"  4,188","  280","    808","  248","152,782","1,216"," 47,069","1,232"
"Enfield","2012-2016","North Central Region",11074,358,2893,324,152782,1216,47069,1232,26.12,0.03,30.81,0.01," 11,074","  358","  2,893","  324","152,782","1,216"," 47,069","1,232"
"Essex","2012-2016","Eastern Region",1835,128,342,141,162930,1327,38893,1241,18.64,0.08,23.87,0.01,"  1,835","  128","    342","  141","162,930","1,327"," 38,893","1,241"
"Fairfield","2012-2016","Southwest Region",15078,280,2095,242,172434,1307,43304,1225,13.89,0.02,25.11,0.01," 15,078","  280","  2,095","  242","172,434","1,307"," 43,304","1,225"
"Farmington","2012-2016","Central Region",6548,211,906,172,128908,1076,32360,1098,13.84,0.03,25.1,0.01,"  6,548","  211","    906","  172","128,908","1,076"," 32,360","1,098"
"Franklin","2012-2016","Eastern Region",559,40,50,17,162930,1327,38893,1241,8.94,0.03,23.87,0.01,"    559","   40","     50","   17","162,930","1,327"," 38,893","1,241"
"Glastonbury","2012-2016","North Central Region",9292,244,1519,230,152782,1216,47069,1232,16.35,0.02,30.81,0.01,"  9,292","  244","  1,519","  230","152,782","1,216"," 47,069","1,232"
"Goshen","2012-2016","Western Region",859,53,34,26,158306,1255,37603,1183,3.96,0.03,23.75,0.01,"    859","   53","     34","   26","158,306","1,255"," 37,603","1,183"
"Granby","2012-2016","North Central Region",3305,126,305,115,152782,1216,47069,1232,9.23,0.03,30.81,0.01,"  3,305","  126","    305","  115","152,782","1,216"," 47,069","1,232"
"Greenwich","2012-2016","Southwest Region",15976,327,2608,275,172434,1307,43304,1225,16.32,0.02,25.11,0.01," 15,976","  327","  2,608","  275","172,434","1,307"," 43,304","1,225"
"Griswold","2012-2016","Eastern Region",2988,194,796,184,162930,1327,38893,1241,26.64,0.06,23.87,0.01,"  2,988","  194","    796","  184","162,930","1,327"," 38,893","1,241"
"Groton","2012-2016","Eastern Region",9585,347,2662,332,162930,1327,38893,1241,27.77,0.03,23.87,0.01,"  9,585","  347","  2,662","  332","162,930","1,327"," 38,893","1,241"
"Guilford","2012-2016","Eastern Region",6216,227,1016,190,162930,1327,38893,1241,16.34,0.03,23.87,0.01,"  6,216","  227","  1,016","  190","162,930","1,327"," 38,893","1,241"
"Haddam","2012-2016","Eastern Region",2362,193,286,141,162930,1327,38893,1241,12.11,0.06,23.87,0.01,"  2,362","  193","    286","  141","162,930","1,327"," 38,893","1,241"
"Hamden","2012-2016","South Central Region",14210,377,3124,362,119053,1194,34338,1143,21.98,0.02,28.84,0.01," 14,210","  377","  3,124","  362","119,053","1,194"," 34,338","1,143"
"Hampton","2012-2016","Eastern Region",491,39,97,31,162930,1327,38893,1241,19.76,0.06,23.87,0.01,"    491","   39","     97","   31","162,930","1,327"," 38,893","1,241"
"Hartford","2012-2016","North Central Region",26572,532,16849,575,152782,1216,47069,1232,63.41,0.02,30.81,0.01," 26,572","  532"," 16,849","  575","152,782","1,216"," 47,069","1,232"
"Hartland","2012-2016","Western Region",598,51,76,32,158306,1255,37603,1183,12.71,0.05,23.75,0.01,"    598","   51","     76","   32","158,306","1,255"," 37,603","1,183"
"Harwinton","2012-2016","Western Region",1623,87,186,65,158306,1255,37603,1183,11.46,0.04,23.75,0.01,"  1,623","   87","    186","   65","158,306","1,255"," 37,603","1,183"
"Hebron","2012-2016","North Central Region",2665,130,319,102,152782,1216,47069,1232,11.97,0.04,30.81,0.01,"  2,665","  130","    319","  102","152,782","1,216"," 47,069","1,232"
"Kent","2012-2016","Western Region",701,86,118,55,158306,1255,37603,1183,16.83,0.08,23.75,0.01,"    701","   86","    118","   55","158,306","1,255"," 37,603","1,183"
"Killingly","2012-2016","Eastern Region",4367,234,1364,284,162930,1327,38893,1241,31.23,0.06,23.87,0.01,"  4,367","  234","  1,364","  284","162,930","1,327"," 38,893","1,241"
"Killingworth","2012-2016","Eastern Region",1940,108,149,81,162930,1327,38893,1241,7.68,0.04,23.87,0.01,"  1,940","  108","    149","   81","162,930","1,327"," 38,893","1,241"
"Lebanon","2012-2016","Eastern Region",1996,190,346,120,162930,1327,38893,1241,17.33,0.06,23.87,0.01,"  1,996","  190","    346","  120","162,930","1,327"," 38,893","1,241"
"Ledyard","2012-2016","Eastern Region",4382,181,965,249,162930,1327,38893,1241,22.02,0.06,23.87,0.01,"  4,382","  181","    965","  249","162,930","1,327"," 38,893","1,241"
"Lisbon","2012-2016","Eastern Region",1186,79,217,62,162930,1327,38893,1241,18.3,0.05,23.87,0.01,"  1,186","   79","    217","   62","162,930","1,327"," 38,893","1,241"
"Litchfield","2012-2016","Western Region",2280,154,445,130,158306,1255,37603,1183,19.52,0.06,23.75,0.01,"  2,280","  154","    445","  130","158,306","1,255"," 37,603","1,183"
"Lyme","2012-2016","Eastern Region",760,55,90,34,162930,1327,38893,1241,11.84,0.04,23.87,0.01,"    760","   55","     90","   34","162,930","1,327"," 38,893","1,241"
"Madison","2012-2016","Eastern Region",4985,192,512,136,162930,1327,38893,1241,10.27,0.03,23.87,0.01,"  4,985","  192","    512","  136","162,930","1,327"," 38,893","1,241"
"Manchester","2012-2016","North Central Region",14743,376,4341,389,152782,1216,47069,1232,29.44,0.03,30.81,0.01," 14,743","  376","  4,341","  389","152,782","1,216"," 47,069","1,232"
"Mansfield","2012-2016","Eastern Region",2861,265,595,150,162930,1327,38893,1241,20.8,0.05,23.87,0.01,"  2,861","  265","    595","  150","162,930","1,327"," 38,893","1,241"
"Marlborough","2012-2016","North Central Region",1961,113,303,121,152782,1216,47069,1232,15.45,0.06,30.81,0.01,"  1,961","  113","    303","  121","152,782","1,216"," 47,069","1,232"
"Meriden","2012-2016","Central Region",14964,382,5063,382,128908,1076,32360,1098,33.83,0.02,25.1,0.01," 14,964","  382","  5,063","  382","128,908","1,076"," 32,360","1,098"
"Middlebury","2012-2016","Western Region",2028,98,251,78,158306,1255,37603,1183,12.38,0.04,23.75,0.01,"  2,028","   98","    251","   78","158,306","1,255"," 37,603","1,183"
"Middlefield","2012-2016","Eastern Region",1360,84,178,79,162930,1327,38893,1241,13.09,0.06,23.87,0.01,"  1,360","   84","    178","   79","162,930","1,327"," 38,893","1,241"
"Middletown","2012-2016","Eastern Region",10557,363,3393,330,162930,1327,38893,1241,32.14,0.03,23.87,0.01," 10,557","  363","  3,393","  330","162,930","1,327"," 38,893","1,241"
"Milford","2012-2016","South Central Region",13459,354,2598,269,119053,1194,34338,1143,19.3,0.02,28.84,0.01," 13,459","  354","  2,598","  269","119,053","1,194"," 34,338","1,143"
"Monroe","2012-2016","Southwest Region",5345,200,754,198,172434,1307,43304,1225,14.11,0.04,25.11,0.01,"  5,345","  200","    754","  198","172,434","1,307"," 43,304","1,225"
"Montville","2012-2016","Eastern Region",4891,267,1215,254,162930,1327,38893,1241,24.84,0.05,23.87,0.01,"  4,891","  267","  1,215","  254","162,930","1,327"," 38,893","1,241"
"Morris","2012-2016","Western Region",660,67,67,26,158306,1255,37603,1183,10.15,0.04,23.75,0.01,"    660","   67","     67","   26","158,306","1,255"," 37,603","1,183"
"Naugatuck","2012-2016","Western Region",8122,344,2191,331,158306,1255,37603,1183,26.98,0.04,23.75,0.01,"  8,122","  344","  2,191","  331","158,306","1,255"," 37,603","1,183"
"New Britain","2012-2016","Central Region",17165,461,8127,546,128908,1076,32360,1098,47.35,0.03,25.1,0.01," 17,165","  461","  8,127","  546","128,908","1,076"," 32,360","1,098"
"New Canaan","2012-2016","Southwest Region",5450,173,669,188,172434,1307,43304,1225,12.28,0.03,25.11,0.01,"  5,450","  173","    669","  188","172,434","1,307"," 43,304","1,225"
"New Fairfield","2012-2016","Western Region",3861,126,516,143,158306,1255,37603,1183,13.36,0.04,23.75,0.01,"  3,861","  126","    516","  143","158,306","1,255"," 37,603","1,183"
"New Hartford","2012-2016","Western Region",1794,130,206,103,158306,1255,37603,1183,11.48,0.06,23.75,0.01,"  1,794","  130","    206","  103","158,306","1,255"," 37,603","1,183"
"New Haven","2012-2016","South Central Region",25463,668,12883,697,119053,1194,34338,1143,50.59,0.02,28.84,0.01," 25,463","  668"," 12,883","  697","119,053","1,194"," 34,338","1,143"
"Newington","2012-2016","Central Region",7910,268,1702,240,128908,1076,32360,1098,21.52,0.03,25.1,0.01,"  7,910","  268","  1,702","  240","128,908","1,076"," 32,360","1,098"
"New London","2012-2016","Eastern Region",5430,269,2833,305,162930,1327,38893,1241,52.17,0.05,23.87,0.01,"  5,430","  269","  2,833","  305","162,930","1,327"," 38,893","1,241"
"New Milford","2012-2016","Western Region",7205,269,1413,277,158306,1255,37603,1183,19.61,0.04,23.75,0.01,"  7,205","  269","  1,413","  277","158,306","1,255"," 37,603","1,183"
"Newtown","2012-2016","Western Region",7478,209,1124,209,158306,1255,37603,1183,15.03,0.03,23.75,0.01,"  7,478","  209","  1,124","  209","158,306","1,255"," 37,603","1,183"
"Norfolk","2012-2016","Western Region",395,52,74,33,158306,1255,37603,1183,18.73,0.08,23.75,0.01,"    395","   52","     74","   33","158,306","1,255"," 37,603","1,183"
"North Branford","2012-2016","South Central Region",4064,186,586,167,119053,1194,34338,1143,14.42,0.04,28.84,0.01,"  4,064","  186","    586","  167","119,053","1,194"," 34,338","1,143"
"North Canaan","2012-2016","Western Region",794,79,183,66,158306,1255,37603,1183,23.05,0.08,23.75,0.01,"    794","   79","    183","   66","158,306","1,255"," 37,603","1,183"
"North Haven","2012-2016","South Central Region",6145,240,1131,162,119053,1194,34338,1143,18.41,0.03,28.84,0.01,"  6,145","  240","  1,131","  162","119,053","1,194"," 34,338","1,143"
"North Stonington","2012-2016","Eastern Region",1420,127,233,112,162930,1327,38893,1241,16.41,0.08,23.87,0.01,"  1,420","  127","    233","  112","162,930","1,327"," 38,893","1,241"
"Norwalk","2012-2016","Southwest Region",22058,453,6251,546,172434,1307,43304,1225,28.34,0.02,25.11,0.01," 22,058","  453","  6,251","  546","172,434","1,307"," 43,304","1,225"
"Norwich","2012-2016","Eastern Region",9613,346,4121,429,162930,1327,38893,1241,42.87,0.04,23.87,0.01,"  9,613","  346","  4,121","  429","162,930","1,327"," 38,893","1,241"
"Old Lyme","2012-2016","Eastern Region",2273,121,332,102,162930,1327,38893,1241,14.61,0.04,23.87,0.01,"  2,273","  121","    332","  102","162,930","1,327"," 38,893","1,241"
"Old Saybrook","2012-2016","Eastern Region",2806,172,425,125,162930,1327,38893,1241,15.15,0.04,23.87,0.01,"  2,806","  172","    425","  125","162,930","1,327"," 38,893","1,241"
"Orange","2012-2016","South Central Region",3804,141,501,112,119053,1194,34338,1143,13.17,0.03,28.84,0.01,"  3,804","  141","    501","  112","119,053","1,194"," 34,338","1,143"
"Oxford","2012-2016","Western Region",3650,160,561,154,158306,1255,37603,1183,15.37,0.04,23.75,0.01,"  3,650","  160","    561","  154","158,306","1,255"," 37,603","1,183"
"Plainfield","2012-2016","Eastern Region",4051,206,922,220,162930,1327,38893,1241,22.76,0.05,23.87,0.01,"  4,051","  206","    922","  220","162,930","1,327"," 38,893","1,241"
"Plainville","2012-2016","Central Region",4586,223,1105,221,128908,1076,32360,1098,24.1,0.05,25.1,0.01,"  4,586","  223","  1,105","  221","128,908","1,076"," 32,360","1,098"
"Plymouth","2012-2016","Central Region",3156,165,822,156,128908,1076,32360,1098,26.05,0.05,25.1,0.01,"  3,156","  165","    822","  156","128,908","1,076"," 32,360","1,098"
"Pomfret","2012-2016","Eastern Region",1017,81,163,71,162930,1327,38893,1241,16.03,0.07,23.87,0.01,"  1,017","   81","    163","   71","162,930","1,327"," 38,893","1,241"
"Portland","2012-2016","Eastern Region",2555,161,459,168,162930,1327,38893,1241,17.96,0.06,23.87,0.01,"  2,555","  161","    459","  168","162,930","1,327"," 38,893","1,241"
"Preston","2012-2016","Eastern Region",1319,97,273,98,162930,1327,38893,1241,20.7,0.07,23.87,0.01,"  1,319","   97","    273","   98","162,930","1,327"," 38,893","1,241"
"Prospect","2012-2016","Western Region",2377,180,434,140,158306,1255,37603,1183,18.26,0.06,23.75,0.01,"  2,377","  180","    434","  140","158,306","1,255"," 37,603","1,183"
"Putnam","2012-2016","Eastern Region",2455,170,1014,225,162930,1327,38893,1241,41.3,0.09,23.87,0.01,"  2,455","  170","  1,014","  225","162,930","1,327"," 38,893","1,241"
"Redding","2012-2016","Western Region",2557,125,233,90,158306,1255,37603,1183,9.11,0.03,23.75,0.01,"  2,557","  125","    233","   90","158,306","1,255"," 37,603","1,183"
"Ridgefield","2012-2016","Western Region",7204,191,916,194,158306,1255,37603,1183,12.72,0.03,23.75,0.01,"  7,204","  191","    916","  194","158,306","1,255"," 37,603","1,183"
"Rocky Hill","2012-2016","Central Region",5125,237,1225,247,128908,1076,32360,1098,23.9,0.05,25.1,0.01,"  5,125","  237","  1,225","  247","128,908","1,076"," 32,360","1,098"
"Roxbury","2012-2016","Western Region",677,60,38,22,158306,1255,37603,1183,5.61,0.03,23.75,0.01,"    677","   60","     38","   22","158,306","1,255"," 37,603","1,183"
"Salem","2012-2016","Eastern Region",1278,82,194,81,162930,1327,38893,1241,15.18,0.06,23.87,0.01,"  1,278","   82","    194","   81","162,930","1,327"," 38,893","1,241"
"Salisbury","2012-2016","Western Region",1020,91,90,48,158306,1255,37603,1183,8.82,0.05,23.75,0.01,"  1,020","   91","     90","   48","158,306","1,255"," 37,603","1,183"
"Scotland","2012-2016","Eastern Region",480,52,52,23,162930,1327,38893,1241,10.83,0.05,23.87,0.01,"    480","   52","     52","   23","162,930","1,327"," 38,893","1,241"
"Seymour","2012-2016","South Central Region",4126,210,763,196,119053,1194,34338,1143,18.49,0.05,28.84,0.01,"  4,126","  210","    763","  196","119,053","1,194"," 34,338","1,143"
"Sharon","2012-2016","Western Region",848,76,72,63,158306,1255,37603,1183,8.49,0.07,23.75,0.01,"    848","   76","     72","   63","158,306","1,255"," 37,603","1,183"
"Shelton","2012-2016","South Central Region",11094,310,2166,260,119053,1194,34338,1143,19.52,0.02,28.84,0.01," 11,094","  310","  2,166","  260","119,053","1,194"," 34,338","1,143"
"Sherman","2012-2016","Western Region",1006,75,91,42,158306,1255,37603,1183,9.05,0.04,23.75,0.01,"  1,006","   75","     91","   42","158,306","1,255"," 37,603","1,183"
"Simsbury","2012-2016","Central Region",6718,173,726,142,128908,1076,32360,1098,10.81,0.02,25.1,0.01,"  6,718","  173","    726","  142","128,908","1,076"," 32,360","1,098"
"Somers","2012-2016","North Central Region",2615,125,458,119,152782,1216,47069,1232,17.51,0.04,30.81,0.01,"  2,615","  125","    458","  119","152,782","1,216"," 47,069","1,232"
"Southbury","2012-2016","Western Region",4980,202,846,169,158306,1255,37603,1183,16.99,0.03,23.75,0.01,"  4,980","  202","    846","  169","158,306","1,255"," 37,603","1,183"
"Southington","2012-2016","Central Region",12305,279,2200,325,128908,1076,32360,1098,17.88,0.03,25.1,0.01," 12,305","  279","  2,200","  325","128,908","1,076"," 32,360","1,098"
"South Windsor","2012-2016","North Central Region",7020,186,1120,201,152782,1216,47069,1232,15.95,0.03,30.81,0.01,"  7,020","  186","  1,120","  201","152,782","1,216"," 47,069","1,232"
"Sprague","2012-2016","Eastern Region",779,58,202,62,162930,1327,38893,1241,25.93,0.08,23.87,0.01,"    779","   58","    202","   62","162,930","1,327"," 38,893","1,241"
"Stafford","2012-2016","North Central Region",3027,162,831,193,152782,1216,47069,1232,27.45,0.06,30.81,0.01,"  3,027","  162","    831","  193","152,782","1,216"," 47,069","1,232"
"Stamford","2012-2016","Southwest Region",30220,684,7315,557,172434,1307,43304,1225,24.21,0.02,25.11,0.01," 30,220","  684","  7,315","  557","172,434","1,307"," 43,304","1,225"
"Sterling","2012-2016","Eastern Region",955,68,269,105,162930,1327,38893,1241,28.17,0.11,23.87,0.01,"    955","   68","    269","  105","162,930","1,327"," 38,893","1,241"
"Stonington","2012-2016","Eastern Region",4987,178,1105,191,162930,1327,38893,1241,22.16,0.04,23.87,0.01,"  4,987","  178","  1,105","  191","162,930","1,327"," 38,893","1,241"
"Stratford","2012-2016","Southwest Region",13668,365,3693,357,172434,1307,43304,1225,27.02,0.03,25.11,0.01," 13,668","  365","  3,693","  357","172,434","1,307"," 43,304","1,225"
"Suffield","2012-2016","North Central Region",3750,176,585,159,152782,1216,47069,1232,15.6,0.04,30.81,0.01,"  3,750","  176","    585","  159","152,782","1,216"," 47,069","1,232"
"Thomaston","2012-2016","Western Region",2082,123,472,122,158306,1255,37603,1183,22.67,0.06,23.75,0.01,"  2,082","  123","    472","  122","158,306","1,255"," 37,603","1,183"
"Thompson","2012-2016","Eastern Region",2486,121,430,126,162930,1327,38893,1241,17.3,0.05,23.87,0.01,"  2,486","  121","    430","  126","162,930","1,327"," 38,893","1,241"
"Tolland","2012-2016","North Central Region",4150,176,512,153,152782,1216,47069,1232,12.34,0.04,30.81,0.01,"  4,150","  176","    512","  153","152,782","1,216"," 47,069","1,232"
"Torrington","2012-2016","Western Region",9019,333,2477,291,158306,1255,37603,1183,27.46,0.03,23.75,0.01,"  9,019","  333","  2,477","  291","158,306","1,255"," 37,603","1,183"
"Trumbull","2012-2016","Southwest Region",9462,282,1509,243,172434,1307,43304,1225,15.95,0.03,25.11,0.01,"  9,462","  282","  1,509","  243","172,434","1,307"," 43,304","1,225"
"Union","2012-2016","Eastern Region",271,41,18,14,162930,1327,38893,1241,6.64,0.05,23.87,0.01,"    271","   41","     18","   14","162,930","1,327"," 38,893","1,241"
"Vernon","2012-2016","North Central Region",6932,349,1834,255,152782,1216,47069,1232,26.46,0.03,30.81,0.01,"  6,932","  349","  1,834","  255","152,782","1,216"," 47,069","1,232"
"Voluntown","2012-2016","Eastern Region",720,52,81,41,162930,1327,38893,1241,11.25,0.06,23.87,0.01,"    720","   52","     81","   41","162,930","1,327"," 38,893","1,241"
"Wallingford","2012-2016","Central Region",11658,359,2193,295,128908,1076,32360,1098,18.81,0.02,25.1,0.01," 11,658","  359","  2,193","  295","128,908","1,076"," 32,360","1,098"
