"Town","Year","Region","All - All - Single-Parent Families","All - All - Margins of Error","Single-Parent - All - Single-Parent Families","Single-Parent - All - Margins of Error","total_number_of_families","total_number_of_families_moe","total_number_of_single_families","total_number_of_single_families_moe","Town_pct_single_parent_families","Town_pct_single_parent_families_moe","Region_pct_single_parent_families","Region_pct_single_parent_families_moe","All - All - Single-Parent FamiliesC","All - All - Margins of ErrorC","Single-Parent - All - Single-Parent FamiliesC","Single-Parent - All - Margins of ErrorC","total_number_of_familiesC","total_number_of_families_moeC","total_number_of_single_familiesC","total_number_of_single_families_moeC"
"Andover","2012-2016","North Central Region",919,68,131,52,152782,1216,47069,1232,14.25,0.06,30.81,0.01,"    919","   68","    131","   52","152,782","1,216"," 47,069","1,232"
"Ansonia","2012-2016","South Central Region",4454,275,1545,230,119053,1194,34338,1143,34.69,0.05,28.84,0.01,"  4,454","  275","  1,545","  230","119,053","1,194"," 34,338","1,143"
"Ashford","2012-2016","Eastern Region",1015,87,165,68,162930,1327,38893,1241,16.26,0.07,23.87,0.01,"  1,015","   87","    165","   68","162,930","1,327"," 38,893","1,241"
"Avon","2012-2016","Central Region",5108,167,441,109,128908,1076,32360,1098,8.63,0.02,25.1,0.01,"  5,108","  167","    441","  109","128,908","1,076"," 32,360","1,098"
"Barkhamsted","2012-2016","Western Region",1019,70,185,75,158306,1255,37603,1183,18.16,0.07,23.75,0.01,"  1,019","   70","    185","   75","158,306","1,255"," 37,603","1,183"
"Beacon Falls","2012-2016","Western Region",1455,99,261,117,158306,1255,37603,1183,17.94,0.08,23.75,0.01,"  1,455","   99","    261","  117","158,306","1,255"," 37,603","1,183"
"Berlin","2012-2016","Central Region",5713,197,992,263,128908,1076,32360,1098,17.36,0.05,25.1,0.01,"  5,713","  197","    992","  263","128,908","1,076"," 32,360","1,098"
"Bethany","2012-2016","South Central Region",1584,101,174,73,119053,1194,34338,1143,10.98,0.05,28.84,0.01,"  1,584","  101","    174","   73","119,053","1,194"," 34,338","1,143"
"Bethel","2012-2016","Western Region",5118,196,938,180,158306,1255,37603,1183,18.33,0.03,23.75,0.01,"  5,118","  196","    938","  180","158,306","1,255"," 37,603","1,183"
"Bethlehem","2012-2016","Western Region",940,66,175,68,158306,1255,37603,1183,18.62,0.07,23.75,0.01,"    940","   66","    175","   68","158,306","1,255"," 37,603","1,183"
"Bloomfield","2012-2016","North Central Region",5221,257,1614,242,152782,1216,47069,1232,30.91,0.04,30.81,0.01,"  5,221","  257","  1,614","  242","152,782","1,216"," 47,069","1,232"
"Bolton","2012-2016","North Central Region",1466,70,267,88,152782,1216,47069,1232,18.21,0.06,30.81,0.01,"  1,466","   70","    267","   88","152,782","1,216"," 47,069","1,232"
"Bozrah","2012-2016","Eastern Region",759,52,170,43,162930,1327,38893,1241,22.4,0.05,23.87,0.01,"    759","   52","    170","   43","162,930","1,327"," 38,893","1,241"
"Branford","2012-2016","South Central Region",7102,259,1642,240,119053,1194,34338,1143,23.12,0.03,28.84,0.01,"  7,102","  259","  1,642","  240","119,053","1,194"," 34,338","1,143"
"Bridgeport","2012-2016","Southwest Region",32376,681,15965,647,172434,1307,43304,1225,49.31,0.02,25.11,0.01," 32,376","  681"," 15,965","  647","172,434","1,307"," 43,304","1,225"
"Bridgewater","2012-2016","Western Region",534,56,66,29,158306,1255,37603,1183,12.36,0.05,23.75,0.01,"    534","   56","     66","   29","158,306","1,255"," 37,603","1,183"
"Bristol","2012-2016","Central Region",15007,415,4343,373,128908,1076,32360,1098,28.94,0.02,25.1,0.01," 15,007","  415","  4,343","  373","128,908","1,076"," 32,360","1,098"
"Brookfield","2012-2016","Western Region",4607,195,662,162,158306,1255,37603,1183,14.37,0.03,23.75,0.01,"  4,607","  195","    662","  162","158,306","1,255"," 37,603","1,183"
"Brooklyn","2012-2016","Eastern Region",2095,197,309,122,162930,1327,38893,1241,14.75,0.06,23.87,0.01,"  2,095","  197","    309","  122","162,930","1,327"," 38,893","1,241"
