"Age Range","Label","White","Black","Hispanic","Other","Total"
" ","Pop","19,406","7,134","10,919","4,698","42,157"
" ","Tx","1,941","713","1,092","470","4,216"
" ","Life","3,881","1,427","2,184","940","8,431"
" ","Pop","15,390","4,969","6,760","2,894","30,013"
" ","Tx","1,539","497","676","289","3,001"
" ","Life","3,078","994","1,352","579","6,003"
" ","Pop","26,560","8,117","10,395","3,750","48,822"
" ","Tx","2,656","812","1,040","375","4,882"
" ","Life","5,312","1,623","2,079","750","9,764"
" ","Pop","17,790","6,088","7,352","2,154","33,384"
" ","Tx","1,779","609","735","215","3,338"
" ","Life","3,558","1,218","1,470","431","6,677"
" ","Pop","7,839","2,901","3,534","974","15,248"
" ","Tx","784","290","353","97","1,525"
" ","Life","1,568","580","707","195","3,050"
" ","Pop","86,985","29,209","38,960","14,470","169,624"
" ","Tx","8,698","2,921","3,896","1,447","16,962"
" ","Life","17,397","5,842","7,792","2,894","33,925"
