Data Set,Priority Problem,Key Terms
Chronic Absenteeism by All Students,,
UCR Crime Index,"Alcohol,
Marijuana,
Prescription Drugs,
Heroin,
Cocaine,
Other Illicit Drugs,
Problem Gambling",
Liquor Law Arrests,Alcohol,
Drug Induced Deaths,"Alcohol,
Prescription Drugs,
Heroin,
Cocaine,
Other Illicit Drugs",
Accidental Drug Related Deaths by Drug Type,"Prescription Drugs,
Heroin",
Accidental Drug Related Deaths by Individual Drugs Detected,Heroin,
