"District","FIPS","Year","Sanction Type","Variable","Measure Type","Value"
"Area Cooperative Educational Services",NA,"2009-2010","Expulsion","Sanctions","Number",-9999
"Area Cooperative Educational Services",NA,"2009-2010","Bus Suspension","Sanctions","Number",23
"Area Cooperative Educational Services",NA,"2010-2011","In-School Suspension","Sanctions","Number",319
"Area Cooperative Educational Services",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",341
"Area Cooperative Educational Services",NA,"2010-2011","Expulsion","Sanctions","Number",-9999
"Area Cooperative Educational Services",NA,"2010-2011","Bus Suspension","Sanctions","Number",35
"Area Cooperative Educational Services",NA,"2011-2012","In-School Suspension","Sanctions","Number",255
"Area Cooperative Educational Services",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",358
"Area Cooperative Educational Services",NA,"2011-2012","Expulsion","Sanctions","Number",-9999
"Area Cooperative Educational Services",NA,"2011-2012","Bus Suspension","Sanctions","Number",26
"Area Cooperative Educational Services",NA,"2012-2013","In-School Suspension","Sanctions","Number",300
"Area Cooperative Educational Services",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",269
"Area Cooperative Educational Services",NA,"2012-2013","Expulsion","Sanctions","Number",0
"Area Cooperative Educational Services",NA,"2012-2013","Bus Suspension","Sanctions","Number",14
"Area Cooperative Educational Services",NA,"2013-2014","In-School Suspension","Sanctions","Number",220
"Area Cooperative Educational Services",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",324
"Area Cooperative Educational Services",NA,"2013-2014","Expulsion","Sanctions","Number",0
"Area Cooperative Educational Services",NA,"2013-2014","Bus Suspension","Sanctions","Number",27
"Area Cooperative Educational Services",NA,"2014-2015","In-School Suspension","Sanctions","Number",286
"Area Cooperative Educational Services",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",281
"Area Cooperative Educational Services",NA,"2014-2015","Expulsion","Sanctions","Number",0
"Area Cooperative Educational Services",NA,"2014-2015","Bus Suspension","Sanctions","Number",45
"Area Cooperative Educational Services",NA,"2015-2016","In-School Suspension","Sanctions","Number",170
"Area Cooperative Educational Services",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",330
"Area Cooperative Educational Services",NA,"2015-2016","Expulsion","Sanctions","Number",0
"Area Cooperative Educational Services",NA,"2015-2016","Bus Suspension","Sanctions","Number",18
"Area Cooperative Educational Services",NA,"2016-2017","In-School Suspension","Sanctions","Number",178
"Area Cooperative Educational Services",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",371
"Area Cooperative Educational Services",NA,"2016-2017","Expulsion","Sanctions","Number",-9999
"Area Cooperative Educational Services",NA,"2016-2017","Bus Suspension","Sanctions","Number",15
"Ashford School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",8
"Ashford School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",-9999
"Ashford School District",NA,"2009-2010","Expulsion","Sanctions","Number",0
"Ashford School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",7
"Ashford School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",15
"Ashford School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",-9999
"Ashford School District",NA,"2010-2011","Expulsion","Sanctions","Number",0
"Ashford School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",21
"Ashford School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",14
"Ashford School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",-9999
"Ashford School District",NA,"2011-2012","Expulsion","Sanctions","Number",0
"Ashford School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",13
"Ashford School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",30
"Ashford School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",6
"Ashford School District",NA,"2012-2013","Expulsion","Sanctions","Number",0
"Ashford School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",-9999
"Ashford School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",13
"Ashford School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",-9999
"Ashford School District",NA,"2013-2014","Expulsion","Sanctions","Number",0
"Ashford School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",-9999
"Ashford School District",NA,"2014-2015","In-School Suspension","Sanctions","Number",26
"Ashford School District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",-9999
"Ashford School District",NA,"2014-2015","Expulsion","Sanctions","Number",0
"Ashford School District",NA,"2014-2015","Bus Suspension","Sanctions","Number",6
"Ashford School District",NA,"2015-2016","In-School Suspension","Sanctions","Number",12
"Ashford School District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",-9999
"Ashford School District",NA,"2015-2016","Expulsion","Sanctions","Number",0
"Ashford School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",-9999
"Ashford School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",-9999
"Ashford School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",-9999
"Ashford School District",NA,"2016-2017","Expulsion","Sanctions","Number",0
"Ashford School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",0
"Avon School District",900302060,"2009-2010","In-School Suspension","Sanctions","Number",80
"Avon School District",900302060,"2009-2010","Out-of-School Suspension","Sanctions","Number",32
"Avon School District",900302060,"2009-2010","Expulsion","Sanctions","Number",-9999
"Avon School District",900302060,"2009-2010","Bus Suspension","Sanctions","Number",0
"Avon School District",900302060,"2010-2011","In-School Suspension","Sanctions","Number",66
"Avon School District",900302060,"2010-2011","Out-of-School Suspension","Sanctions","Number",14
"Avon School District",900302060,"2010-2011","Expulsion","Sanctions","Number",0
"Avon School District",900302060,"2010-2011","Bus Suspension","Sanctions","Number",-9999
"Avon School District",900302060,"2011-2012","In-School Suspension","Sanctions","Number",65
"Avon School District",900302060,"2011-2012","Out-of-School Suspension","Sanctions","Number",26
"Avon School District",900302060,"2011-2012","Expulsion","Sanctions","Number",-9999
"Avon School District",900302060,"2011-2012","Bus Suspension","Sanctions","Number",-9999
"Avon School District",900302060,"2012-2013","In-School Suspension","Sanctions","Number",91
"Avon School District",900302060,"2012-2013","Out-of-School Suspension","Sanctions","Number",23
"Avon School District",900302060,"2012-2013","Expulsion","Sanctions","Number",0
"Avon School District",900302060,"2012-2013","Bus Suspension","Sanctions","Number",-9999
"Avon School District",900302060,"2013-2014","In-School Suspension","Sanctions","Number",64
"Avon School District",900302060,"2013-2014","Out-of-School Suspension","Sanctions","Number",34
"Avon School District",900302060,"2013-2014","Expulsion","Sanctions","Number",-9999
"Avon School District",900302060,"2013-2014","Bus Suspension","Sanctions","Number",0
"Avon School District",900302060,"2014-2015","In-School Suspension","Sanctions","Number",63
"Avon School District",900302060,"2014-2015","Out-of-School Suspension","Sanctions","Number",23
"Avon School District",900302060,"2014-2015","Expulsion","Sanctions","Number",-9999
"Avon School District",900302060,"2014-2015","Bus Suspension","Sanctions","Number",-9999
"Avon School District",900302060,"2015-2016","In-School Suspension","Sanctions","Number",68
"Avon School District",900302060,"2015-2016","Out-of-School Suspension","Sanctions","Number",32
"Avon School District",900302060,"2015-2016","Expulsion","Sanctions","Number",-9999
"Avon School District",900302060,"2015-2016","Bus Suspension","Sanctions","Number",-9999
"Avon School District",900302060,"2016-2017","In-School Suspension","Sanctions","Number",56
"Avon School District",900302060,"2016-2017","Out-of-School Suspension","Sanctions","Number",30
"Avon School District",900302060,"2016-2017","Expulsion","Sanctions","Number",-9999
"Avon School District",900302060,"2016-2017","Bus Suspension","Sanctions","Number",0
"Barkhamsted School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",-9999
