"District","FIPS","Year","Sanction Type","Variable","Measure Type","Value"
"Elm City Montessori School District",NA,"2015-2016","Expulsion","Sanctions","Number",-6666
"Elm City Montessori School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",-6666
"Elm City Montessori School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",6
"Elm City Montessori School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",-9999
"Elm City Montessori School District",NA,"2016-2017","Expulsion","Sanctions","Number",0
"Elm City Montessori School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",13
"Enfield School District",900325990,"2009-2010","In-School Suspension","Sanctions","Number",367
"Enfield School District",900325990,"2009-2010","Out-of-School Suspension","Sanctions","Number",544
"Enfield School District",900325990,"2009-2010","Expulsion","Sanctions","Number",17
"Enfield School District",900325990,"2009-2010","Bus Suspension","Sanctions","Number",-9999
"Enfield School District",900325990,"2010-2011","In-School Suspension","Sanctions","Number",888
"Enfield School District",900325990,"2010-2011","Out-of-School Suspension","Sanctions","Number",240
"Enfield School District",900325990,"2010-2011","Expulsion","Sanctions","Number",24
"Enfield School District",900325990,"2010-2011","Bus Suspension","Sanctions","Number",0
"Enfield School District",900325990,"2011-2012","In-School Suspension","Sanctions","Number",969
"Enfield School District",900325990,"2011-2012","Out-of-School Suspension","Sanctions","Number",256
"Enfield School District",900325990,"2011-2012","Expulsion","Sanctions","Number",22
"Enfield School District",900325990,"2011-2012","Bus Suspension","Sanctions","Number",-9999
"Enfield School District",900325990,"2012-2013","In-School Suspension","Sanctions","Number",981
"Enfield School District",900325990,"2012-2013","Out-of-School Suspension","Sanctions","Number",313
"Enfield School District",900325990,"2012-2013","Expulsion","Sanctions","Number",24
"Enfield School District",900325990,"2012-2013","Bus Suspension","Sanctions","Number",26
"Enfield School District",900325990,"2013-2014","In-School Suspension","Sanctions","Number",789
"Enfield School District",900325990,"2013-2014","Out-of-School Suspension","Sanctions","Number",327
"Enfield School District",900325990,"2013-2014","Expulsion","Sanctions","Number",25
"Enfield School District",900325990,"2013-2014","Bus Suspension","Sanctions","Number",11
"Enfield School District",900325990,"2014-2015","In-School Suspension","Sanctions","Number",777
"Enfield School District",900325990,"2014-2015","Out-of-School Suspension","Sanctions","Number",310
"Enfield School District",900325990,"2014-2015","Expulsion","Sanctions","Number",14
"Enfield School District",900325990,"2014-2015","Bus Suspension","Sanctions","Number",12
"Enfield School District",900325990,"2015-2016","In-School Suspension","Sanctions","Number",714
"Enfield School District",900325990,"2015-2016","Out-of-School Suspension","Sanctions","Number",289
"Enfield School District",900325990,"2015-2016","Expulsion","Sanctions","Number",14
"Enfield School District",900325990,"2015-2016","Bus Suspension","Sanctions","Number",0
"Enfield School District",900325990,"2016-2017","In-School Suspension","Sanctions","Number",742
"Enfield School District",900325990,"2016-2017","Out-of-School Suspension","Sanctions","Number",263
"Enfield School District",900325990,"2016-2017","Expulsion","Sanctions","Number",16
"Enfield School District",900325990,"2016-2017","Bus Suspension","Sanctions","Number",-9999
"Essex School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",-9999
"Essex School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",0
"Essex School District",NA,"2009-2010","Expulsion","Sanctions","Number",0
"Essex School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",0
"Essex School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",-9999
"Essex School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",0
"Essex School District",NA,"2010-2011","Expulsion","Sanctions","Number",0
"Essex School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",0
"Essex School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",-6666
"Essex School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",-6666
"Essex School District",NA,"2011-2012","Expulsion","Sanctions","Number",-6666
"Essex School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",-6666
"Essex School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",6
"Essex School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",-9999
"Essex School District",NA,"2012-2013","Expulsion","Sanctions","Number",0
"Essex School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",0
"Essex School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",-9999
"Essex School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",-9999
"Essex School District",NA,"2013-2014","Expulsion","Sanctions","Number",0
"Essex School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",0
"Essex School District",NA,"2014-2015","In-School Suspension","Sanctions","Number",-9999
"Essex School District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",-9999
"Essex School District",NA,"2014-2015","Expulsion","Sanctions","Number",0
"Essex School District",NA,"2014-2015","Bus Suspension","Sanctions","Number",0
"Essex School District",NA,"2015-2016","In-School Suspension","Sanctions","Number",-6666
"Essex School District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",-6666
"Essex School District",NA,"2015-2016","Expulsion","Sanctions","Number",-6666
"Essex School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",-6666
"Essex School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",-9999
"Essex School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",0
"Essex School District",NA,"2016-2017","Expulsion","Sanctions","Number",0
"Essex School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",0
"Explorations District",NA,"2009-2010","In-School Suspension","Sanctions","Number",10
"Explorations District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",6
"Explorations District",NA,"2009-2010","Expulsion","Sanctions","Number",0
"Explorations District",NA,"2009-2010","Bus Suspension","Sanctions","Number",0
"Explorations District",NA,"2010-2011","In-School Suspension","Sanctions","Number",59
"Explorations District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",-9999
"Explorations District",NA,"2010-2011","Expulsion","Sanctions","Number",0
"Explorations District",NA,"2010-2011","Bus Suspension","Sanctions","Number",0
"Explorations District",NA,"2011-2012","In-School Suspension","Sanctions","Number",36
"Explorations District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",-9999
"Explorations District",NA,"2011-2012","Expulsion","Sanctions","Number",0
"Explorations District",NA,"2011-2012","Bus Suspension","Sanctions","Number",0
"Explorations District",NA,"2012-2013","In-School Suspension","Sanctions","Number",19
"Explorations District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",11
"Explorations District",NA,"2012-2013","Expulsion","Sanctions","Number",0
"Explorations District",NA,"2012-2013","Bus Suspension","Sanctions","Number",0
"Explorations District",NA,"2013-2014","In-School Suspension","Sanctions","Number",10
"Explorations District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",28
"Explorations District",NA,"2013-2014","Expulsion","Sanctions","Number",0
"Explorations District",NA,"2013-2014","Bus Suspension","Sanctions","Number",0
"Explorations District",NA,"2014-2015","In-School Suspension","Sanctions","Number",11
"Explorations District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",7
"Explorations District",NA,"2014-2015","Expulsion","Sanctions","Number",0
"Explorations District",NA,"2014-2015","Bus Suspension","Sanctions","Number",0
"Explorations District",NA,"2015-2016","In-School Suspension","Sanctions","Number",12
"Explorations District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",16
"Explorations District",NA,"2015-2016","Expulsion","Sanctions","Number",0
"Explorations District",NA,"2015-2016","Bus Suspension","Sanctions","Number",0
"Explorations District",NA,"2016-2017","In-School Suspension","Sanctions","Number",10
"Explorations District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",10
"Explorations District",NA,"2016-2017","Expulsion","Sanctions","Number",0
"Explorations District",NA,"2016-2017","Bus Suspension","Sanctions","Number",0
"Fairfield School District",900126620,"2009-2010","In-School Suspension","Sanctions","Number",427
"Fairfield School District",900126620,"2009-2010","Out-of-School Suspension","Sanctions","Number",95
"Fairfield School District",900126620,"2009-2010","Expulsion","Sanctions","Number",6
"Fairfield School District",900126620,"2009-2010","Bus Suspension","Sanctions","Number",0
"Fairfield School District",900126620,"2010-2011","In-School Suspension","Sanctions","Number",384
"Fairfield School District",900126620,"2010-2011","Out-of-School Suspension","Sanctions","Number",71
"Fairfield School District",900126620,"2010-2011","Expulsion","Sanctions","Number",-9999
"Fairfield School District",900126620,"2010-2011","Bus Suspension","Sanctions","Number",0
"Fairfield School District",900126620,"2011-2012","In-School Suspension","Sanctions","Number",374
"Fairfield School District",900126620,"2011-2012","Out-of-School Suspension","Sanctions","Number",63
"Fairfield School District",900126620,"2011-2012","Expulsion","Sanctions","Number",-9999
"Fairfield School District",900126620,"2011-2012","Bus Suspension","Sanctions","Number",-9999
"Fairfield School District",900126620,"2012-2013","In-School Suspension","Sanctions","Number",328
"Fairfield School District",900126620,"2012-2013","Out-of-School Suspension","Sanctions","Number",62
"Fairfield School District",900126620,"2012-2013","Expulsion","Sanctions","Number",0
"Fairfield School District",900126620,"2012-2013","Bus Suspension","Sanctions","Number",-9999
"Fairfield School District",900126620,"2013-2014","In-School Suspension","Sanctions","Number",297
"Fairfield School District",900126620,"2013-2014","Out-of-School Suspension","Sanctions","Number",40
"Fairfield School District",900126620,"2013-2014","Expulsion","Sanctions","Number",7
"Fairfield School District",900126620,"2013-2014","Bus Suspension","Sanctions","Number",-9999
"Fairfield School District",900126620,"2014-2015","In-School Suspension","Sanctions","Number",187
"Fairfield School District",900126620,"2014-2015","Out-of-School Suspension","Sanctions","Number",46
"Fairfield School District",900126620,"2014-2015","Expulsion","Sanctions","Number",0
"Fairfield School District",900126620,"2014-2015","Bus Suspension","Sanctions","Number",12
"Fairfield School District",900126620,"2015-2016","In-School Suspension","Sanctions","Number",275
"Fairfield School District",900126620,"2015-2016","Out-of-School Suspension","Sanctions","Number",58
"Fairfield School District",900126620,"2015-2016","Expulsion","Sanctions","Number",-9999
"Fairfield School District",900126620,"2015-2016","Bus Suspension","Sanctions","Number",-9999
"Fairfield School District",900126620,"2016-2017","In-School Suspension","Sanctions","Number",294
"Fairfield School District",900126620,"2016-2017","Out-of-School Suspension","Sanctions","Number",32
"Fairfield School District",900126620,"2016-2017","Expulsion","Sanctions","Number",-9999
"Fairfield School District",900126620,"2016-2017","Bus Suspension","Sanctions","Number",0
"Farmington School District",900327600,"2009-2010","In-School Suspension","Sanctions","Number",135
"Farmington School District",900327600,"2009-2010","Out-of-School Suspension","Sanctions","Number",91
"Farmington School District",900327600,"2009-2010","Expulsion","Sanctions","Number",-9999
"Farmington School District",900327600,"2009-2010","Bus Suspension","Sanctions","Number",0
"Farmington School District",900327600,"2010-2011","In-School Suspension","Sanctions","Number",85
"Farmington School District",900327600,"2010-2011","Out-of-School Suspension","Sanctions","Number",76
"Farmington School District",900327600,"2010-2011","Expulsion","Sanctions","Number",-9999
"Farmington School District",900327600,"2010-2011","Bus Suspension","Sanctions","Number",12
"Farmington School District",900327600,"2011-2012","In-School Suspension","Sanctions","Number",59
"Farmington School District",900327600,"2011-2012","Out-of-School Suspension","Sanctions","Number",29
"Farmington School District",900327600,"2011-2012","Expulsion","Sanctions","Number",-9999
"Farmington School District",900327600,"2011-2012","Bus Suspension","Sanctions","Number",14
"Farmington School District",900327600,"2012-2013","In-School Suspension","Sanctions","Number",49
"Farmington School District",900327600,"2012-2013","Out-of-School Suspension","Sanctions","Number",54
"Farmington School District",900327600,"2012-2013","Expulsion","Sanctions","Number",0
"Farmington School District",900327600,"2012-2013","Bus Suspension","Sanctions","Number",7
"Farmington School District",900327600,"2013-2014","In-School Suspension","Sanctions","Number",66
"Farmington School District",900327600,"2013-2014","Out-of-School Suspension","Sanctions","Number",36
"Farmington School District",900327600,"2013-2014","Expulsion","Sanctions","Number",-9999
"Farmington School District",900327600,"2013-2014","Bus Suspension","Sanctions","Number",8
"Farmington School District",900327600,"2014-2015","In-School Suspension","Sanctions","Number",55
"Farmington School District",900327600,"2014-2015","Out-of-School Suspension","Sanctions","Number",22
"Farmington School District",900327600,"2014-2015","Expulsion","Sanctions","Number",0
"Farmington School District",900327600,"2014-2015","Bus Suspension","Sanctions","Number",0
"Farmington School District",900327600,"2015-2016","In-School Suspension","Sanctions","Number",56
"Farmington School District",900327600,"2015-2016","Out-of-School Suspension","Sanctions","Number",29
"Farmington School District",900327600,"2015-2016","Expulsion","Sanctions","Number",-9999
"Farmington School District",900327600,"2015-2016","Bus Suspension","Sanctions","Number",-9999
"Farmington School District",900327600,"2016-2017","In-School Suspension","Sanctions","Number",33
"Farmington School District",900327600,"2016-2017","Out-of-School Suspension","Sanctions","Number",28
"Farmington School District",900327600,"2016-2017","Expulsion","Sanctions","Number",0
"Farmington School District",900327600,"2016-2017","Bus Suspension","Sanctions","Number",6
"Franklin School District",NA,"2009-2010","In-School Suspension","Sanctions","Number",0
"Franklin School District",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",-9999
"Franklin School District",NA,"2009-2010","Expulsion","Sanctions","Number",0
"Franklin School District",NA,"2009-2010","Bus Suspension","Sanctions","Number",0
"Franklin School District",NA,"2010-2011","In-School Suspension","Sanctions","Number",-6666
"Franklin School District",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",-6666
"Franklin School District",NA,"2010-2011","Expulsion","Sanctions","Number",-6666
"Franklin School District",NA,"2010-2011","Bus Suspension","Sanctions","Number",-6666
"Franklin School District",NA,"2011-2012","In-School Suspension","Sanctions","Number",0
"Franklin School District",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",-9999
"Franklin School District",NA,"2011-2012","Expulsion","Sanctions","Number",0
"Franklin School District",NA,"2011-2012","Bus Suspension","Sanctions","Number",0
"Franklin School District",NA,"2012-2013","In-School Suspension","Sanctions","Number",-9999
"Franklin School District",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",0
"Franklin School District",NA,"2012-2013","Expulsion","Sanctions","Number",0
"Franklin School District",NA,"2012-2013","Bus Suspension","Sanctions","Number",0
"Franklin School District",NA,"2013-2014","In-School Suspension","Sanctions","Number",11
"Franklin School District",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",0
"Franklin School District",NA,"2013-2014","Expulsion","Sanctions","Number",0
"Franklin School District",NA,"2013-2014","Bus Suspension","Sanctions","Number",0
"Franklin School District",NA,"2014-2015","In-School Suspension","Sanctions","Number",11
"Franklin School District",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",0
"Franklin School District",NA,"2014-2015","Expulsion","Sanctions","Number",0
"Franklin School District",NA,"2014-2015","Bus Suspension","Sanctions","Number",0
"Franklin School District",NA,"2015-2016","In-School Suspension","Sanctions","Number",-9999
"Franklin School District",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",-9999
"Franklin School District",NA,"2015-2016","Expulsion","Sanctions","Number",0
"Franklin School District",NA,"2015-2016","Bus Suspension","Sanctions","Number",0
"Franklin School District",NA,"2016-2017","In-School Suspension","Sanctions","Number",7
"Franklin School District",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",10
"Franklin School District",NA,"2016-2017","Expulsion","Sanctions","Number",-9999
"Franklin School District",NA,"2016-2017","Bus Suspension","Sanctions","Number",0
"Glastonbury School District",900331240,"2009-2010","In-School Suspension","Sanctions","Number",57
"Glastonbury School District",900331240,"2009-2010","Out-of-School Suspension","Sanctions","Number",182
"Glastonbury School District",900331240,"2009-2010","Expulsion","Sanctions","Number",9
"Glastonbury School District",900331240,"2009-2010","Bus Suspension","Sanctions","Number",0
"Glastonbury School District",900331240,"2010-2011","In-School Suspension","Sanctions","Number",133
"Glastonbury School District",900331240,"2010-2011","Out-of-School Suspension","Sanctions","Number",39
"Glastonbury School District",900331240,"2010-2011","Expulsion","Sanctions","Number",-9999
"Glastonbury School District",900331240,"2010-2011","Bus Suspension","Sanctions","Number",0
"Glastonbury School District",900331240,"2011-2012","In-School Suspension","Sanctions","Number",163
"Glastonbury School District",900331240,"2011-2012","Out-of-School Suspension","Sanctions","Number",39
"Glastonbury School District",900331240,"2011-2012","Expulsion","Sanctions","Number",14
"Glastonbury School District",900331240,"2011-2012","Bus Suspension","Sanctions","Number",-9999
"Glastonbury School District",900331240,"2012-2013","In-School Suspension","Sanctions","Number",129
"Glastonbury School District",900331240,"2012-2013","Out-of-School Suspension","Sanctions","Number",44
"Glastonbury School District",900331240,"2012-2013","Expulsion","Sanctions","Number",6
"Glastonbury School District",900331240,"2012-2013","Bus Suspension","Sanctions","Number",-9999
"Glastonbury School District",900331240,"2013-2014","In-School Suspension","Sanctions","Number",160
"Glastonbury School District",900331240,"2013-2014","Out-of-School Suspension","Sanctions","Number",56
"Glastonbury School District",900331240,"2013-2014","Expulsion","Sanctions","Number",-9999
"Glastonbury School District",900331240,"2013-2014","Bus Suspension","Sanctions","Number",0
"Glastonbury School District",900331240,"2014-2015","In-School Suspension","Sanctions","Number",128
"Glastonbury School District",900331240,"2014-2015","Out-of-School Suspension","Sanctions","Number",24
"Glastonbury School District",900331240,"2014-2015","Expulsion","Sanctions","Number",-9999
"Glastonbury School District",900331240,"2014-2015","Bus Suspension","Sanctions","Number",-9999
"Glastonbury School District",900331240,"2015-2016","In-School Suspension","Sanctions","Number",96
"Glastonbury School District",900331240,"2015-2016","Out-of-School Suspension","Sanctions","Number",24
"Glastonbury School District",900331240,"2015-2016","Expulsion","Sanctions","Number",0
"Glastonbury School District",900331240,"2015-2016","Bus Suspension","Sanctions","Number",-9999
"Glastonbury School District",900331240,"2016-2017","In-School Suspension","Sanctions","Number",168
"Glastonbury School District",900331240,"2016-2017","Out-of-School Suspension","Sanctions","Number",32
"Glastonbury School District",900331240,"2016-2017","Expulsion","Sanctions","Number",0
"Glastonbury School District",900331240,"2016-2017","Bus Suspension","Sanctions","Number",-9999
"Granby School District",900332640,"2009-2010","In-School Suspension","Sanctions","Number",67
"Granby School District",900332640,"2009-2010","Out-of-School Suspension","Sanctions","Number",9
"Granby School District",900332640,"2009-2010","Expulsion","Sanctions","Number",-9999
"Granby School District",900332640,"2009-2010","Bus Suspension","Sanctions","Number",0
"Granby School District",900332640,"2010-2011","In-School Suspension","Sanctions","Number",91
"Granby School District",900332640,"2010-2011","Out-of-School Suspension","Sanctions","Number",-9999
"Granby School District",900332640,"2010-2011","Expulsion","Sanctions","Number",-9999
"Granby School District",900332640,"2010-2011","Bus Suspension","Sanctions","Number",0
"Granby School District",900332640,"2011-2012","In-School Suspension","Sanctions","Number",72
"Granby School District",900332640,"2011-2012","Out-of-School Suspension","Sanctions","Number",-9999
"Granby School District",900332640,"2011-2012","Expulsion","Sanctions","Number",-9999
"Granby School District",900332640,"2011-2012","Bus Suspension","Sanctions","Number",-9999
"Granby School District",900332640,"2012-2013","In-School Suspension","Sanctions","Number",52
"Granby School District",900332640,"2012-2013","Out-of-School Suspension","Sanctions","Number",12
"Granby School District",900332640,"2012-2013","Expulsion","Sanctions","Number",-9999
"Granby School District",900332640,"2012-2013","Bus Suspension","Sanctions","Number",11
"Granby School District",900332640,"2013-2014","In-School Suspension","Sanctions","Number",63
"Granby School District",900332640,"2013-2014","Out-of-School Suspension","Sanctions","Number",14
"Granby School District",900332640,"2013-2014","Expulsion","Sanctions","Number",-9999
"Granby School District",900332640,"2013-2014","Bus Suspension","Sanctions","Number",7
"Granby School District",900332640,"2014-2015","In-School Suspension","Sanctions","Number",78
"Granby School District",900332640,"2014-2015","Out-of-School Suspension","Sanctions","Number",-9999
"Granby School District",900332640,"2014-2015","Expulsion","Sanctions","Number",-9999
"Granby School District",900332640,"2014-2015","Bus Suspension","Sanctions","Number",7
"Granby School District",900332640,"2015-2016","In-School Suspension","Sanctions","Number",102
"Granby School District",900332640,"2015-2016","Out-of-School Suspension","Sanctions","Number",11
"Granby School District",900332640,"2015-2016","Expulsion","Sanctions","Number",-9999
"Granby School District",900332640,"2015-2016","Bus Suspension","Sanctions","Number",8
"Granby School District",900332640,"2016-2017","In-School Suspension","Sanctions","Number",106
"Granby School District",900332640,"2016-2017","Out-of-School Suspension","Sanctions","Number",14
"Granby School District",900332640,"2016-2017","Expulsion","Sanctions","Number",-9999
"Granby School District",900332640,"2016-2017","Bus Suspension","Sanctions","Number",-9999
"Great Oaks Charter School Bridgeport",NA,"2009-2010","In-School Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2009-2010","Out-of-School Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2009-2010","Expulsion","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2009-2010","Bus Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2010-2011","In-School Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2010-2011","Out-of-School Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2010-2011","Expulsion","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2010-2011","Bus Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2011-2012","In-School Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2011-2012","Out-of-School Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2011-2012","Expulsion","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2011-2012","Bus Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2012-2013","In-School Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2012-2013","Out-of-School Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2012-2013","Expulsion","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2012-2013","Bus Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2013-2014","In-School Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2013-2014","Out-of-School Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2013-2014","Expulsion","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2013-2014","Bus Suspension","Sanctions","Number",-6666
"Great Oaks Charter School Bridgeport",NA,"2014-2015","In-School Suspension","Sanctions","Number",29
"Great Oaks Charter School Bridgeport",NA,"2014-2015","Out-of-School Suspension","Sanctions","Number",125
"Great Oaks Charter School Bridgeport",NA,"2014-2015","Expulsion","Sanctions","Number",0
"Great Oaks Charter School Bridgeport",NA,"2014-2015","Bus Suspension","Sanctions","Number",-9999
"Great Oaks Charter School Bridgeport",NA,"2015-2016","In-School Suspension","Sanctions","Number",101
"Great Oaks Charter School Bridgeport",NA,"2015-2016","Out-of-School Suspension","Sanctions","Number",99
"Great Oaks Charter School Bridgeport",NA,"2015-2016","Expulsion","Sanctions","Number",0
"Great Oaks Charter School Bridgeport",NA,"2015-2016","Bus Suspension","Sanctions","Number",39
"Great Oaks Charter School Bridgeport",NA,"2016-2017","In-School Suspension","Sanctions","Number",130
"Great Oaks Charter School Bridgeport",NA,"2016-2017","Out-of-School Suspension","Sanctions","Number",243
"Great Oaks Charter School Bridgeport",NA,"2016-2017","Expulsion","Sanctions","Number",0
"Great Oaks Charter School Bridgeport",NA,"2016-2017","Bus Suspension","Sanctions","Number",24
"Greenwich School District",900133620,"2009-2010","In-School Suspension","Sanctions","Number",247
"Greenwich School District",900133620,"2009-2010","Out-of-School Suspension","Sanctions","Number",56
"Greenwich School District",900133620,"2009-2010","Expulsion","Sanctions","Number",16
"Greenwich School District",900133620,"2009-2010","Bus Suspension","Sanctions","Number",-9999
"Greenwich School District",900133620,"2010-2011","In-School Suspension","Sanctions","Number",332
"Greenwich School District",900133620,"2010-2011","Out-of-School Suspension","Sanctions","Number",59
"Greenwich School District",900133620,"2010-2011","Expulsion","Sanctions","Number",6
"Greenwich School District",900133620,"2010-2011","Bus Suspension","Sanctions","Number",-9999
"Greenwich School District",900133620,"2011-2012","In-School Suspension","Sanctions","Number",272
"Greenwich School District",900133620,"2011-2012","Out-of-School Suspension","Sanctions","Number",56
"Greenwich School District",900133620,"2011-2012","Expulsion","Sanctions","Number",-9999
"Greenwich School District",900133620,"2011-2012","Bus Suspension","Sanctions","Number",-9999
"Greenwich School District",900133620,"2012-2013","In-School Suspension","Sanctions","Number",208
"Greenwich School District",900133620,"2012-2013","Out-of-School Suspension","Sanctions","Number",70
"Greenwich School District",900133620,"2012-2013","Expulsion","Sanctions","Number",7
"Greenwich School District",900133620,"2012-2013","Bus Suspension","Sanctions","Number",-9999
"Greenwich School District",900133620,"2013-2014","In-School Suspension","Sanctions","Number",126
"Greenwich School District",900133620,"2013-2014","Out-of-School Suspension","Sanctions","Number",72
"Greenwich School District",900133620,"2013-2014","Expulsion","Sanctions","Number",-9999
"Greenwich School District",900133620,"2013-2014","Bus Suspension","Sanctions","Number",-9999
"Greenwich School District",900133620,"2014-2015","In-School Suspension","Sanctions","Number",133
"Greenwich School District",900133620,"2014-2015","Out-of-School Suspension","Sanctions","Number",62
"Greenwich School District",900133620,"2014-2015","Expulsion","Sanctions","Number",-9999
"Greenwich School District",900133620,"2014-2015","Bus Suspension","Sanctions","Number",0
"Greenwich School District",900133620,"2015-2016","In-School Suspension","Sanctions","Number",86
"Greenwich School District",900133620,"2015-2016","Out-of-School Suspension","Sanctions","Number",52
"Greenwich School District",900133620,"2015-2016","Expulsion","Sanctions","Number",-9999
"Greenwich School District",900133620,"2015-2016","Bus Suspension","Sanctions","Number",0
"Greenwich School District",900133620,"2016-2017","In-School Suspension","Sanctions","Number",134
"Greenwich School District",900133620,"2016-2017","Out-of-School Suspension","Sanctions","Number",65
"Greenwich School District",900133620,"2016-2017","Expulsion","Sanctions","Number",7
"Greenwich School District",900133620,"2016-2017","Bus Suspension","Sanctions","Number",-9999
"Griswold School District",901133900,"2009-2010","In-School Suspension","Sanctions","Number",395
"Griswold School District",901133900,"2009-2010","Out-of-School Suspension","Sanctions","Number",157
"Griswold School District",901133900,"2009-2010","Expulsion","Sanctions","Number",-9999
"Griswold School District",901133900,"2009-2010","Bus Suspension","Sanctions","Number",-9999
"Griswold School District",901133900,"2010-2011","In-School Suspension","Sanctions","Number",462
"Griswold School District",901133900,"2010-2011","Out-of-School Suspension","Sanctions","Number",146
"Griswold School District",901133900,"2010-2011","Expulsion","Sanctions","Number",-9999
"Griswold School District",901133900,"2010-2011","Bus Suspension","Sanctions","Number",0
"Griswold School District",901133900,"2011-2012","In-School Suspension","Sanctions","Number",437
"Griswold School District",901133900,"2011-2012","Out-of-School Suspension","Sanctions","Number",161
"Griswold School District",901133900,"2011-2012","Expulsion","Sanctions","Number",-9999
"Griswold School District",901133900,"2011-2012","Bus Suspension","Sanctions","Number",0
"Griswold School District",901133900,"2012-2013","In-School Suspension","Sanctions","Number",309
"Griswold School District",901133900,"2012-2013","Out-of-School Suspension","Sanctions","Number",102
"Griswold School District",901133900,"2012-2013","Expulsion","Sanctions","Number",-9999
"Griswold School District",901133900,"2012-2013","Bus Suspension","Sanctions","Number",0
"Griswold School District",901133900,"2013-2014","In-School Suspension","Sanctions","Number",260
"Griswold School District",901133900,"2013-2014","Out-of-School Suspension","Sanctions","Number",131
"Griswold School District",901133900,"2013-2014","Expulsion","Sanctions","Number",-9999
"Griswold School District",901133900,"2013-2014","Bus Suspension","Sanctions","Number",0
"Griswold School District",901133900,"2014-2015","In-School Suspension","Sanctions","Number",207
"Griswold School District",901133900,"2014-2015","Out-of-School Suspension","Sanctions","Number",109
"Griswold School District",901133900,"2014-2015","Expulsion","Sanctions","Number",-9999
"Griswold School District",901133900,"2014-2015","Bus Suspension","Sanctions","Number",0
"Griswold School District",901133900,"2015-2016","In-School Suspension","Sanctions","Number",146
"Griswold School District",901133900,"2015-2016","Out-of-School Suspension","Sanctions","Number",61
"Griswold School District",901133900,"2015-2016","Expulsion","Sanctions","Number",6
