"Age Range","Label","White","Black","Hispanic","Other","Total"
" ","Pop","137,529","25,943","55,806","25,153","244,431"
" ","Tx","13,753","2,594","5,581","2,515","24,443"
" ","Life","27,506","5,189","11,161","5,031","48,886"
" ","Pop","110,015","18,276","34,667","15,551","178,509"
" ","Tx","11,002","1,828","3,467","1,555","17,851"
" ","Life","22,003","3,655","6,933","3,110","35,702"
" ","Pop","185,310","30,873","51,806","20,844","288,833"
" ","Tx","18,531","3,087","5,181","2,084","28,883"
" ","Life","37,062","6,175","10,361","4,169","57,767"
" ","Pop","128,163","23,700","35,406","12,644","199,913"
" ","Tx","12,816","2,370","3,541","1,264","19,991"
" ","Life","25,633","4,740","7,081","2,529","39,983"
" ","Pop","58,998","11,625","17,279","6,173","94,075"
" ","Tx","5,900","1,162","1,728","617","9,408"
" ","Life","11,800","2,325","3,456","1,235","18,815"
" ","Pop","620,015","110,417","194,964","80,365","1,005,761"
" ","Tx","62,002","11,042","19,496","8,036","100,576"
" ","Life","124,003","22,083","38,993","16,073","201,152"
