"Town","FIPS","Year","Race/Ethnicity","Measure Type","Variable","Value","Region"
"Andover",901301080,"2012-2016","All","Number","Margins of Error",12578,"North Central Region"
"Andover",901301080,"2012-2016","All","Number","Median Household Income",100724,"North Central Region"
"Ansonia",900901220,"2012-2016","All","Number","Margins of Error",4682,"South Central Region"
"Ansonia",900901220,"2012-2016","All","Number","Median Household Income",43386,"South Central Region"
"Ashford",901501430,"2012-2016","All","Number","Margins of Error",7075,"Eastern Region"
"Ashford",901501430,"2012-2016","All","Number","Median Household Income",78313,"Eastern Region"
"Avon",900302060,"2012-2016","All","Number","Margins of Error",9643,"Central Region"
"Avon",900302060,"2012-2016","All","Number","Median Household Income",124608,"Central Region"
"Barkhamsted",900502760,"2012-2016","All","Number","Margins of Error",9372,"Western Region"
"Barkhamsted",900502760,"2012-2016","All","Number","Median Household Income",104899,"Western Region"
"Beacon Falls",900903250,"2012-2016","All","Number","Margins of Error",11666,"Western Region"
"Beacon Falls",900903250,"2012-2016","All","Number","Median Household Income",84570,"Western Region"
"Berlin",900304300,"2012-2016","All","Number","Margins of Error",9503,"Central Region"
"Berlin",900304300,"2012-2016","All","Number","Median Household Income",93750,"Central Region"
"Bethany",900904580,"2012-2016","All","Number","Margins of Error",10901,"South Central Region"
"Bethany",900904580,"2012-2016","All","Number","Median Household Income",106058,"South Central Region"
"Bethel",900104720,"2012-2016","All","Number","Margins of Error",6347,"Western Region"
"Bethel",900104720,"2012-2016","All","Number","Median Household Income",94292,"Western Region"
"Bethlehem",900504930,"2012-2016","All","Number","Margins of Error",9644,"Western Region"
"Bethlehem",900504930,"2012-2016","All","Number","Median Household Income",87056,"Western Region"
"Bloomfield",900305910,"2012-2016","All","Number","Margins of Error",4728,"North Central Region"
"Bloomfield",900305910,"2012-2016","All","Number","Median Household Income",74107,"North Central Region"
"Bolton",901306260,"2012-2016","All","Number","Margins of Error",11191,"North Central Region"
"Bolton",901306260,"2012-2016","All","Number","Median Household Income",91087,"North Central Region"
"Bozrah",901106820,"2012-2016","All","Number","Margins of Error",6484,"Eastern Region"
"Bozrah",901106820,"2012-2016","All","Number","Median Household Income",84698,"Eastern Region"
"Branford",900907310,"2012-2016","All","Number","Margins of Error",4041,"South Central Region"
"Branford",900907310,"2012-2016","All","Number","Median Household Income",71619,"South Central Region"
