"Age Range","Label","White","Black","Hispanic","Other","Total"
" ","Pop","15,911","6,218","8,234","3,514","33,877"
" ","Tx","1,591","622","823","351","3,388"
" ","Life","3,182","1,244","1,647","703","6,775"
" ","Pop","11,787","4,261","5,050","2,065","23,163"
" ","Tx","1,179","426","505","206","2,316"
" ","Life","2,357","852","1,010","413","4,633"
" ","Pop","20,423","7,113","7,276","2,829","37,641"
" ","Tx","2,042","711","728","283","3,764"
" ","Life","4,085","1,423","1,455","566","7,528"
" ","Pop","17,855","5,578","5,231","2,111","30,775"
" ","Tx","1,786","558","523","211","3,078"
" ","Life","3,571","1,116","1,046","422","6,155"
" ","Pop","10,453","2,839","2,619","1,338","17,249"
" ","Tx","1,045","284","262","134","1,725"
" ","Life","2,091","568","524","268","3,450"
" ","Pop","76,429","26,009","28,410","11,857","142,705"
" ","Tx","7,643","2,601","2,841","1,186","14,270"
" ","Life","15,286","5,202","5,682","2,371","28,541"
