"Age Range","Label","White","Black","Hispanic","Other","Total"
" ","Pop","27,439","6,852","13,612","5,494","53,397"
" ","Tx","2,744","685","1,361","549","5,340"
" ","Life","5,488","1,370","2,722","1,099","10,679"
" ","Pop","21,644","4,887","8,311","3,279","38,121"
" ","Tx","2,164","489","831","328","3,812"
" ","Life","4,329","977","1,662","656","7,624"
" ","Pop","34,728","8,336","12,373","4,163","59,600"
" ","Tx","3,473","834","1,237","416","5,960"
" ","Life","6,946","1,667","2,475","833","11,920"
" ","Pop","19,720","6,092","8,374","2,153","36,339"
" ","Tx","1,972","609","837","215","3,634"
" ","Life","3,944","1,218","1,675","431","7,268"
" ","Pop","6,953","2,705","4,209","833","14,700"
" ","Tx","695","270","421","83","1,470"
" ","Life","1,391","541","842","167","2,940"
" ","Pop","110,484","28,872","46,879","15,922","202,157"
" ","Tx","11,048","2,887","4,688","1,592","20,216"
" ","Life","22,097","5,774","9,376","3,184","40,431"
